Objective Value, Total Weight
31356.039673673804,409852.0
29868.063362299,409168.0
33139.751082602306,414788.0
31876.74794438365,410145.0
36226.47532234731,422145.0
27943.33118856512,404125.0
29864.08621368534,406693.0
31995.870837330353,414278.0
32794.03676334879,414424.0
34101.985777632915,419649.0
23909.89543075947,398994.0
24056.573327394843,399232.0
24818.409072757466,402844.0
Objective Value, Total Weight
30251.10603977187,402346.0
23252.26747564174,394398.0
33008.44122525281,405587.0
32024.778054071765,405387.0
25849.6611859306,396307.0
33673.221205398964,410405.0
21113.489819406008,386520.0
33353.401098657225,408688.0
29898.975642018486,398517.0
20038.23755227524,385213.0
21795.84272875311,393820.0
Objective Value, Total Weight
20680.51215763524,387917.0
28720.46922674001,406334.0
25158.40993186971,395089.0
21548.940309993573,394075.0
29827.68647190975,418522.0
28338.47853195935,402844.0
32509.5952486131,421370.0
29451.82182847435,412918.0
25791.99239941605,398861.0
29584.234680178924,417117.0
27022.61913699261,402712.0
30426.883836476598,420465.0
19834.221344640595,386497.0
Objective Value, Total Weight
27341.82100248523,407529.0
22158.075704675866,394916.0
25512.02821389609,407160.0
35316.58263364149,431868.0
30449.592996565916,409326.0
33836.681518986006,412872.0
34198.76899880514,422267.0
24691.56431025709,396714.0
22588.31356353959,396163.0
25138.506515499146,405549.0
18773.325692751096,393409.0
12327.548176298442,391113.0
Objective Value, Total Weight
28479.999321785,417716.0
16262.70966670313,397310.0
32555.60026744113,426669.0
33308.13335654448,428391.0
23223.6742076393,403214.0
27358.920335112023,406927.0
17344.130300605728,398856.0
29552.24215507577,422437.0
34693.74969871208,430949.0
32805.99208131648,427826.0
18286.849383848952,401153.0
33541.939648657106,429842.0
28569.081310276233,419118.0
32089.31838394387,423868.0
7633.3068536127685,396673.0
Objective Value, Total Weight
37569.232080159825,409207.0
35346.36285309843,408189.0
37882.065724180895,421324.0
34674.85574039561,399001.0
34657.23265592381,397447.0
27736.37446374976,396651.0
37729.30862696614,418424.0
26987.376440645312,394744.0
Objective Value, Total Weight
24651.363074586843,403868.0
31836.2762727089,413256.0
35080.85318361991,433088.0
21186.385528665793,394472.0
31073.813571435632,411807.0
32483.054295372334,422314.0
29768.304612413805,407679.0
34314.59795015352,428443.0
23575.788833543833,400730.0
24229.456896375807,402570.0
20371.56878065091,392999.0
23444.221633803507,399433.0
25356.537962603325,404734.0
32335.96996989101,419933.0
24865.233349889633,404167.0
25498.211142164713,406583.0
13322.305406436615,391889.0
Objective Value, Total Weight
23637.86878373986,394566.0
33205.54311463941,417417.0
29176.118278556503,408200.0
35975.941266119364,425180.0
16906.814771073346,388935.0
25497.66350382188,402104.0
25062.20620405703,396870.0
18893.30885194405,392384.0
36619.2985988172,437834.0
26127.6628130693,405766.0
34394.68339772808,420058.0
30340.53615910362,413643.0
29629.503086152603,412502.0
37705.010842541524,438734.0
34982.52660056844,423426.0
35994.06765326724,435000.0
14190.792596218176,388596.0
Objective Value, Total Weight
27883.283978675026,380925.0
33448.96384649689,390780.0
31689.23356348765,383336.0
41226.4217967469,407751.0
38503.190853775246,407619.0
35273.358622809814,392426.0
34415.044122187246,391132.0
37962.94537040993,398643.0
36924.9541812003,393767.0
32801.63242607098,389206.0
35449.36554723914,393009.0
Objective Value, Total Weight
30884.13038790651,399531.0
34614.82968407037,410293.0
28895.88370530965,397918.0
26436.957187375054,395176.0
23907.473316226038,388075.0
25321.82589563605,390361.0
34232.12773213588,404864.0
13493.051496584492,374849.0
25945.0071471759,390770.0
34597.454114168126,408062.0
27873.840980570763,396697.0
20012.295512915065,387484.0
19027.686022948998,384260.0
24007.081923841673,389235.0
32498.084332325845,404133.0
26142.85953906231,394510.0
34777.80956528924,413274.0
29006.48213458428,399345.0
13679.576035486709,383260.0
