Objective Value, Total Weight
4996.37296286592,413054.0
5864.204430650512,413289.0
4996.37296286592,413054.0
4996.37296286592,413054.0
3716.3951544936863,412473.0
Objective Value, Total Weight
11982.766006233578,408844.0
11612.483557396685,407590.0
10979.108773522603,404932.0
10786.013832680823,404627.0
10786.013832680823,404627.0
11457.896850897232,406993.0
11007.702471323253,406240.0
10979.108773522603,404932.0
11982.766006233578,408844.0
10979.108773522603,404932.0
11407.986493824807,406436.0
12003.688832376967,411518.0
Objective Value, Total Weight
12060.267748230952,405585.0
12042.80224848137,404893.0
12062.598717445624,405647.0
12062.598717445624,405647.0
12253.503417731554,406707.0
9981.84115667321,403406.0
12093.448900900665,406627.0
Objective Value, Total Weight
10468.62197707122,420016.0
11120.326805264922,421316.0
10675.785131617624,420597.0
11319.348984648532,421897.0
11281.101426556532,421518.0
11120.326805264922,421316.0
11343.371738918533,422540.0
10468.62197707122,420016.0
10675.785131617624,420597.0
10766.729520873167,421031.0
10766.729520873167,421031.0
10806.004843382922,421248.0
11747.256815340079,423145.0
11763.861332198838,423788.0
Objective Value, Total Weight
13904.807199925941,390939.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13003.173115806247,389013.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
13167.868472313043,390426.0
11852.438167808228,388865.0
13167.868472313043,390426.0
13167.868472313043,390426.0
10820.713775857352,384864.0
14595.422359731107,393441.0
10914.466401106853,388358.0
Objective Value, Total Weight
9606.186128460919,403179.0
9543.676378756703,400890.0
9606.186128460919,403179.0
9590.92671605118,402920.0
10209.59910737729,404427.0
9684.244522544148,403954.0
9606.186128460919,403179.0
9684.244522544148,403954.0
7974.735980597907,400285.0
Objective Value, Total Weight
4378.062434741005,394012.0
4435.048145012348,394374.0
4127.434482986515,393807.0
4519.569944648305,394665.0
4882.3760231602355,395317.0
4107.93502831558,390071.0
4499.529870429542,394622.0
4540.781537117495,394986.0
4933.828455716895,396516.0
4914.39882020792,396473.0
4638.253435871622,395014.0
4499.529870429542,394622.0
5070.284785432392,397111.0
5070.284785432392,397111.0
4638.253435871622,395014.0
Objective Value, Total Weight
17881.7738362613,398609.0
9301.20640858356,382870.0
17650.80941920652,396807.0
17881.7738362613,398609.0
13174.78405569424,393562.0
17881.7738362613,398609.0
18104.70045733929,398632.0
17650.80941920652,396807.0
17650.80941920652,396807.0
18226.2640726713,401211.0
9719.666549960035,389314.0
17650.80941920652,396807.0
17881.7738362613,398609.0
17881.7738362613,398609.0
13411.61983611976,395876.0
Objective Value, Total Weight
9980.104535967053,411306.0
8898.526802973007,410045.0
9980.104535967053,411306.0
9980.104535967053,411306.0
9980.104535967053,411306.0
9980.104535967053,411306.0
Objective Value, Total Weight
9744.828854033898,402639.0
9704.381509739265,402472.0
9649.762942231551,401762.0
9744.828854033898,402639.0
10286.259448809491,402831.0
9744.828854033898,402639.0
9704.381509739265,402472.0
9744.828854033898,402639.0
9744.828854033898,402639.0
9744.828854033898,402639.0
9313.089088465727,401335.0
7438.184363447013,396565.0
