Objective Value, Total Weight
18661.14364210039,521419.0
-11835.70780691586,467170.0
6511.442794823321,490853.0
11054.57895012747,498760.0
187.49378445220646,481778.0
-5392.2325131188845,475325.0
-15868.29741574789,463004.0
3970.279233418405,487912.0
-11363.896704774583,468539.0
-4225.042950630537,476767.0
16954.34953256382,513559.0
20222.87167310971,524205.0
-2278.84748998133,479067.0
-27826.174485956668,451578.0
7949.468827259145,494002.0
14910.670294018579,506992.0
12166.01950859162,500202.0
-22742.57250410912,458683.0
-14199.133166558691,465108.0
-24635.621938714874,455678.0
Objective Value, Total Weight
562.4224129731301,505440.0
3558.615257205558,515678.0
-6894.19277145376,480063.0
-8317.87992283958,478305.0
-18652.54519126669,460959.0
-4959.976890398888,492231.0
-23410.921149364207,454345.0
-15422.201459554024,468113.0
-2387.9870445610723,498554.0
-28633.71383048338,446609.0
6142.047872708645,522594.0
-181.3797166197328,504117.0
-31451.154044140363,443318.0
-25665.216798896203,450403.0
4774.080812949454,517992.0
-12929.164921250194,471787.0
-21919.63832777948,456659.0
-17511.01087049558,463022.0
-32885.404731216375,441709.0
-39759.54293271969,436492.0
Objective Value, Total Weight
-3272.0896013255697,483670.0
7244.598697930342,506081.0
-6501.796855752356,477583.0
-14664.901976963272,465999.0
-26241.88380707591,449490.0
2661.5453758253716,494801.0
-32537.4429847009,444870.0
5031.136428889353,500124.0
-10302.93945901678,471215.0
-12311.924960333854,468458.0
-794.0150536290603,488199.0
-23983.848156802007,453797.0
-8025.295941258082,475591.0
1132.893658038578,490956.0
-21377.01803963189,457515.0
-4364.669559234055,480570.0
-34506.93589494063,441444.0
-15677.19445080345,464908.0
-44454.92916514957,434836.0
-19366.781162920175,461391.0
Objective Value, Total Weight
-23171.16257637972,456558.0
-50174.10016629379,431421.0
12071.331771351397,513084.0
-15185.301426759805,466863.0
1088.6839505888056,491908.0
-36854.982892343076,442599.0
-21429.022663750104,458794.0
-26470.718149874476,452533.0
-33741.097964444314,445485.0
-12055.38070578908,471880.0
3525.8455876378575,495621.0
-6258.337477631518,480981.0
8424.339187197387,504711.0
-8527.809289793833,477151.0
-19100.157778890338,461609.0
-2065.7432291244622,487258.0
-48212.63319431711,433409.0
-30285.7033298437,449172.0
-43984.92543105199,438020.0
-64495.97012779908,415489.0
Objective Value, Total Weight
-10034.133160810801,470478.0
7860.166910884087,498960.0
285.2458853950957,486922.0
-2333.5236633569,482802.0
-21768.341544392984,454070.0
15678.086394030834,520660.0
19379.130079872324,530285.0
-38460.44626528025,428323.0
-6829.287005899008,474649.0
-15701.13050164259,461867.0
12429.652223768528,508509.0
10961.190162754501,505891.0
3457.1002997290343,490907.0
-5737.174930637586,477039.0
-20549.19476994092,455723.0
