Objective Value, Total Weight
72461.8335642101,683476.0
-392754.3625324604,40825.0
-192651.16577141418,260645.0
-138934.7056106584,320132.0
-314906.88587131933,122076.0
-241498.15074064606,202805.0
-3626.0823929632315,501115.0
61845.25435408321,634092.0
26195.54503652407,561651.0
-22902.855010122526,493962.0
-271044.6560512636,172248.0
-119496.87444485282,350798.0
-77540.18660368607,401150.0
-45679.79822880833,441855.0
-58577.03438082605,423257.0
44670.04943059618,599844.0
-94984.1716730512,379231.0
-328516.12725368846,105405.0
-103664.07557363785,368706.0
-371343.4946516229,63770.0
Objective Value, Total Weight
75845.9485407098,671024.0
-401459.02927524963,32551.0
-214657.94545256265,236210.0
-44876.288089587586,436398.0
-316666.01464708726,119983.0
-245478.02615487203,201644.0
-21754.77004926803,471098.0
-284783.28045822954,152427.0
-149033.09833837766,311415.0
69245.78104385396,638136.0
-12323.08616089297,516620.0
-81289.11189555714,389119.0
-126396.89011908171,335677.0
13625.264996965067,537689.0
-266991.46989434975,173446.0
-174960.89764667436,275978.0
41465.53371997981,602166.0
-376422.3211240758,60799.0
-346250.0072846465,91093.0
-103141.42874831869,360936.0
Objective Value, Total Weight
70378.0609260156,671257.0
-394854.433036913,41120.0
-259337.53726438142,187299.0
-214999.20442014583,225838.0
-355282.10037048394,83970.0
-120682.52103917545,343858.0
-156040.540338228,301211.0
-287075.6694583796,154865.0
973.2388797282474,512136.0
-47572.795521095046,433417.0
-82954.63268627168,404070.0
-199237.11325145228,251868.0
24453.16543908883,553883.0
31664.991512143635,572652.0
-304936.6291268861,131176.0
-16375.059923779685,504037.0
-335785.3651520069,103411.0
-186107.5014358994,269481.0
-102938.86821387429,365261.0
-96516.69461954222,373914.0
Objective Value, Total Weight
-397778.7964125992,37935.0
74992.80391933362,684701.0
37437.286863141344,607368.0
-187742.04832929728,263663.0
31205.471657187445,551439.0
-237338.5859274306,204598.0
-29643.508533793734,458486.0
74850.02031948057,667627.0
-5893.02508786635,499528.0
-306441.0357235528,131554.0
-59291.09396700852,424407.0
-359288.8275420288,80018.0
-273208.8004459133,164031.0
-80688.81314102176,390085.0
-169788.04155103763,282223.0
-157189.77247851877,303405.0
-347754.3827664585,88370.0
-9503.198770205025,496783.0
-116661.89103417168,350527.0
-322048.94709472684,114423.0
Objective Value, Total Weight
71109.81297157356,692303.0
-389117.9492330115,46546.0
35359.57723268296,599523.0
-11208.76399768435,493068.0
8527.121987119433,523312.0
-301710.5345021121,141617.0
-70357.43785692996,410341.0
-37015.593447186635,456086.0
27129.475950772874,565929.0
-270639.3284185559,178290.0
-210990.54329315596,238255.0
59469.44583359419,652628.0
-358238.67470056965,82399.0
-137992.33266249998,325293.0
-93330.02586464619,372541.0
-51936.32403374417,433345.0
-201116.7743082022,250661.0
-107341.07356093032,362472.0
-241707.92263174866,201870.0
-316567.58395353745,121425.0
Objective Value, Total Weight
82722.64132800442,723726.0
-403946.09129214124,30008.0
-39537.747287528706,448880.0
-249402.09965474316,203813.0
-194272.5101892192,262247.0
-4403.479458986549,495586.0
11981.680721078184,528944.0
46627.45367180754,656483.0
-156337.3195317514,297382.0
77909.43794872751,678922.0
-131645.67090169096,328075.0
-75411.04511487542,400973.0
-264864.2034930499,176310.0
-292717.6736869137,150953.0
26662.741033294355,587078.0
-182636.92017427902,280614.0
-106129.1709260142,364320.0
35508.40860036155,611479.0
-83101.06564679928,395144.0
-375739.56667640404,58903.0
Objective Value, Total Weight
-395874.32601425983,40153.0
74453.1595817986,670663.0
-121367.23737476871,343176.0
-4055.33553304174,502539.0
-66805.93506061786,406260.0
9955.667475657421,553168.0
35302.20954423386,575990.0
-268605.1151752629,170672.0
-166824.55215401133,284976.0
-34795.13965560857,464573.0
-241683.4440030264,201128.0
-306366.1756182485,129367.0
-208357.04094200564,245033.0
-283986.0173394963,153961.0
-44193.68843431922,454489.0
-228007.47796342085,216082.0
-366863.15707965125,71532.0
-61221.86466025049,409320.0
48433.36919479072,618351.0
-346229.85716611147,92267.0
Objective Value, Total Weight
-396863.6393505175,37744.0
76890.73145700002,676476.0
-49550.174391327775,429849.0
