Objective Value, Total Weight
18911.61785562767,503398.0
-81548.086657485,372572.0
-71799.94412897376,387992.0
5461.957891512779,476322.0
-16127.871915790602,446468.0
-8044.343002295238,459577.0
-61869.70999381924,396059.0
12915.08897707262,490428.0
-48883.30494984123,412998.0
-53428.70402894274,402922.0
631.2833128926577,469576.0
-29148.567700951244,431814.0
-25769.75573126471,442705.0
-58761.61191306566,402891.0
-36875.877785341814,425746.0
16536.76255207497,495550.0
-22471.66460813966,443257.0
-32739.350067946245,431589.0
-3525.9521346916445,463591.0
-44833.659444133635,415869.0
Objective Value, Total Weight
-63623.68143750401,384816.0
29666.50650425686,526984.0
11752.818643062841,492907.0
-55169.784987593186,396505.0
7463.933126244927,480458.0
24115.480653504026,522936.0
20665.867864241824,513390.0
-47788.61269174772,404082.0
-33777.8687911391,422201.0
-29070.68887593178,425555.0
-39622.363928540144,416169.0
-24536.955122994492,433546.0
-62337.37753063056,392417.0
2412.8484231538605,465188.0
2482.5034259308595,473564.0
15418.944079135312,502998.0
-12427.753857518896,454124.0
-4957.2190066478215,461216.0
-5980.909708350897,459376.0
17616.470482422737,506195.0
Objective Value, Total Weight
-71614.56416756788,379481.0
32407.545590166585,530701.0
-63753.73424720578,390452.0
-9403.874126121751,453847.0
-38132.39247681387,417710.0
-54725.88744526659,399741.0
13849.752979591605,486335.0
-19285.378143002396,445468.0
7843.916824168642,478083.0
-29847.00521112664,429571.0
18406.658893152722,500825.0
23955.42655608931,509170.0
-46815.589372014394,406977.0
-29106.875263234717,436116.0
-20728.577866088133,441268.0
-43218.87008378876,416749.0
28475.598331131507,520447.0
4081.259226108901,472305.0
18334.54154000443,492565.0
-495.808321821969,467029.0
Objective Value, Total Weight
16844.724365513423,509198.0
-90016.32237613946,361193.0
12189.550179013982,493050.0
-76757.8970905327,371659.0
273.97233252378646,474144.0
5091.822663928266,481539.0
-7567.499337718589,462343.0
-87191.38271026313,363202.0
-53055.58424762741,401775.0
-39828.395757152,423948.0
-59078.80069503747,393976.0
-48011.75940027519,406765.0
-69794.3174152876,379770.0
-19148.03013046889,445043.0
-34879.42409014306,430591.0
-65496.93812974065,387297.0
-16574.482155838166,453085.0
-23181.522459304077,441308.0
-11702.857890216284,457965.0
-64148.05351925001,393609.0
Objective Value, Total Weight
29123.589199089678,518066.0
-57887.84366660321,398704.0
-44006.55447151314,409597.0
3540.6676403823076,469107.0
-50603.74755367322,402379.0
6098.3746980394935,477842.0
11381.16994599055,483721.0
23940.755756393773,506989.0
-3341.9968529710313,463119.0
-38191.17344305909,414085.0
-21821.776052148896,439565.0
-25847.290270500118,436440.0
22009.319180154358,498470.0
-27247.88797510683,428125.0
27397.905842531472,512112.0
-6169.872470462462,462318.0
-18052.832200214383,445007.0
-31935.05317900225,426592.0
-9948.587287715869,454137.0
-33583.92635292362,419961.0
Objective Value, Total Weight
20895.961264856043,516311.0
-62920.17852573586,387286.0
-23387.77901488659,434067.0
-12264.543530459283,448522.0
11419.931711610756,486349.0
6365.016484754742,474725.0
-48503.71776579006,404478.0
-56255.8986277841,396018.0
15584.86115563917,500660.0
14656.869688744191,493039.0
2804.6350639135344,470652.0
-53712.50304319069,398858.0
-44068.88752644695,410260.0
-4723.016746555804,457749.0
16867.22842179227,510566.0
-27877.931264132145,430264.0
-34758.9943176877,420965.0
-1764.5307978645433,466637.0
-8428.037266950007,455829.0
-2475.3415547697805,464057.0
Objective Value, Total Weight
-65356.771142424666,393682.0
48266.10923296539,561591.0
-45741.790899194544,413926.0
21830.668603250873,510241.0
-56753.19008513552,397759.0
-38199.39665252913,425385.0
14600.740272079827,490932.0
-29134.602303748834,432629.0
7128.231778056128,479018.0
37994.673700276646,535179.0
1086.1449956225697,470216.0
-26429.678990493296,443942.0
42500.2157702531,549185.0
30098.102655994124,517355.0
-4220.022174416459,466232.0
36348.47100757761,527954.0
11504.082149586058,487035.0
-18322.29152211547,445072.0
31981.810305660474,520055.0
