Objective Value, Total Weight
-2158.494409751387,6851.0
-1817.5297051218513,7484.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
-2158.494409751387,6851.0
Objective Value, Total Weight
-132.34627396477117,6747.0
-2384.9709391184315,4138.0
-132.34627396477117,6747.0
-964.3300092658974,5930.0
-1273.649080097788,4955.0
-340.0087348836714,6006.0
-1932.9302262836727,4256.0
-313.8873806765223,6536.0
-1535.1863784601446,4744.0
-1932.9302262836727,4256.0
-1535.1863784601446,4744.0
-964.3300092658974,5930.0
-1365.2727118374114,4838.0
-313.8873806765223,6536.0
-1316.3340884254976,4946.0
-1365.2727118374114,4838.0
-1535.1863784601446,4744.0
-1535.1863784601446,4744.0
-1535.1863784601446,4744.0
-132.34627396477117,6747.0
Objective Value, Total Weight
-1715.484008143424,3585.0
2085.0262567389673,7583.0
-1715.484008143424,3585.0
2085.0262567389673,7583.0
1330.2231148415249,6115.0
185.1215540498688,4937.0
2054.666798966595,6982.0
371.54547543282024,5698.0
-690.7984914065255,4232.0
1330.2231148415249,6115.0
1733.9337025979275,6740.0
571.9820692190133,5700.0
571.9820692190133,5700.0
-217.8969946826146,4581.0
-15.789699283531263,4935.0
-885.1383270637525,3992.0
-1186.474927305043,3989.0
-1402.755317378178,3826.0
1934.4275726730211,6742.0
-451.6294832405947,4403.0
Objective Value, Total Weight
-1857.1733496463057,4426.0
-1178.575135158584,5053.0
-1857.1733496463057,4426.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1857.1733496463057,4426.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1401.3907561794513,4614.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
-1857.1733496463057,4426.0
Objective Value, Total Weight
-3805.2088861933153,5033.0
-3805.2088861933153,5033.0
-3460.3678762467425,5407.0
Objective Value, Total Weight
-2729.45726123255,4201.0
-1574.0258819630626,4705.0
-2580.5423944566355,4409.0
-1843.3349845339671,4503.0
-1843.3349845339671,4503.0
-1843.3349845339671,4503.0
-2729.45726123255,4201.0
-2599.5193179015278,4302.0
-1843.3349845339671,4503.0
-1843.3349845339671,4503.0
-2599.5193179015278,4302.0
-1843.3349845339671,4503.0
-2599.5193179015278,4302.0
-2599.5193179015278,4302.0
51.84755626484366,6368.0
-1308.54154114654,5164.0
-1843.3349845339671,4503.0
Objective Value, Total Weight
-3375.031345978987,2232.0
763.3294663907836,7467.0
763.3294663907836,7467.0
-3375.031345978987,2232.0
548.9530788463599,5845.0
-705.0612592730595,4203.0
67.3537162931716,4845.0
-1558.7017608605038,3597.0
-1161.8284399975546,3935.0
-2887.09233410302,2297.0
-1062.2393402766947,4142.0
-2017.5881477470657,3147.0
-2017.5881477470657,3147.0
67.39359282322948,5235.0
-2241.5866121185736,2907.0
331.0850339638155,5540.0
331.0850339638155,5540.0
-1389.8114985232278,3695.0
-1389.8114985232278,3695.0
-2650.823968438771,2537.0
Objective Value, Total Weight
-3372.7422295002707,3086.0
33.353551616522964,6265.0
-3372.7422295002707,3086.0
-207.22313235114962,6084.0
-1578.8949925426932,4593.0
-1908.4476002550782,4298.0
-801.3028571770901,5781.0
-1392.7069311410105,4833.0
-2359.5995120727875,3987.0
-1232.1874403745023,5047.0
-1208.0793365450536,5357.0
-1015.0242539694045,5359.0
-2602.4927446008533,3736.0
-801.3028571770901,5781.0
-2043.4535084552354,4206.0
-2887.3455363990324,3537.0
-896.6629505742185,5525.0
-3166.3706754924624,3326.0
-2043.4535084552354,4206.0
-2887.3455363990324,3537.0
Objective Value, Total Weight
-4226.017160470207,1768.0
-74.3938308907218,6868.0
-4226.017160470207,1768.0
-3204.658147523938,2662.0
-756.7119109711539,4637.0
-348.30924831651464,5349.0
-542.7096091917592,5287.0
-1163.7688291652985,4285.0
-2470.4332449929843,3293.0
-1836.0321793529001,4053.0
-2157.9655233587227,3452.0
-3680.585594377315,2231.0
-1163.7688291652985,4285.0
-2641.016926770214,3064.0
-3680.585594377315,2231.0
-3882.2900933498913,2073.0
-2796.09584202972,2988.0
-1995.9353009042688,3991.0
-3882.2900933498913,2073.0
-2118.4427003096143,3844.0
Objective Value, Total Weight
-4200.778517467712,1421.0
409.5228922479291,7254.0
-4200.778517467712,1421.0
-219.8184321567096,5743.0
-3323.41255655482,2581.0
56.13686237382535,6715.0
-1631.3022413327526,4357.0
-1009.8143561791076,5110.0
-2271.296174411753,2946.0
-1674.1666688483583,3620.0
-2905.6470380513792,2684.0
-758.3200419317109,5365.0
-3521.27456538308,2010.0
56.13686237382535,6715.0
-676.2276785616468,5672.0
-1090.212020231229,4516.0
-2041.8194116143359,3306.0
-2041.8194116143359,3306.0
-2591.5606274587526,2744.0
-1277.366216972755,4422.0
