Objective Value, Total Weight
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
-3884.3486416169035,8600.0
Objective Value, Total Weight
-5780.4321396987725,7884.0
Objective Value, Total Weight
-2448.1892885476263,7082.0
-2448.1892885476263,7082.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
-2410.773538779127,8302.0
Objective Value, Total Weight
-2083.1183900581163,7064.0
Objective Value, Total Weight
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
-1592.2696767851503,7532.0
Objective Value, Total Weight
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
-10655.957908098953,10124.0
Objective Value, Total Weight
-1017.3850857003654,6329.0
-1017.3850857003654,6329.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1017.3850857003654,6329.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1905.0264000003535,4593.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
-1625.5305365723925,5653.0
Objective Value, Total Weight
96.84607494832562,6319.0
-1336.3255222566304,4493.0
-496.640672360636,5757.0
-1233.3451584607392,4540.0
-824.2528077819707,5493.0
-824.2528077819707,5493.0
-1233.3451584607392,4540.0
-496.640672360636,5757.0
115.67100553212185,6788.0
-2150.932716416364,3654.0
-2094.243606602323,4466.0
-2094.243606602323,4466.0
-1233.3451584607392,4540.0
-2094.243606602323,4466.0
-496.640672360636,5757.0
-824.2528077819707,5493.0
-2094.243606602323,4466.0
-824.2528077819707,5493.0
-66.11412832155929,5788.0
115.67100553212185,6788.0
Objective Value, Total Weight
15342.930304852947,9934.0
Objective Value, Total Weight
-2043.9635921318113,4603.0
-1783.1257258496007,4805.0
-653.4747744434644,5903.0
-592.143044913937,6193.0
-592.143044913937,6193.0
-592.143044913937,6193.0
-1376.3271596133181,4913.0
-1376.3271596133181,4913.0
-2043.9635921318113,4603.0
-2043.9635921318113,4603.0
-1376.3271596133181,4913.0
-1855.269410715795,4725.0
-1126.4346066828693,5115.0
-1783.1257258496007,4805.0
-1855.269410715795,4725.0
-1783.1257258496007,4805.0
-970.8648887073196,5355.0
-970.8648887073196,5355.0
-1126.4346066828693,5115.0
-970.8648887073196,5355.0
