Objective Value, Total Weight
-967.3726741055007,4890.0
-866.7326914274199,4891.0
-967.3726741055007,4890.0
1093.9497236828756,6678.0
-831.1005945882816,5013.0
581.7598311641832,6408.0
-594.6938372333616,5077.0
-393.873931208037,5079.0
-393.873931208037,5079.0
-134.14247357612567,5481.0
-494.47493593108084,5078.0
-34.05034968893324,5482.0
159.0142891161904,5667.0
-363.7705122553916,5201.0
-140.6346751452984,5281.0
308.1818752412728,5868.0
-341.3546735869495,5279.0
193.4117546415382,5684.0
408.32318596622645,5869.0
-241.19207334657585,5280.0
Objective Value, Total Weight
-2129.91821482824,4942.0
-2129.91821482824,4942.0
-1750.6817862872613,5270.0
-1750.6817862872613,5270.0
-1986.1431929392093,5068.0
-1986.1431929392093,5068.0
-1986.1431929392093,5068.0
-2129.91821482824,4942.0
-1750.6817862872613,5270.0
-1750.6817862872613,5270.0
-1467.4216695786927,6190.0
-1467.4216695786927,6190.0
-1467.4216695786927,6190.0
-1308.452585052435,6316.0
-1308.452585052435,6316.0
-1308.452585052435,6316.0
-1182.5178208418365,6518.0
-1182.5178208418365,6518.0
-1182.5178208418365,6518.0
-1182.5178208418365,6518.0
Objective Value, Total Weight
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1702.4155223532998,6464.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1200.8609153841244,6778.0
-1200.8609153841244,6778.0
-1200.8609153841244,6778.0
-1200.8609153841244,6778.0
-1537.5174839178126,6590.0
-1537.5174839178126,6590.0
-1200.8609153841244,6778.0
-1200.8609153841244,6778.0
-1200.8609153841244,6778.0
Objective Value, Total Weight
-2980.6082520530745,4671.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1618.9413168131314,4808.0
-1517.7818833319616,5852.0
-1618.9413168131314,4808.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1340.125818006576,6226.0
-1618.9413168131314,4808.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1618.9413168131314,4808.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1618.9413168131314,4808.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
-1517.7818833319616,5852.0
Objective Value, Total Weight
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
-2678.7777126563215,7844.0
Objective Value, Total Weight
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
-328.3459525553262,7028.0
Objective Value, Total Weight
-1098.6973113307613,5765.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1098.6973113307613,5765.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1098.6973113307613,5765.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1098.6973113307613,5765.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
-1757.629962664847,5138.0
Objective Value, Total Weight
-9044.812199271193,7790.0
-9044.812199271193,7790.0
-9044.812199271193,7790.0
-9044.812199271193,7790.0
Objective Value, Total Weight
-3232.675664969387,5121.0
-3232.675664969387,5121.0
-3232.675664969387,5121.0
-3232.675664969387,5121.0
-3232.675664969387,5121.0
-2868.1563855042787,6808.0
Objective Value, Total Weight
-2423.732615508603,5197.0
-2523.3823677554483,5196.0
-2423.732615508603,5197.0
-785.5643103879283,5676.0
-736.845129991807,7214.0
-2622.177987228999,5195.0
-2523.3823677554483,5196.0
-736.845129991807,7214.0
-2622.177987228999,5195.0
-2721.82892586705,5194.0
-2721.82892586705,5194.0
-465.6995318113568,7402.0
-785.5643103879283,5676.0
-2036.452540027005,5385.0
-2036.452540027005,5385.0
-2136.0052944284344,5384.0
-2334.2580687283153,5382.0
-2234.7039867058957,5383.0
-2334.2580687283153,5382.0
-2234.7039867058957,5383.0
