Objective Value, Total Weight
-14932.981435424466,12002.0
6737.155606495449,41027.0
3296.1103364269147,31366.0
4499.73347317116,33753.0
-13532.330173400806,14136.0
-2672.9575284948005,24008.0
-9680.643062008508,16607.0
-93.04513867356582,28012.0
-8035.797032218412,18083.0
5509.160784204621,36123.0
-11994.110935602454,15634.0
6665.463148282761,38040.0
1679.4017343389569,29148.0
-601.371958098076,25971.0
-7332.818055503551,18833.0
-4712.886827657152,21710.0
-10898.908062274488,15742.0
-5850.057957456971,20213.0
-3813.4361527524015,22705.0
1416.7654500729986,28862.0
Objective Value, Total Weight
-10750.777318513843,15240.0
7713.040791822961,39568.0
-3939.3466015638405,22138.0
6400.105506002328,38030.0
1139.48338305582,28903.0
-1677.9048187827284,24998.0
-195.01796848205413,25974.0
3697.856204062031,31117.0
5050.903202269728,33257.0
2367.4293885656443,30004.0
871.4987446484447,26766.0
-5755.946557148229,20640.0
-8815.149839954072,17318.0
6396.005679430331,35268.0
-3102.133121656727,23748.0
-9506.875009539293,16708.0
-7713.4642337743935,18527.0
-2751.304237466051,24174.0
5770.790592872159,35165.0
3264.9676334777323,30810.0
Objective Value, Total Weight
6736.561952841301,41096.0
-15077.271753006793,12396.0
3853.9777064254595,31405.0
-550.9604844959613,25627.0
5756.4346541406485,35508.0
6657.219766623988,39171.0
-2891.7968710857967,23829.0
-11974.645054605957,14662.0
5173.110524298194,34122.0
-10274.236690335965,16400.0
-5993.9339631273615,21042.0
2894.2425275809655,29454.0
-4319.47511008157,22163.0
-9220.221572176524,17172.0
1852.7733010691518,29092.0
-6803.773229523082,20087.0
-13473.115449224992,13498.0
-3792.86237254148,23082.0
-10.113216219004244,27246.0
-13411.851743639963,13915.0
Objective Value, Total Weight
-9228.582624112838,17323.0
7208.657329037946,40348.0
-5681.0815721283725,20814.0
-7136.200617052586,19301.0
352.9949346157737,27549.0
-1521.152589140649,24685.0
-774.9233272605998,26410.0
1639.0628856067924,28620.0
6242.961510874753,35984.0
2681.012969451942,29533.0
-4019.0721824811044,22284.0
-8289.797520947555,18559.0
5258.452080042538,35171.0
-2782.088319635972,23698.0
4720.477534634723,34049.0
3026.8194095757135,31331.0
6621.358668576388,37959.0
4140.319438231643,33215.0
-3164.0084111080505,23068.0
6931.046635262632,39925.0
Objective Value, Total Weight
6569.635595258194,41291.0
-13263.440119852112,13589.0
-11431.433615378093,15772.0
-9359.863932533783,16905.0
641.1081361495017,28202.0
5703.8629209847495,36681.0
-7999.366945501453,18749.0
6169.596474304715,39711.0
5080.80640854899,34906.0
-2963.9531704046385,22776.0
-7098.954666700774,19801.0
1617.0482748226568,29480.0
-4634.961864573808,22332.0
-1114.5365594769828,26211.0
-13170.718683924239,13749.0
2107.529485875464,32210.0
-2330.2250368805107,24690.0
3736.202763117093,33160.0
-5503.119124567529,20674.0
3876.389505033476,33622.0
Objective Value, Total Weight
6580.033576940827,38103.0
-16412.076047446015,11385.0
-13614.475840729716,13386.0
-11531.475410982719,15148.0
3918.459313996231,33100.0
2981.499902437725,31174.0
1894.2717773275654,29305.0
-6057.859354970649,20458.0
5331.212332149684,35400.0
-4439.438236293878,21841.0
-7695.466367054876,18596.0
5916.007809457638,35813.0
641.4390460572031,26736.0
-10280.692924574621,16695.0
670.197766360594,28361.0
-8564.083862503074,17153.0
-6644.72005238483,19150.0
-832.8033389245538,25985.0
-2767.6280440366754,23463.0
-1648.484419266315,25749.0
Objective Value, Total Weight
-12484.972517871363,15206.0
7395.001547225787,40462.0
-5276.375029977731,20879.0
4351.604124243153,31418.0
-6465.937431754137,18811.0
-9701.997500825797,15996.0
-3173.005230757706,22496.0
4875.079201047687,34411.0
-8313.12369947433,17945.0
6591.643262183032,37230.0
5518.361764022884,35249.0
2582.485875478713,29804.0
-8659.891278327734,16534.0
-2252.7881559818416,23518.0
6212.300678496198,37058.0
-832.2701124516389,25987.0
-1021.6920057296229,24615.0
834.4888939718148,27576.0
2084.5961169859293,27957.0
483.96554308503255,26247.0
Objective Value, Total Weight
7316.006224531899,38282.0
-11444.109112277605,16529.0
-5493.93299427021,21032.0
-376.5229347404893,26688.0
-7434.724178405711,19448.0
5674.517048706257,35534.0
6796.645851565816,37485.0
1868.2525346208859,28703.0
-9856.126184501969,17447.0
-2210.992915517003,25145.0
2573.4089139883654,30543.0
3865.443717604925,32364.0
-9016.135976816724,18131.0
-4959.252114742281,22418.0
-3407.0423493311246,22499.0
3479.9879318142484,31009.0
-8149.634805793306,19400.0
4703.513854468518,33735.0
676.6931853571441,27303.0
709.0068349979847,28217.0
Objective Value, Total Weight
-14484.979251421748,13269.0
6474.492737647073,38920.0
5513.980282759636,36526.0
4714.610594637306,34235.0
1082.6648892505473,27725.0
-6369.716328552306,20190.0
3603.158201532351,32226.0
-7839.951367482783,18559.0
-11176.48526857746,15882.0
-5623.575800604274,21959.0
-3582.718819315938,22244.0
1419.9570178660215,30488.0
-12442.723361163167,14574.0
-660.2137231312445,26904.0
-9356.461192416056,16315.0
1934.3591858301734,31830.0
-9139.928195414017,17856.0
-3055.849985817338,23996.0
-13693.220409197682,14034.0
-2540.9615580580794,24922.0
Objective Value, Total Weight
-9862.181888978594,17173.0
7294.047170347403,40691.0
-6804.730881292213,18322.0
2057.617322557213,28770.0
4095.4471298479693,32957.0
5396.877921994732,33966.0
7247.241651433782,38555.0
3727.350568813221,30743.0
-5451.012648639684,19925.0
-1283.5011166554323,25143.0
6557.319706426548,36446.0
597.622651549631,27193.0
2432.5279644020266,30271.0
6100.689524208443,35713.0
-2247.7464275825696,23784.0
-454.4734076014065,26005.0
-4157.4995606561715,21595.0
-4783.924605434244,20372.0
411.0999600566429,26669.0
-3214.301193728119,22044.0
