Objective Value, Total Weight
3404.6124794613133,31576.0
-19425.527035770163,7654.0
-19425.527035770163,7654.0
-2327.8593559533037,24057.0
-1465.3487624752815,26300.0
-8134.466191066025,17752.0
-14508.834366783594,12001.0
-12755.383494991856,13749.0
-6893.882364217778,19309.0
-16007.317781914277,10595.0
-17609.141383317125,9282.0
1460.1464552136094,28737.0
738.1961920235044,28004.0
-17940.898381565225,8630.0
-5316.378912388835,20814.0
-4879.121974810812,21941.0
2194.639473713003,30328.0
-6196.4533049414895,19826.0
-3367.8680685970758,23004.0
-11017.913289741668,15256.0
Objective Value, Total Weight
1996.5220442651625,33560.0
-18150.06186245034,8777.0
-17066.348198302127,9910.0
-14858.586304389857,11947.0
1099.118986177804,29674.0
-2192.7955657182392,24331.0
-3367.769521505208,23017.0
-13781.516238018576,12275.0
224.74768329375365,27527.0
-1387.6576604504007,26025.0
-9506.77646987795,17025.0
-12483.081567983256,14026.0
-10508.24312366327,16000.0
-7054.205688825503,19344.0
-5175.653304116582,21622.0
1227.5370842213233,31801.0
-5938.250413694608,20311.0
-11994.919623705347,14208.0
-8408.842270653171,17666.0
1537.4850581532373,32535.0
Objective Value, Total Weight
2757.3754795565837,32398.0
-21383.277566516943,5387.0
-19882.10038749438,6907.0
-15529.115121224844,10604.0
-4918.230777762583,20642.0
-6902.259148523626,18614.0
-17892.35835528855,8622.0
-768.9528977759837,26248.0
-13443.424156925852,12207.0
-1753.4767367989043,24907.0
-8265.21815401124,16695.0
2034.8437201558263,30739.0
-7968.3951597881605,18251.0
203.06199485786055,27715.0
-12494.334379703421,12982.0
-9911.687409404618,16581.0
-4019.4944328455094,22789.0
-11279.94157493132,14222.0
-4651.457948464929,22067.0
-17212.862859562745,9803.0
Objective Value, Total Weight
2325.650297440254,32426.0
-23504.852523559486,4887.0
1409.0079462500362,30756.0
-16959.324024036363,10337.0
-13009.389978854128,13862.0
-15422.018811723181,11654.0
895.5102360375313,28667.0
-14217.506579454031,12434.0
-11706.849258700724,14780.0
-20312.446469191404,7337.0
-2946.09255769023,25332.0
-605.5944831668021,27979.0
-21454.930267331085,6473.0
-1353.8034630721522,27019.0
-18503.508376516136,8553.0
-7497.180340051287,21536.0
-7635.3103873201035,20196.0
-3969.1252019467574,23721.0
-2262.921117841892,26055.0
-6090.450168808333,22102.0
Objective Value, Total Weight
2362.158771600116,35760.0
-20380.85308271675,6890.0
-7068.612135306255,20015.0
-1190.3848695945344,25691.0
-17220.42411564878,9640.0
-8868.629413332652,17714.0
-19387.986716898435,7738.0
-5045.716407053333,20730.0
441.02049940420693,27193.0
-11277.789864594353,15992.0
1724.1106553218633,33537.0
-9168.096980198443,16930.0
643.1294488264903,28818.0
1174.1804030414642,30747.0
-4779.985654971657,22651.0
-15743.799149267732,11252.0
1473.5118930395547,31667.0
-16645.174733758242,10433.0
-3316.765567444607,23585.0
-15173.551049717338,12130.0
Objective Value, Total Weight
5399.62596453775,37695.0
-18963.94755222666,7917.0
3836.769904094421,34539.0
-16679.34996087734,9664.0
-2907.485712289592,24006.0
581.2708016960678,28587.0
-1589.4244753960375,25709.0
2854.5304943593146,33333.0
-662.9961628665478,26709.0
-10303.67628088396,15584.0
-9662.393418772757,17217.0
-5979.446437065853,19795.0
-8571.901659681855,17527.0
2573.1192391269506,31494.0
-12504.014130679083,13624.0
-4122.904389651398,22853.0
-7371.543812721509,18273.0
-15547.182534569216,11082.0
-14967.277172086739,11097.0
1877.6021306225448,30691.0
Objective Value, Total Weight
2548.0555733389047,33673.0
2548.0555733389047,33673.0
-18051.253170560896,8216.0
