Objective Value, Total Weight
-5523.6825063106735,34652.0
2427.6409175258887,43385.0
715.4926477791159,41881.0
9229.4384598467,54609.0
3048.4155000115716,44319.0
8146.6433673030115,52371.0
-4439.43092689896,36152.0
-5227.511505810253,35044.0
6193.793177956919,48663.0
-1353.306453155572,38953.0
6965.028963762576,50688.0
5085.097572819672,47257.0
3908.1238992580256,45445.0
-6934.392753823689,33634.0
322.2832307595818,41430.0
-2440.6935941592164,37847.0
5544.58188217265,47947.0
-358.35833335627103,40133.0
9688.635339782362,56195.0
-10010.86680362415,32961.0
Objective Value, Total Weight
2863.0566693733927,44038.0
2296.3188168799243,43716.0
48.63427586964826,41697.0
9517.067371714707,58067.0
5530.778455549982,47146.0
3453.343988108136,45215.0
6621.024238733546,49223.0
-1969.6190013655942,38835.0
7591.87692827532,52153.0
-8463.245864230295,33906.0
8291.069156689438,53815.0
5961.363540898303,47969.0
1496.7350024721454,42935.0
4265.322192061496,46331.0
-9878.400270491875,32749.0
-4178.084942092886,36015.0
-483.9517901836225,40696.0
-3864.7002484079494,36587.0
-2259.560218963241,38345.0
-11640.796252505585,30413.0
Objective Value, Total Weight
2690.0497106447947,43521.0
2954.441244948255,44586.0
-661.6582829141407,40068.0
6070.2208422681215,48678.0
5662.690245853999,47752.0
8865.430089605157,53882.0
-2557.4958691233114,37627.0
-5035.6462656933,34810.0
7770.56870687857,51848.0
839.0065308411722,42151.0
5282.4033218392215,47302.0
-4289.3942878087255,35317.0
3520.8854823452857,45366.0
-3764.041346612932,36288.0
-1217.086248775886,39419.0
-7713.392752902029,32884.0
9941.304321136864,57428.0
6875.779302319366,49927.0
1292.4881354320605,42469.0
-10069.860254991392,31487.0
Objective Value, Total Weight
469.53058515221346,40252.0
2299.8858960651487,42095.0
4596.464265771152,46296.0
10660.256481323842,59603.0
3146.1022935365036,42949.0
3499.256908747877,43454.0
5593.107698526095,47225.0
-2591.8844636930153,36934.0
7276.383572771447,50029.0
-5238.459099039013,34162.0
6297.2769288821,48149.0
-1336.4119273700926,38667.0
9280.05856747461,54686.0
-6755.312625568527,32547.0
-2089.148442455422,37834.0
-3717.92076918386,35422.0
380.1183702567869,40048.0
8626.15344960423,53149.0
-6064.471930537744,33534.0
-13721.582920405337,30726.0
Objective Value, Total Weight
1970.8790059902894,44047.0
10330.795786207804,57446.0
-2982.5878225908164,38226.0
4991.620099768406,47084.0
9324.369888459252,54717.0
10599.746473672021,58608.0
3411.2474560477494,45419.0
3901.8514162863503,46258.0
-5917.448370434024,34951.0
967.0053172170956,43070.0
-1096.461638966437,40253.0
7700.6217683128925,51792.0
-1827.345842884948,39717.0
6655.281704839188,50491.0
8855.17511583618,53345.0
5534.567625352087,48472.0
7240.953485003476,51222.0
-5087.659360880796,35589.0
-78.61047513171798,41709.0
-4064.001097401255,37136.0
Objective Value, Total Weight
11157.971991872379,58838.0
1131.4127660194354,41409.0
-3161.0786135230082,37247.0
8796.165374028533,53121.0
4910.6379801011935,46731.0
4339.974704274762,46082.0
-471.4626528356457,40412.0
9459.024625725338,54174.0
-2632.6310838298814,37563.0
3707.629151205343,44946.0
2002.6242814670768,42996.0
