Objective Value, Total Weight
4727.164761393709,52635.0
-32400.987354809033,7990.0
-32400.987354809033,7990.0
-1742.8812518923733,42062.0
1285.1012226642997,45409.0
-18849.006272390012,20741.0
-26504.146192407163,12924.0
-21364.8574360817,17967.0
-23877.427021821815,15614.0
-14423.919252105596,26159.0
-10984.73979678368,28886.0
3845.5625472598185,49431.0
-28409.40526329314,11422.0
-8888.326078800485,32045.0
2292.331878988931,47929.0
-17248.59772473666,23662.0
-23031.120079429304,16570.0
-11612.017214346997,27682.0
-5336.826285618605,36162.0
-17342.593206889615,23238.0
Objective Value, Total Weight
-32827.31993957214,8743.0
5891.280219758235,57274.0
-32827.31993957214,8743.0
-9613.323688519704,31011.0
-5334.094839372039,35973.0
-22052.846081788288,19523.0
-26197.49588902296,14460.0
-17643.024323444515,22303.0
-29202.121497351203,12130.0
-10618.350212771496,29418.0
4333.892070614478,51784.0
5141.410927855242,56197.0
-534.553507756973,42917.0
-24809.355945275543,17463.0
-12905.964240673522,27263.0
-3504.6968603264686,38979.0
368.14152778097923,46042.0
3374.1907202647053,50886.0
-14486.087253963124,26013.0
1984.793213403187,47368.0
Objective Value, Total Weight
3219.9614393677475,52251.0
3219.9614393677475,52251.0
-29649.13525200959,11567.0
-9396.488064222169,31980.0
-14039.254245041739,26792.0
-17461.743832501226,22714.0
-14882.557470236454,25773.0
-26149.079789473355,15259.0
-28326.804113308513,12616.0
-20199.712554829144,20193.0
-251.22577090923005,45153.0
1269.0740388226623,47683.0
2260.2662715801052,51422.0
-8759.707755372714,34475.0
-23030.805597097526,18852.0
-5326.042860218629,37195.0
-7216.274289148816,36803.0
-18877.11453190122,21507.0
-7326.901917171817,34922.0
-4964.880606653191,38901.0
Objective Value, Total Weight
4745.967742683097,55315.0
-31224.38279665931,9794.0
-20610.110472078668,20323.0
-28852.469909742707,12346.0
-955.7762275662099,42655.0
-24060.870043809366,16434.0
-18062.114430487964,22500.0
-2919.2269267285083,40325.0
197.4458206531708,46116.0
-11793.373432770422,28555.0
-25801.092870425047,15132.0
-4449.796778057003,38853.0
-5191.339715585316,36073.0
-9560.899727289383,32790.0
2325.801601647654,51499.0
-16615.397631311484,24125.0
-13465.333874785152,26675.0
-7808.251698853972,33929.0
3300.9385806145947,53639.0
-13951.291306228763,26103.0
Objective Value, Total Weight
4413.801491878308,54445.0
-30907.985754645837,10482.0
-30907.985754645837,10482.0
-9292.97275537598,32173.0
-13686.968691204253,27414.0
3131.2292197207207,50156.0
-6949.950079764225,33950.0
1578.3497628797195,46803.0
-4913.164512893905,36476.0
-3174.773441820049,38053.0
-1581.4660975343722,40504.0
-19710.225006509638,20069.0
-28375.479112012814,12510.0
-18053.547247152906,21367.0
-22283.108587288196,18102.0
-15825.993840497053,24907.0
705.8797485563409,44047.0
-25774.085596935343,14238.0
-16652.714753288426,23251.0
-29968.720594294195,11262.0
Objective Value, Total Weight
4969.638888900743,57473.0
-33236.66828927055,7539.0
-24662.986305609033,15136.0
-31174.389858710623,10044.0
3814.704119868482,53514.0
-22755.861764784007,17710.0
-11450.576841706432,28533.0
-4758.060640069474,37333.0
-14952.60039271952,24822.0
2449.5922439459537,48812.0
-6018.757157601605,35681.0
-10686.949615145204,29237.0
180.07734717322455,46086.0
-20903.963894837674,20323.0
-7783.509486177951,33509.0
-1078.2643848291118,44626.0
-1705.262337418666,42133.0
-8687.50861173051,32430.0
-2938.11035208009,40449.0
1953.090261561847,47893.0
Objective Value, Total Weight
3542.2852597959427,51143.0
3542.2852597959427,51143.0
-32240.014982564244,9258.0
-32240.014982564244,9258.0
-17371.074138833857,22905.0
-21723.763282621236,18485.0
-14244.55485973072,27030.0
-10899.477211441095,29646.0
434.40812985465163,47565.0
-27070.85966935174,14647.0
-191.4692262680619,43111.0
-8843.717033290566,32175.0
-29381.520116104868,11576.0
-5573.159065622305,37180.0
2590.7592049547748,49105.0
-12599.518481243373,27299.0
-3852.514788794222,39487.0
-25061.95103354805,15656.0
-1544.4496801231799,41863.0
-30505.99953399547,11010.0
Objective Value, Total Weight
-28083.251034544002,11565.0
4889.803301618391,57713.0
-6467.948417606414,35582.0
3388.834609696649,52547.0
-17419.842948324193,23352.0
-3777.373502108414,39575.0
-8430.581044973675,32269.0
-14929.709526158382,25195.0
-18933.138210588222,21200.0
-551.95686907645,42282.0
452.4205567777826,45905.0
-20810.332117160156,18937.0
-13833.981870694035,27678.0
-22222.28008844552,17605.0
-2422.8141128872594,40823.0
-25173.137760862788,14339.0
1373.9749306996673,48467.0
1373.9749306996673,48467.0
-23708.68545670343,16827.0
-24075.67029664467,15593.0
Objective Value, Total Weight
2995.877480815485,50984.0
-31910.209092388934,9764.0
-9093.994845401692,31300.0
-29300.1467902418,12138.0
-3283.9271583196605,40583.0
-25934.685373974964,15321.0
-19973.37837492713,20946.0
-23925.535553265516,17362.0
-27504.211704544534,13553.0
1476.8757977578207,47646.0
-3997.5731760673298,37364.0
708.7812903192389,45051.0
-17545.226542207936,22656.0
-11079.631567389064,29441.0
-15330.75169064376,24670.0
-1166.651106177269,42881.0
-13494.095789885949,26939.0
-4991.335144533157,35924.0
-21260.034022811713,19536.0
