Objective Value, Total Weight
-20007.547192657905,20590.0
10581.48374243865,64219.0
-13521.684466057712,26123.0
-16867.75533476408,24169.0
-2076.2702059717994,37545.0
9754.363027749103,57922.0
-10879.901248630078,30222.0
-3786.0642305050496,34579.0
-5267.652214843118,33742.0
-17878.408620501403,21872.0
7639.662441692344,54459.0
3477.158126138158,45176.0
-422.5607138267369,39672.0
8394.170030133057,57815.0
-7954.985536905631,32187.0
5075.637583314812,46876.0
-422.3196403772308,41844.0
5108.679833747265,48976.0
6319.569147097369,52848.0
5689.730666961608,51629.0
Objective Value, Total Weight
10806.171583948606,60102.0
-24099.954491858836,16717.0
4148.2676228589335,46277.0
-9019.96973757047,29275.0
-13015.422909953479,27835.0
9664.923938025917,57737.0
8162.129760722579,55200.0
-3890.974224528254,36841.0
-1523.0642419890428,38649.0
-6285.218205442579,32693.0
2396.909476582703,43463.0
-6243.367836605561,36791.0
7322.508356432387,52733.0
6129.188339920052,49334.0
-8448.914593487192,32003.0
-17539.07978516953,22965.0
-13918.808923440833,26789.0
-22261.41056076836,18880.0
-18589.699485878693,20629.0
-15473.158057158442,24251.0
Objective Value, Total Weight
8827.316566753987,62815.0
-21198.982252852977,19351.0
8558.953935897982,56065.0
7224.026629333988,52121.0
-15148.968863517774,25004.0
-3529.0249985807022,36527.0
-5146.870259657691,34344.0
-2399.660067048346,38552.0
-17821.26363776104,22848.0
-11012.52238087781,29186.0
5269.17514801144,49696.0
-6765.177502707156,33137.0
-405.0846412225437,40005.0
-8285.14427079061,31552.0
1569.645075035507,43966.0
3793.0873379385666,46864.0
4674.913163254401,48479.0
-11390.665632269483,28583.0
-12714.2645704924,27044.0
-20348.673956521947,19593.0
Objective Value, Total Weight
9879.444558053168,57652.0
-22052.005520307364,19030.0
-19970.10224321748,21912.0
-12093.201095497272,27565.0
-14966.528609040251,24019.0
-4572.402139695441,36042.0
-2161.8935691269,39044.0
-16163.445754489781,23673.0
1958.5944128491828,43232.0
7885.393252407819,51111.0
4910.320242819718,46197.0
-10105.844577842989,28905.0
9121.394439052281,54938.0
751.4820233272476,40331.0
-5203.730303210745,34128.0
6559.446607814018,49043.0
8037.405698373557,53986.0
-6567.035071451668,32786.0
5154.327870628185,48954.0
-7732.4272843996005,31912.0
Objective Value, Total Weight
-18712.27372513959,20256.0
9085.087258516098,56726.0
-8754.728079524648,30745.0
-16886.163492775006,22447.0
-5461.761788181917,33956.0
3303.113293317205,43554.0
-764.3932589917385,41548.0
-14274.559546798839,25013.0
412.37521119387384,42559.0
6746.922083976766,51090.0
-2585.2337985130143,38531.0
-10688.94991029414,28929.0
-12886.694495298201,26888.0
4001.7621743673153,46532.0
-11122.713296958536,28055.0
5083.290351095537,48708.0
-2823.1275790689324,37423.0
-4176.440545739235,36021.0
6935.656677203537,53544.0
8303.769037427744,54182.0
Objective Value, Total Weight
8685.025708833848,56783.0
-20867.29100115211,18572.0
-12649.718493112166,26874.0
-14472.526383211254,24484.0
-5393.183591027642,34398.0
4706.39711729507,47990.0
6326.158119215477,50948.0
-9989.03415814737,29457.0
3554.8823054716777,45675.0
-16659.143187151778,22807.0
-7228.478464380612,32456.0
-4100.462380132049,37395.0
6731.010060416018,54148.0
-36.91566462589981,41431.0
-1973.4535392291364,39300.0
