Objective Value, Total Weight
-33631.54075918749,9270.0
-16908.573795705874,25330.0
-39402.74612108219,3242.0
-28651.81795480618,14057.0
-14039.025343994741,30302.0
-16077.09019202205,27650.0
-31291.140342878134,11237.0
-23322.935042389006,19556.0
-24701.66200095899,17386.0
-36441.4586624253,6324.0
-20537.363860853766,21758.0
-11037.066426104306,32480.0
4430.900865730953,56935.0
-9849.445597582133,35123.0
-1668.8702027307008,45430.0
-42830.65,0.0
-4537.771202901968,41894.0
274.08115120713774,49278.0
2281.50697590239,53390.0
-7742.712932293551,39016.0
Objective Value, Total Weight
-30343.27199902566,11171.0
-4177.2768448887,43509.0
-21554.423145162647,21359.0
-37313.215245786036,5420.0
-33419.87521305001,8643.0
-18885.25842466246,23612.0
-146.13062668951898,50155.0
-23772.56094298012,18586.0
-26471.97813358858,15188.0
-5259.536432770103,39103.0
-13052.316415746813,29493.0
-39213.73124436364,2660.0
-737.5165357333899,47326.0
-10452.700080855,32254.0
2646.629207068494,56937.0
-8052.891078323308,35762.0
-15785.711437434606,26256.0
-42830.65,0.0
3231.426223849863,61665.0
2580.850768321223,52846.0
Objective Value, Total Weight
-25309.69038122933,16730.0
-33563.08058174466,8407.0
-36890.95717758739,5067.0
-39217.15716971124,2982.0
-23396.290824537173,18235.0
-31158.81931015767,10703.0
-20844.24168969399,22185.0
-40985.3777864429,1425.0
-12353.846011135596,31380.0
-35329.358307467606,6890.0
-28298.77281680065,13343.0
-16354.847138692443,27854.0
-17842.698703101945,24280.0
-8626.341033536555,36832.0
-7303.500605985559,40839.0
-1700.9442181113336,46454.0
-10791.683732044534,33562.0
-42830.65,0.0
-4552.726489620276,44028.0
1080.7013884449552,50953.0
Objective Value, Total Weight
-35995.47060745793,7080.0
-27458.25151452455,14400.0
-20713.64277102927,22062.0
-25844.990362156444,16793.0
-38879.67186375394,3675.0
-7127.353781232669,38007.0
-31602.94645004019,10312.0
-5594.038474352223,41110.0
-948.9845771402106,47615.0
-12360.155811097742,31822.0
-17933.174439664304,27236.0
-14936.844543083978,29550.0
-18680.69022098749,24280.0
-9213.534234885934,35252.0
-33719.67362786966,8061.0
-23760.477115981106,19011.0
-29354.952884406986,12409.0
-42830.65,0.0
-3730.1873889015988,43829.0
504.54802933513565,51639.0
Objective Value, Total Weight
-5542.325464941314,40578.0
-19923.103062777605,21703.0
-23344.556230193695,18654.0
-32417.464283567242,8768.0
-27750.974598693792,14106.0
-30807.563430479975,10831.0
-11352.051220676098,33974.0
-9049.553606266229,36944.0
-37396.49530995333,4715.0
-13472.684894001897,31167.0
-25750.725723263196,16580.0
-40076.78823758701,2144.0
-34064.50043366855,7211.0
2546.782366748579,52393.0
-123.38856596576807,48634.0
-17750.871014437645,24556.0
-2423.1319900897724,44898.0
-14449.320245600997,28378.0
-42830.65,0.0
4082.0122661621062,56681.0
Objective Value, Total Weight
-29342.444392924786,12453.0
-13412.623070301917,30004.0
-8446.299763500727,35599.0
-38335.80768450615,4182.0
-31472.767325073815,10424.0
-40495.72742856234,1953.0
-36417.773881965404,5809.0
-34189.72608858462,7860.0
-15798.075448030366,27483.0
-18868.806123589347,25163.0
-20427.651747054733,21225.0
-26869.81478340005,15266.0
-23841.148731039844,17889.0
-6217.250691231333,37924.0
-4309.014970607997,41151.0
-2505.302980203618,44303.0
-42830.65,0.0
-10403.084842962162,32960.0
-847.7436368460549,47046.0
-120.94488243303931,51549.0
Objective Value, Total Weight
-36633.07075971156,5619.0
-29217.694398734362,12935.0
-39602.0604460912,2874.0
-32626.99947793463,9923.0
-20915.954023178463,21378.0
-26872.818723989993,15534.0
-23419.377107395267,18988.0
-4096.4254885245755,43247.0
-33933.73826795644,7389.0
-18512.400543017982,23844.0
-1784.459693618075,46207.0
-7644.556883828809,37922.0
3038.9397796022313,53228.0
304.50638963946403,50117.0
-9672.09010616011,34318.0
-5813.531928187062,41626.0
-13115.883406678935,30044.0
-16371.682383261315,27262.0
-42830.65,0.0
3975.263237797095,56778.0
Objective Value, Total Weight
-12351.506654710982,31735.0
-40414.87806623688,1732.0
-37675.38707642835,4687.0
-21545.924092438392,21613.0
-25298.413424626917,15833.0
-35048.74590686538,6795.0
-28620.17701911022,13891.0
-32557.245090944154,9174.0
-4992.1906056714,40178.0
-23179.687355847032,17981.0
-7402.137290734681,38227.0
-9671.031304576165,34077.0
-17255.084849976825,26693.0
-18896.07127773488,23979.0
-614.8026328648193,46339.0
-15175.996127572791,29411.0
-3170.109199635881,42677.0
138.2647578263859,50895.0
-42830.65,0.0
