Objective Value, Total Weight
24631.09402805232,191132.0
26567.619434817374,195170.0
26767.786338263017,195505.0
21190.537699917535,186811.0
26877.82394422512,196490.0
27521.175817259937,198484.0
21872.40187344828,186868.0
23562.040803818993,188909.0
24323.11138190684,189624.0
23027.53823591373,188321.0
23173.769617408107,188587.0
22409.12307821127,187633.0
27414.94278681872,198059.0
25134.405160896596,191690.0
24351.516371588223,190383.0
25690.732723579626,193392.0
26012.958117035887,194251.0
25167.51734272795,191933.0
20041.742484926304,185203.0
18504.684084894514,183764.0
Objective Value, Total Weight
28975.124411162513,199702.0
24916.60501498048,189751.0
30299.227753701067,200954.0
25256.253498505335,190170.0
25987.101914834202,191586.0
25577.92857628921,191078.0
27288.453465750965,194315.0
23433.987990789552,188101.0
20716.53965248959,185458.0
21109.6795759924,185924.0
24165.684127680142,188803.0
27977.150628966832,196275.0
26703.50115286006,193137.0
26259.755806837173,192219.0
28651.97842667342,198530.0
22067.607041155046,187327.0
17874.27529029947,183175.0
18635.871501785645,184114.0
19435.786403660255,184860.0
16103.015455195797,181204.0
Objective Value, Total Weight
24559.31193956916,188632.0
29513.04798349837,199091.0
29932.226366597315,201010.0
27037.283551469533,192299.0
29119.89687305095,196791.0
30143.260697069316,201367.0
29359.149733375438,197831.0
29685.10517613843,200444.0
24632.66906218353,189430.0
27896.4761276028,194233.0
27078.363421286922,192958.0
28238.136329149536,196105.0
28083.35067871859,194859.0
26778.345473334775,191950.0
25537.83844684143,190187.0
25594.73298954466,190587.0
27248.082857379603,193680.0
21936.161880599684,188290.0
20930.176105564286,187574.0
15548.585506253905,184478.0
Objective Value, Total Weight
25886.6745020308,189408.0
24953.02809221932,188072.0
26092.917680625163,190162.0
27822.38906117037,193239.0
29448.002897580678,198206.0
28249.49669685727,194525.0
29247.358747539954,195825.0
26724.186317651096,190902.0
24942.54294278202,188023.0
30814.35295765361,202150.0
29023.066876853147,195339.0
29997.677630379563,199593.0
31027.490850795555,203023.0
24425.308090038976,187579.0
27605.478057487664,193151.0
24054.917464945698,186939.0
22921.444354428764,186357.0
20896.863609205786,183938.0
17540.124985310133,180823.0
9512.194577360206,175329.0
Objective Value, Total Weight
22523.752725102357,191622.0
19450.81745822559,186815.0
23098.40574644279,194926.0
22178.96862232848,191510.0
20562.15669095615,188507.0
21458.26079226585,189290.0
20512.072934306954,187864.0
22058.30936246307,189942.0
21144.529168736335,188960.0
20562.15669095615,188507.0
20291.799322328297,187334.0
17236.745555838774,184187.0
18066.702747954114,186256.0
Objective Value, Total Weight
27576.509208913718,194533.0
24773.720051809418,189506.0
22627.973018893535,186143.0
24298.52424164675,186656.0
26650.131322817877,190564.0
20926.593605594593,182339.0
24760.60547730443,188306.0
22345.044663662848,185667.0
28754.558721295296,197035.0
28868.42027256792,199354.0
28462.34709758204,196603.0
22174.129705209372,184710.0
21673.49705789218,184467.0
26046.3635238212,189956.0
21090.318790850637,183473.0
28754.558721295296,197035.0
22352.204119833797,185890.0
13868.139044505195,181366.0
Objective Value, Total Weight
29556.697623924993,192237.0
28469.1605564708,190833.0
28441.607062249066,189752.0
26382.11904554401,187866.0
30119.99378404516,193053.0
30319.783268534142,193665.0
29021.71965313691,191638.0
31035.72708425607,194924.0
27705.272131850477,189197.0
29857.832596811408,192641.0
25304.76082023885,187398.0
27188.629483708122,188585.0
31293.9377569817,195981.0
27398.769658628793,188706.0
29465.203848499543,192081.0
30732.112950577837,194374.0
32129.3152865929,198140.0
31737.91871488499,197217.0
31449.603061401373,196363.0
23164.765822302288,187061.0
Objective Value, Total Weight
25190.861179828964,182825.0
29996.218951831688,191924.0
25915.387062466645,182949.0
27862.895410497644,186750.0
27015.596781668428,185702.0
26042.83261915925,184658.0
27862.895410497644,186750.0
27482.2474609176,186224.0
24429.78396549623,181121.0
28367.689975514193,187980.0
26444.31616625507,184977.0
30453.287559610035,192505.0
29036.513233109436,189139.0
28830.7442698293,188822.0
29303.323645102675,189554.0
29584.970298977045,190340.0
31650.250563573733,198119.0
29771.99218799782,190846.0
30800.91108115224,193366.0
31163.81936627443,195370.0
Objective Value, Total Weight
26087.817448227113,185743.0
27731.09236858788,188915.0
31123.4400317666,199308.0
29759.20129567673,193469.0
27150.69237794369,186991.0
27150.69237794369,186991.0
29691.793660964264,192904.0
25165.37847067797,182106.0
29010.31705770784,191924.0
26985.689175905456,186598.0
28306.397291074158,189667.0
29304.16767555871,192294.0
30299.584352954116,196254.0
21151.109939494258,181351.0
17509.702473591664,176247.0
25267.597930365213,183279.0
25579.26985790243,185626.0
15664.855870589497,174578.0
226.31664708719472,172429.0
Objective Value, Total Weight
33030.74988591514,200624.0
32082.63070151591,198239.0
32916.958598366036,199594.0
30356.35993876602,195657.0
29704.431062701682,194398.0
30565.23705788594,196054.0
33688.852325538144,202498.0
31478.13921640991,197695.0
32776.83313267591,198882.0
31072.382197904575,196549.0
30084.755927175836,195530.0
28758.290601029526,193375.0
26920.28232363047,192444.0
33324.54614165262,201517.0
33654.226693167206,202207.0
26025.91022447712,192051.0
34129.60396407504,203126.0
34508.90376839295,206259.0
31957.41418756757,198200.0
34728.902876239066,206564.0
