Objective Value, Total Weight
-18083.350725269032,145702.0
-10370.695394703856,154043.0
-3742.855685992952,162466.0
3735.0800523725047,174517.0
364.4188445195614,165285.0
5296.809499917406,180405.0
20426.846291673894,216892.0
10216.307696045405,186159.0
8735.376327809994,180946.0
17998.863198437408,200982.0
19814.3537730308,211575.0
4752.174591333198,177424.0
-4192.081539345498,159697.0
-8355.99334688767,157025.0
15684.60523952602,194974.0
-13347.69926871243,153202.0
11574.972712759627,189474.0
-15847.03056484519,151069.0
12142.37013967053,192603.0
18261.787532418064,208026.0
Objective Value, Total Weight
-9163.070452790853,157746.0
18822.666599070188,185494.0
22689.61920873812,188346.0
17658.18551941443,182384.0
23052.02415719675,199981.0
-11332.49700311714,155290.0
13826.575307711668,176329.0
13986.16126339187,178510.0
16507.49515862923,179125.0
11714.353891597857,174855.0
21442.727510027384,186070.0
4370.0294547804515,163684.0
5410.921351029043,166126.0
-9029.24396644652,159990.0
784.9037556312687,163510.0
-13484.74947818063,153329.0
9980.275028211123,171713.0
7870.167191771703,168273.0
-6636.743839088653,162660.0
9885.4226990256,169194.0
Objective Value, Total Weight
18380.884118796705,190756.0
-827.6194901139534,163301.0
14862.301586434507,190742.0
19602.343974718213,198515.0
-4704.399805390625,159644.0
-15975.069255050737,146400.0
20967.679408608237,201012.0
14561.204364320205,187266.0
-18008.795520321873,143873.0
23351.493990137067,207477.0
22094.614121971797,204284.0
9446.163988502754,177291.0
7867.9587251966295,172861.0
-12524.899398508482,149240.0
2057.7064398723014,166038.0
-1213.6545641405683,159676.0
24536.97854438459,212270.0
4479.8192393177305,170331.0
13724.305478930764,182059.0
-10754.663543836592,156476.0
Objective Value, Total Weight
13089.847707702691,177232.0
16359.787152150093,180342.0
28150.48172819568,213049.0
25040.311251849722,198753.0
20537.876974171464,188487.0
11444.94580328124,171499.0
21683.568036919285,192589.0
20986.00216683239,190709.0
4296.909949559253,165472.0
11805.421783503552,175223.0
7125.806172941637,169925.0
5687.505551448965,167473.0
14117.021312852652,178742.0
26591.67361138077,205729.0
24131.51848922958,195564.0
18524.842509400798,185514.0
25241.740620125114,204691.0
22593.71442850851,193109.0
5785.669686593261,169605.0
17348.068657125696,182276.0
Objective Value, Total Weight
1541.2298048407247,165053.0
-4709.9514890146675,155663.0
22182.22175280229,194117.0
22242.760133439035,202478.0
-5202.614494642883,151883.0
-1807.1671193678048,156908.0
18274.97256045579,191902.0
822.8293789104791,163432.0
5183.55037020467,170487.0
-3798.253653354448,156538.0
8545.510444886779,177833.0
18192.403609593544,189407.0
10719.695892606047,180130.0
789.590247719083,161380.0
13669.332660086191,183627.0
7231.682543896954,174436.0
15485.107406734372,186982.0
3381.473278073652,167640.0
24766.20327139445,203632.0
11706.789007449173,182464.0
Objective Value, Total Weight
15718.312094259425,182213.0
3893.579454550956,169500.0
2113.770416515501,165322.0
-8297.888088704553,155670.0
5689.872518925287,170133.0
23119.729592712596,207237.0
22683.415507633472,198968.0
20449.63459311865,188768.0
11015.358437750401,180315.0
-1106.0528229075135,165102.0
-2170.9313128542562,161621.0
17875.114634985337,186314.0
-3851.298174868425,160114.0
3633.1889741473133,166553.0
7401.625707871193,172988.0
10740.819098727487,178111.0
8701.100675299502,176576.0
-6671.895866160892,158024.0
20746.51321133625,192206.0
21146.021407800465,196188.0
Objective Value, Total Weight
2925.354081977799,169464.0
1656.121080943616,165318.0
24691.170664738805,219749.0
16235.204208791023,192587.0
18514.131513310742,201832.0
9472.06816607897,177400.0
23856.509265168163,214406.0
4761.613272235612,170127.0
15748.245069124561,186110.0
17122.950839008263,199463.0
20850.359903174714,204392.0
-6660.127040419,158460.0
23048.21317669499,210379.0
4960.122354434687,172980.0
13698.668934436399,185473.0
-2294.9433072553948,159953.0
-381.01906467881054,163391.0
11206.084753942123,180789.0
11467.573658631765,185027.0
7967.26387149567,173962.0
Objective Value, Total Weight
19989.73022001481,210975.0
-25357.89455712115,143209.0
-12365.869516530918,154456.0
18654.612339745014,208749.0
-7352.503527730878,155964.0
17074.118084633665,198550.0
-2952.918210319127,162368.0
-4961.459608097619,159251.0
15944.758079490071,189004.0
-18128.985409205983,151811.0
11331.560080426483,184489.0
6063.55343738955,173522.0
-14200.41838305624,153159.0
17755.568136971502,201074.0
-21457.0528589045,148125.0
16148.379438452015,193580.0
-25126.57774730402,146234.0
999.9074122741877,164309.0
3868.0694973399513,169437.0
8871.532082534599,179962.0
Objective Value, Total Weight
-14177.666937491187,144760.0
8085.20938792135,178953.0
6827.974716583209,174269.0
-6008.807338547136,156517.0
18361.510364410846,193457.0
10481.620807319414,179634.0
19027.21215438895,197023.0
17782.594360492745,189509.0
22245.816332414484,209774.0
3782.797399879084,171871.0
12020.64758092325,182300.0
15462.17646937989,185431.0
-12571.186923422705,147933.0
19827.798473434174,202626.0
-12047.245144791203,150637.0
-3720.885968610557,159984.0
7177.176238574117,176318.0
2136.4817572672328,167448.0
-9632.355927846482,153724.0
-1877.0587010514573,163923.0
Objective Value, Total Weight
23634.167072034412,203387.0
-6567.811780927295,157283.0
15063.102156398818,185081.0
1708.7669931678392,162887.0
16805.973523116118,189755.0
177.66226347672637,160050.0
27242.42949378272,208667.0
10336.554064527561,176776.0
-11117.94931443772,148495.0
19439.551860629697,195569.0
12316.5097348431,183506.0
6812.141414555139,170337.0
3473.1525024944276,165921.0
-3912.7223852902243,158554.0
-7218.269252001512,155199.0
18058.024136624706,192530.0
-8698.244589238107,151919.0
7304.424949719309,174720.0
19879.77776915615,198096.0
10539.50298458009,179071.0
