Objective Value, Total Weight
-6193.5910419974825,161484.0
16660.66281536303,193727.0
7041.37085466276,176087.0
22840.50755243635,217440.0
16523.65590029527,192910.0
9109.030215915176,181117.0
26006.164721921494,220994.0
11922.73785729293,184297.0
15434.245559908624,188508.0
17994.582783503225,194315.0
13505.92407784576,185496.0
22420.564170908416,213561.0
-1335.470455328934,168203.0
11225.974866832315,182405.0
8818.082311672275,179031.0
-3993.288965053158,164500.0
5303.111290204659,171769.0
19119.47397458434,201213.0
3158.36381292186,170758.0
19762.609361678537,207933.0
Objective Value, Total Weight
3744.60945886033,176323.0
-9486.89776962268,159839.0
17257.484566054423,194419.0
24318.792732946604,209622.0
12049.326380582468,186580.0
2457.7743914953608,173623.0
8073.7075740797445,181103.0
23743.11132477186,205068.0
20490.256186219747,197153.0
22829.645866239618,201238.0
6143.031205665,179956.0
2287.7643856023205,170788.0
32408.824300799926,228934.0
-4449.011593202216,166947.0
8700.249066281482,183639.0
-2327.102308004978,170617.0
26566.48992510463,210686.0
5508.678498407418,177794.0
27110.963744883862,228009.0
14167.504252324376,189806.0
Objective Value, Total Weight
24507.585527572664,219012.0
14747.74439607584,190442.0
10131.737799845461,183186.0
19723.85197346384,199226.0
21701.36172349783,207292.0
-1096.682400507154,166423.0
8349.964257013053,178236.0
-9114.005236994155,159708.0
6405.488534192846,175693.0
12939.31975183665,186870.0
17664.77676468875,196024.0
25581.373885965528,221897.0
4395.587823812704,174804.0
1053.8333043458988,172430.0
15946.697262696514,194161.0
23114.133841409406,209452.0
15.876008708612062,169935.0
-5356.458764500014,162495.0
21498.116345038376,203929.0
24481.780604826025,215536.0
Objective Value, Total Weight
20015.86193655283,200669.0
13357.568184177828,181950.0
5981.571135903825,174778.0
20102.80261716721,206967.0
22267.352784728893,210622.0
7764.42880543627,176056.0
468.72954189797747,169503.0
-3487.8245250064647,166490.0
15402.718469607527,191630.0
24860.82856675028,213320.0
5106.108521084767,172661.0
5897.346411119943,174525.0
-608.1327286603919,167832.0
9235.422348805849,176754.0
21017.00317019419,209944.0
9277.781250085187,181064.0
15865.367099286668,196414.0
16746.014939331915,198689.0
Objective Value, Total Weight
22363.79270165728,199936.0
-3614.3159115578746,164428.0
-2055.7321414526377,165124.0
24779.37957845925,204816.0
25969.387327625795,214458.0
17914.407189852383,193331.0
7894.894777210779,172983.0
16980.433997240034,191398.0
9919.540328129893,176958.0
22571.619219377753,202652.0
21384.938796434348,196281.0
12321.80429729994,179143.0
13780.278601773869,184726.0
16765.896618723666,186911.0
3230.4175259659532,170854.0
-17548.64291781021,163089.0
2099.890716805967,168399.0
-802.9668987162877,167368.0
20363.87095045569,194419.0
13524.63668160254,181478.0
Objective Value, Total Weight
17651.623034984717,191916.0
23559.16037002724,210899.0
13623.297958632815,180867.0
28064.506031079305,213348.0
3635.075693824474,172443.0
17996.153358396434,197312.0
3693.3566032174276,177072.0
22431.399350798107,210498.0
-419.6308887046471,168656.0
5713.274826751294,180199.0
-3102.2301460108138,162791.0
16022.89585911046,188829.0
18768.7530210813,200522.0
21996.691595303535,204571.0
-10428.931463129004,161499.0
4759.682651059353,177713.0
15401.391114684113,186634.0
19675.130980242684,202700.0
Objective Value, Total Weight
8315.057218410948,182198.0
24382.674307728914,202485.0
5222.960239921842,175909.0
15844.684058394429,189348.0
24214.667338347354,202214.0
29243.513369637367,209074.0
-878.5041986652068,167684.0
-7850.947280089778,157539.0
-4767.500066597771,160258.0
25973.13742034335,203430.0
7247.215575504291,180809.0
918.3610568153672,174321.0
23889.621949833963,197030.0
18316.5620486197,189546.0
-2842.1480886486534,163989.0
-304.5267581573862,172484.0
10155.045841026033,184703.0
18588.472903808957,195464.0
10435.209715088626,187346.0
12507.918770970718,187649.0
Objective Value, Total Weight
-9748.50118509846,162381.0
14943.99896629923,187021.0
5234.581428275764,169506.0
14484.2039881807,185007.0
12467.96991631051,182271.0
6328.971182141773,173901.0
28209.981455610716,212212.0
23242.599311485217,204233.0
-2329.0607755619276,169280.0
25108.129342344473,204373.0
-3206.409936067561,166776.0
-5315.315546294267,166359.0
19765.730131875986,197945.0
18126.668395767774,194426.0
-6549.514338305395,163376.0
6662.633129169117,179164.0
21299.487479706557,200959.0
9657.560463047179,180213.0
15143.011767339864,192432.0
6340.573508174275,176619.0
Objective Value, Total Weight
10508.706024700077,183721.0
2776.464634102216,173853.0
8869.401959426265,179452.0
14535.178631898074,186819.0
3633.458652650588,175088.0
19173.468478222174,196052.0
25161.281304486503,220688.0
-492.59171284589684,167855.0
18680.211484780302,193992.0
24680.087122695608,213154.0
7902.943388193467,178048.0
22544.424851523276,204536.0
21389.380863000668,202418.0
15998.9312720272,191976.0
20529.125902761036,199157.0
11347.504118369252,184003.0
-2535.230134833022,167743.0
23212.803966435837,208999.0
5901.789406742202,175189.0
1233.965106680931,170611.0
Objective Value, Total Weight
15246.283895484463,190129.0
21783.6708140923,210974.0
18890.200607160397,195649.0
20416.587710677268,209791.0
10057.783574182307,181544.0
8704.806232775969,180287.0
-2323.0598478376633,167890.0
14967.479283338296,188198.0
1101.7518202128413,168438.0
3944.8179746366804,172028.0
23157.50956779244,213606.0
-3268.229418191273,164083.0
-10490.372723939276,160363.0
14157.071344328957,184470.0
15474.186479390512,194584.0
-7600.694257061026,162134.0
6320.321377786313,174207.0
7437.256029075477,179612.0
12304.620429185074,184363.0
10905.840969532175,182996.0
