Objective Value, Total Weight
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
-105420.3992365886,98451.0
Objective Value, Total Weight
-23847.980663967726,101010.0
Objective Value, Total Weight
-101642.21114001365,93604.0
-101642.21114001365,93604.0
-101642.21114001365,93604.0
-101642.21114001365,93604.0
-101642.21114001365,93604.0
-101642.21114001365,93604.0
Objective Value, Total Weight
644208.6993986424,118479.0
Objective Value, Total Weight
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
-243866.74349886517,95295.0
Objective Value, Total Weight
289616.73723629257,107501.0
289616.73723629257,107501.0
289616.73723629257,107501.0
289616.73723629257,107501.0
289616.73723629257,107501.0
Objective Value, Total Weight
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
2006423.3968016196,119776.0
Objective Value, Total Weight
44209.30871530324,107349.0
44209.30871530324,107349.0
Objective Value, Total Weight
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
-2029331.7388448515,105234.0
Objective Value, Total Weight
175012.6949878093,114136.0
