Objective Value, Total Weight
-19316.527404185443,343052.0
-227083.76123483182,62153.0
-17808.277624488168,344926.0
-255801.40252177021,35198.0
-7142.227091695066,373156.0
-145646.45129379124,156512.0
-215962.2695579274,74137.0
-182518.55315688404,118205.0
-268699.95497599815,21977.0
-123041.61435881048,180359.0
-107691.4512505139,200296.0
-96043.45336971118,214382.0
-246137.58387312945,45169.0
-132537.67287125054,170015.0
-91461.0321680046,224405.0
-114391.75803461333,192083.0
-185865.9467387736,113702.0
-193476.72018940718,101224.0
-284198.1610880462,7145.0
-204427.10534467275,86945.0
Objective Value, Total Weight
-112760.63363730977,199869.0
-7887.461058722925,390443.0
-79898.26611100032,238775.0
-264885.4506174847,27007.0
-136704.48418269667,177303.0
-241719.02632092277,51770.0
-4112.5992348015425,395295.0
-69815.39687906922,257091.0
-168881.2487006698,130698.0
-88615.98949908552,228005.0
-253708.685553475,37325.0
-122205.17867305706,190188.0
-189830.14948808582,106692.0
-199396.42497829237,96556.0
-103704.60582140856,210073.0
-212777.6235693436,82136.0
-226117.8741185465,67504.0
-162275.17834768712,140062.0
-282123.53506164585,8870.0
-181641.4917575334,116061.0
Objective Value, Total Weight
-182503.60478805908,115051.0
-229738.31425518513,62645.0
-244087.9627516701,47665.0
-14299.480044881813,381533.0
-224144.08973951725,70564.0
-101414.1652599409,210036.0
-9684.890860589046,388199.0
-278539.1503155943,12290.0
-133758.4782007854,174161.0
-196784.1233059804,99203.0
-150400.07709189248,157011.0
-124800.60867873178,184026.0
-172178.69374476426,125192.0
-115196.01744184055,193907.0
-91321.59522441152,223367.0
-79744.67031215003,242443.0
-71674.99016860261,255914.0
-168291.926589861,129403.0
-256258.48999901593,34393.0
-215185.29702505236,80550.0
Objective Value, Total Weight
-129973.9513303549,173964.0
-15524.348219518608,382816.0
-153678.03115851845,145363.0
-280258.08154878276,11297.0
-248497.9340574817,42571.0
-14210.973170477955,384662.0
-208590.4140891414,85063.0
-267260.52307128673,23824.0
-222254.98844139843,70831.0
-183981.93396267103,113865.0
-107655.10198988806,201513.0
-290533.5096311378,1870.0
-93936.26640131522,220913.0
-113911.08317802631,193294.0
-142019.55602566007,159831.0
-79701.39107527962,244070.0
-122374.1647863792,182389.0
-178464.81453456782,121839.0
-196088.79177028436,98391.0
-240814.78118380922,50658.0
Objective Value, Total Weight
-197328.50523049507,97964.0
-24392.07386935776,379436.0
-86465.83523505495,228198.0
-23895.61171175231,379940.0
-83389.32447410468,231228.0
-209442.5389114779,85139.0
-115021.23822015099,197396.0
-63333.31765371299,258307.0
-132085.27292826632,178166.0
-117787.6658908482,193197.0
-254417.8107130652,36982.0
-240331.97487250343,50268.0
-73741.96158974635,244548.0
-182518.1619910475,112285.0
-99814.9059387953,215574.0
-167593.29404211877,133914.0
-271035.1458757117,19838.0
-171687.31354162598,124627.0
-220748.15038021002,72470.0
-282849.59789547225,9976.0
Objective Value, Total Weight
-175686.91403882334,125519.0
-97945.47740500374,220093.0
-143894.73435373814,162165.0
-119138.45552505681,193275.0
-130348.3789562239,178642.0
-86495.85364989273,233793.0
-78975.22598217789,244911.0
-232904.61247215548,61132.0
-22003.546894912375,360868.0
-272630.530427378,19113.0
-107343.25819627638,205887.0
-21477.305362609273,361320.0
-199810.90302089864,97593.0
-219334.35672216234,76749.0
