Objective Value, Total Weight
-251149.372794885,43298.0
-283631.24492872116,8049.0
-225481.12287371338,68249.0
-212416.64674757788,84273.0
-1757.0068843474146,433787.0
-275113.6646242017,16052.0
-122965.18627722265,194923.0
-259539.42744881747,33344.0
-266813.59965128376,24314.0
-17544.002713166003,406424.0
-241041.40675638092,55965.0
-184759.4039352141,122631.0
-204651.7548675681,97305.0
-192897.75229272706,103690.0
-107425.8304870447,208657.0
-92472.97660808486,227766.0
-80808.70151744108,247629.0
-71810.82457696431,270353.0
-166739.6208088568,132829.0
-292286.95,0.0
Objective Value, Total Weight
-15304.666174294369,399937.0
-269802.0919673746,23282.0
-281719.1763673351,10511.0
-240020.6987597341,53794.0
-262202.8223543575,30337.0
-248018.029619805,46656.0
-186535.52211653884,113062.0
-254550.6648282896,39505.0
-174131.1039160859,128512.0
-210249.34933092416,87442.0
-135037.23060612165,178426.0
-228515.4458512924,68055.0
-201503.32948783372,96233.0
-100420.20965219027,223629.0
-220198.09167117544,76749.0
-84791.11033096339,247168.0
-118587.12389887351,202628.0
-162083.14352993533,146219.0
-292286.95,0.0
-66887.59764305892,268969.0
Objective Value, Total Weight
-271959.7531742617,20670.0
-263664.56975479674,30683.0
-241870.6670658745,51779.0
-253326.8039924323,40820.0
-284250.73125458806,9004.0
-136665.9021994199,177149.0
-97565.99409143021,225675.0
-200021.82165004412,98326.0
-190759.84230572637,108206.0
-233596.60833947186,65888.0
-180866.08666866767,121433.0
-1652.2849680579966,409643.0
-124141.3827092307,185345.0
-106775.0879511474,210669.0
-208486.45100549434,87619.0
-114691.91242454544,197013.0
-75635.82921221002,262872.0
-220555.62374221964,75982.0
-291097.27137566986,1209.0
-90004.8042359124,240215.0
Objective Value, Total Weight
-225727.34150321165,69558.0
-282067.9688609588,10918.0
-261965.0267759625,32147.0
-272780.29654380324,20827.0
-237974.91249053925,56228.0
-190367.2896424065,110995.0
-250301.43274683895,44766.0
-181265.7219007754,124055.0
-89218.02921145956,240072.0
-106399.17738896218,208404.0
-202692.77235033654,98057.0
-97659.43059306563,224822.0
-78118.76131398825,253885.0
-67630.46192783857,269197.0
-212814.40043880563,84123.0
-120998.82385261962,197426.0
-129541.10126571282,182875.0
-18752.621944076265,401159.0
-172695.47638326004,134034.0
-292286.95,0.0
Objective Value, Total Weight
-278904.0165338619,13400.0
-270955.28572420555,21017.0
-254146.7375161922,38889.0
-261856.25688913505,31416.0
-245142.75828675774,48095.0
-233992.80930271774,60880.0
-97461.30538203358,215866.0
-123179.9346831165,187238.0
-190513.93761251325,107158.0
-183281.23906129354,119698.0
-214.67419243243057,421362.0
-221230.5230239752,72893.0
-91684.10123960167,233582.0
-112473.12097286998,204727.0
-70252.20934647374,271344.0
-209354.08270900848,87367.0
-198494.49245698628,97540.0
-82634.48891206062,249123.0
-171836.6945216363,134704.0
-292286.95,0.0
Objective Value, Total Weight
-205482.1902812529,95281.0
-282752.8464385905,10500.0
-264249.408641495,29864.0
-245252.6495474446,49510.0
-254723.17028713605,39136.0
-218170.94257883652,81634.0
-273860.6259536666,20009.0
-229342.80067381874,68381.0
-14877.110036490136,411821.0
-73567.35214068537,254123.0
-179678.09094899107,126821.0
-110425.78333446645,212667.0
-100177.09777134366,228649.0
-120543.18374401896,197505.0
-164631.31049491977,140777.0
-88125.43935874302,243539.0
-238592.97091332398,59745.0
-189671.3911229903,109567.0
-292286.95,0.0
-71696.56049688417,273076.0
Objective Value, Total Weight
-7423.889678924112,414437.0
-274325.89635062934,18610.0
-283513.0392014207,9208.0
-126498.41900358215,182983.0
-188445.7434770075,116597.0
-251782.98731223348,42338.0
-237415.2274517704,57438.0
-264757.70728710404,28182.0
-244878.48084926343,50699.0
-259504.689456622,34433.0
-194159.64171874704,106115.0
-202940.33487668599,96278.0
-98646.64536490111,219192.0
-92975.54275556107,234885.0
-216494.88012768078,79359.0
-107849.72285546648,208380.0
-178830.89900315163,127654.0
-232329.63346233056,65730.0
-291783.96099023137,418.0
-83678.77130506077,248429.0
Objective Value, Total Weight
-278768.3935357567,13489.0
-106224.01463675284,208879.0
-285548.54998686514,7218.0
-249407.79073907755,45821.0
-215645.82018334698,82791.0
-258729.07594835066,35529.0
-193290.63069713366,110598.0
-116197.19773371494,196429.0
-271956.1425721062,21996.0
-238818.17346748163,56545.0
-205712.0147816816,94733.0
-128181.36295720347,185292.0
-99160.71602654806,223800.0
-75130.52361351374,266404.0
-11415.637208005995,383001.0
-92872.80762637017,238360.0
-230868.15244181152,66244.0
-82363.97444277373,250095.0
-292286.95,0.0
-178466.84518040915,123233.0
Objective Value, Total Weight
-204604.60754800163,94757.0
-276391.8040009423,16199.0
-282130.3119465375,9428.0
-269169.15280791005,22561.0
-8646.924212420767,399300.0
-239249.32336097787,57372.0
-255775.43166592653,37336.0
-264093.67092293646,31104.0
-249720.77840860392,46251.0
-111719.54928122129,210991.0
-193101.00513052102,106301.0
-145125.49411113997,166688.0
-215044.73319695535,81721.0
-183953.17283061496,120799.0
-98563.88550492964,230604.0
-122874.27991781401,191549.0
-228750.31730000314,65823.0
-292286.95,0.0
-170396.11328672344,135192.0
-82555.102870701,247319.0
Objective Value, Total Weight
-236845.4678198874,60759.0
-269621.7995545549,24275.0
-202783.63940680528,96355.0
-193864.3594929778,106843.0
-225247.18557921844,72184.0
-260708.01134900452,32189.0
-251113.37039171864,44255.0
-214390.64687032986,85383.0
-282722.648004115,10211.0
-178696.44384060934,127624.0
-112666.58177789795,199539.0
-99327.38593212824,227306.0
-74066.84468730097,261246.0
-120866.93552552589,193075.0
-106143.84529402014,208966.0
-185801.3247504001,116865.0
-5696.728725499241,409154.0
-169200.03150291723,138013.0
-90753.37302626629,245063.0
-292039.3516017281,164.0
