Objective Value, Total Weight
33084.53314746654,401604.0
-26354.28638657258,304320.0
20038.97485972382,369204.0
23011.46148984827,378890.0
3533.5755354046123,339419.0
28349.212315119512,393356.0
16316.241142568528,363537.0
-13194.847787229519,319231.0
24424.423423021333,385611.0
-16580.924482499366,315150.0
-28456.72990689805,299164.0
-36339.69313503377,293802.0
-21260.213617686706,310650.0
11408.951578141714,349899.0
-5748.54549390258,328539.0
15286.196287401312,355811.0
7259.03062567662,344977.0
-9950.657491954858,324459.0
-1698.7177398400381,332953.0
33845.83830222703,410399.0
Objective Value, Total Weight
1252.1204822285217,346482.0
48.81052537151845,341976.0
10634.273248650308,358905.0
-16983.62881486595,321698.0
6159.287506600143,355143.0
15863.279844774108,367859.0
13755.604528353433,362360.0
-32715.527221946744,305801.0
20051.36786694982,383235.0
-7424.483109695313,333940.0
-19599.540813461645,317876.0
17842.857613445434,372643.0
-12309.796915376326,328227.0
-2891.541773160803,338836.0
21645.891759355203,388832.0
23024.243838739,393017.0
3846.0010519690695,350206.0
-26333.986179614032,313831.0
-30206.89599782793,309689.0
19532.383570535225,377686.0
Objective Value, Total Weight
-14348.732089772704,331317.0
-21093.924834503618,320782.0
-7166.381661123654,341121.0
-24260.058353092754,314841.0
4391.895653235668,358515.0
5487.089397069591,360142.0
9434.217315658403,376085.0
-38633.955677480146,301316.0
-41924.25729900488,294565.0
-16559.565527318104,325779.0
9150.614192633831,370117.0
-44916.66277841129,290033.0
15823.468144773098,391309.0
-32234.7301363133,303463.0
-25959.304109345947,312263.0
-29947.56534342229,307952.0
-10445.999188989808,335418.0
1402.0523578441935,352695.0
-1747.597238138551,346942.0
11903.511765772884,381562.0
Objective Value, Total Weight
24963.540396184428,385940.0
24487.200283171143,382489.0
-2135.5833461780567,340009.0
-8378.537710291333,331254.0
-11100.643921089999,326060.0
19257.26097299368,373413.0
4359.62296744308,346218.0
14943.038339588558,363038.0
13846.834618428082,356819.0
21841.363327808212,378351.0
-17586.27030694112,316127.0
2505.460410166881,341737.0
-13990.085742467316,321796.0
27274.450313893438,390183.0
-25999.401651853288,314649.0
28487.099380553875,393510.0
10225.53140547045,352998.0
17539.262649667915,368394.0
7386.37498947361,348863.0
-5822.636165000673,336155.0
Objective Value, Total Weight
13461.369392597757,350108.0
28971.02611077344,375370.0
-7381.763309670205,323388.0
23289.96178929851,364193.0
23901.47477396758,368288.0
-371.07529743527994,330640.0
3790.309514591936,335506.0
31073.443690946908,379881.0
-6132.605225221312,326689.0
21145.48002856871,362237.0
12074.076317714702,348059.0
4931.244893334573,338655.0
8949.209029377438,344792.0
32558.13150684128,386557.0
16214.32106869627,355657.0
-2583.063052753627,328747.0
1305.9544863706105,333296.0
26896.985452992376,371731.0
6486.633204105019,341561.0
18826.098367855127,360013.0
Objective Value, Total Weight
31536.675489165005,381098.0
22738.023327668838,364099.0
-15887.985607190116,313901.0
-546.802829459135,329080.0
-10450.915971481416,318078.0
-11905.867010893766,314901.0
28791.308754566242,374504.0
-8970.167395087075,321526.0
-5411.212330703915,326464.0
32659.06081812113,385186.0
35139.032634232484,389733.0
-21816.174901139457,306092.0
-19623.907890124596,309894.0
21789.42577422387,358833.0
2896.944518567703,333731.0
18401.74353175226,354171.0
14226.799522192625,349837.0
7897.292107651127,340174.0
11077.042411718809,344823.0
25727.967146092444,367818.0
Objective Value, Total Weight
4295.284800690424,343231.0
27844.448406338342,384686.0
-6906.184366084635,325522.0
25084.68478007469,377308.0
22834.0752825691,372435.0
-9273.298554615816,321115.0
-1798.1385047484073,334418.0
-2867.8099439198268,329819.0
1337.096848826448,337467.0
-14291.240160331537,315779.0
17640.19855982624,364040.0
-20949.499923572526,315558.0
30317.482331759064,389468.0
32103.95099262148,397862.0
9561.693247956922,351239.0
7456.089434391062,346674.0
19446.663168069033,368164.0
13297.808440559776,355874.0
15360.482725857117,359779.0
-25311.81561124354,310844.0
Objective Value, Total Weight
3348.041644170764,361098.0
7383.1778402312775,369530.0
17110.14194620517,386120.0
-6570.887724538974,331648.0
-23574.242421644914,310140.0
6889.412712336634,365535.0
18500.50756024843,391499.0
-35178.78556024504,297219.0
-16145.053585475602,319992.0
-18437.493510797678,314842.0
-12.97037938318681,349387.0
-5253.356209088408,342003.0
-12283.474158181925,324578.0
11820.991064667178,378797.0
2829.5878399353824,357165.0
-30217.102278113598,303171.0
-40660.97876734089,292345.0
23467.09847263136,403358.0
21380.871617920173,397388.0
-48296.8438324196,283234.0
Objective Value, Total Weight
29517.911938954087,403469.0
21038.4816672944,374781.0
-11447.792271044455,322027.0
27311.846630093234,391089.0
24818.460681379074,381671.0
-4477.493499655102,329689.0
11522.1931111273,357768.0
-19743.490052122972,312004.0
-15255.831432300038,317063.0
-1317.79688499443,335436.0
-35114.81827673892,296150.0
-25454.267730338383,304586.0
-8895.779959405249,326701.0
-31148.140473808802,300027.0
16325.709975599195,368257.0
14573.396795345121,361950.0
-39553.69856815401,292642.0
5039.2477254834375,345300.0
2622.7347364450106,340109.0
8320.159377750475,349600.0
Objective Value, Total Weight
23383.368238005438,384628.0
-3386.187707166304,334300.0
9331.499244021019,354476.0
11079.363915553316,357080.0
7724.086253245594,351479.0
2908.943970811728,342603.0
-5544.932090316492,331299.0
5247.146360670042,347324.0
22042.734262741345,379490.0
25253.60374740546,393830.0
12809.654123871529,359869.0
26760.334190720925,399826.0
19167.256004973664,373036.0
-71.1072135536815,338325.0
-18324.965479757462,313547.0
24622.367363215308,390338.0
-13587.881076359656,320359.0
14375.107807504653,363837.0
-8431.561416897806,327234.0
17218.379455227463,367983.0
