Objective Value, Total Weight
7228.116643151967,452627.0
15064.152447862434,462664.0
8126.680479067378,454009.0
20579.79075468483,471569.0
5204.514712239965,449836.0
18386.12259133556,467821.0
20988.953938137973,472219.0
12704.937109965133,459338.0
13764.498875290272,460462.0
9019.506131758564,455369.0
2625.9244710910134,449251.0
17768.04432839004,466739.0
16713.312548250542,465073.0
11871.858709733584,458459.0
18997.410037525115,468593.0
15744.074383231346,463795.0
10615.770215696539,456605.0
6396.454476022045,451568.0
22181.278600710444,474970.0
1452.1418241015635,448183.0
Objective Value, Total Weight
2495.8753750888864,446874.0
5718.478648748598,450892.0
-1370.036501997267,442826.0
17973.263623137493,468681.0
19570.543587478925,471018.0
17384.95155320305,467498.0
12152.02776040067,459365.0
13304.784248976619,461063.0
10428.40589914238,457158.0
6983.6493883180665,452438.0
3649.063891579979,448136.0
14752.717426673044,463464.0
8357.646869823337,454312.0
9295.707074018661,455621.0
16013.869352150476,465083.0
-837.9193967827596,443564.0
953.878300424898,445054.0
-6437.283468165435,437034.0
5037.040895682876,449957.0
-3780.9039572301554,439644.0
Objective Value, Total Weight
15250.827629679348,460407.0
13222.266155633377,457091.0
2243.6098718727008,441710.0
10938.33388959372,453329.0
14471.309791294741,459209.0
4490.59203600348,444550.0
10013.282511151163,451419.0
6899.420704790973,447208.0
8618.734536069445,449558.0
3708.468220069655,443272.0
11488.983101890772,454417.0
6517.656957019004,446864.0
-4363.234749979107,436237.0
-892.6750648599118,439122.0
1096.373556513572,440630.0
5173.3682927927,445596.0
12545.967140901135,455969.0
-3376.7539641069015,437250.0
-10129.218102266314,432858.0
-8760.610835759435,434308.0
Objective Value, Total Weight
21737.911043755128,471492.0
16899.279068097938,464540.0
20379.892604250927,469468.0
13181.12375367328,459603.0
20966.879852671642,470167.0
14509.4165166585,461238.0
17859.157395407557,465798.0
15221.819030281156,462445.0
18982.30272556038,467236.0
9885.097248650389,455836.0
8475.256256654626,453868.0
12547.36164746934,458978.0
11710.780246611568,458068.0
22671.788653319236,473896.0
10725.988906815764,457062.0
8900.153085773927,454576.0
16329.93537301186,463944.0
6366.04697154928,452935.0
2079.7881427379325,449713.0
4085.894327120157,451875.0
Objective Value, Total Weight
759.3958001225255,445348.0
5885.287582371151,452351.0
-4204.8827688077,439580.0
-6211.831378161674,437933.0
8768.74856605148,455982.0
3451.5787789857714,448853.0
10469.82105997135,459060.0
7703.888187753386,454746.0
252.53763670648914,444719.0
-1003.8591445328202,443062.0
11456.025462495047,460695.0
-4813.260797736119,438747.0
4201.383981418912,450129.0
2021.1767804778647,446971.0
-8439.078742360929,435027.0
-1843.1395180141553,442504.0
-3108.5055056082783,441263.0
-8152.333698766772,435561.0
-11677.4735673127,432634.0
-16459.00847145694,431092.0
Objective Value, Total Weight
4448.3240817617625,445410.0
20210.962334183627,465405.0
16099.85822240496,458936.0
1592.2474654287798,442423.0
14846.207361942623,457425.0
8798.384247065522,449976.0
11283.017323725275,452610.0
7065.5496501644375,447757.0
6971.120143770822,447606.0
17087.12357666134,460883.0
3461.289384743315,443820.0
18822.269063699758,463449.0
13571.349394748686,455492.0
22747.02169247251,469754.0
11101.933132279548,452025.0
-2121.873003742774,438711.0
24788.82144102326,473234.0
-1069.950044983998,441040.0
-3850.468248511199,438255.0
-30084.29012868041,428806.0
Objective Value, Total Weight
1171.7589906774228,439883.0
3706.7914170431904,441837.0
18090.629167107632,461540.0
9771.706378869596,449503.0
12684.685541899758,453251.0
7985.543847879511,447324.0
6490.813849013299,445207.0
18786.995305463206,463018.0
10456.65552171471,450661.0
11226.413813138031,451534.0
13921.11527233303,454933.0
4299.111834585085,443002.0
15160.783945263247,456492.0
17369.71922899119,460236.0
8780.884784268332,448233.0
1835.5222811438143,440351.0
16088.511885337764,457822.0
5326.410355109023,444429.0
-1778.0546176194912,436808.0
-3206.4087946428917,435890.0
Objective Value, Total Weight
-2549.1743289924925,440498.0
18763.345543498523,467576.0
5620.049419651972,449744.0
12555.005231017945,458661.0
7648.681765318615,451783.0
17485.633188099484,465509.0
20466.783427531598,470593.0
9539.424275081139,454529.0
19640.380732768215,468727.0
24258.34272228065,476935.0
22147.223310943344,473311.0
16205.347002405091,463662.0
8680.727668573963,453293.0
14477.368375255843,460914.0
11401.71628703922,456938.0
3293.929397381493,447299.0
1296.1979494012194,445089.0
-1873.841728245141,441087.0
440.9984120236477,444234.0
-4641.813974357909,438432.0
Objective Value, Total Weight
1407.6873103441903,442664.0
19159.784417667077,467793.0
16137.741941945977,463157.0
14883.028214909835,461313.0
6540.453187662177,448912.0
13962.45160323393,459390.0
20104.558903277968,470033.0
13318.283841600292,458409.0
7762.741094844765,450217.0
11089.707269370905,454921.0
9310.949446263141,452559.0
10349.638798236265,454005.0
3985.287073104526,445409.0
-4556.37983777537,436196.0
2011.6926853244659,443444.0
-986.7055820758687,439745.0
4982.7235682802275,447027.0
-1664.6120920170797,438936.0
-5637.756586051197,435513.0
-9061.193726014928,432028.0
Objective Value, Total Weight
-3294.2907290412113,435092.0
-10363.291861195583,427008.0
-5190.0388126965845,432213.0
-6166.690414004726,431249.0
-11436.48168852448,425592.0
-9025.409207659191,428654.0
75.46734767011367,439342.0
4202.276189045631,445333.0
-1856.0681897283066,437185.0
2956.633962625405,443134.0
1871.7776700315299,441279.0
-764.9567578653805,438230.0
-4316.857312052161,433963.0
-7693.900760411285,430065.0
5194.895067420206,447231.0
7041.626035044319,450405.0
-16569.798180361628,420624.0
-15280.978521041689,422111.0
-13001.412869165652,424217.0
-19970.473692192812,418749.0
