Objective Value, Total Weight
-409659.20959354966,24304.0
-224076.04586490523,218015.0
-205218.2995675716,239817.0
-387767.1647225779,46401.0
-356232.67293730704,78613.0
-304649.85462483286,130144.0
-327982.4075435518,107994.0
-158507.72878653364,302143.0
-266539.2152950232,176931.0
-286412.14130625146,150143.0
-251267.1386277622,198962.0
-133593.56980203954,333336.0
-27521.942142426735,460903.0
-302.62087805126794,518202.0
-177233.22609184874,273397.0
-77748.78838645364,393494.0
-426270.7380716076,7641.0
-105349.82057727478,362396.0
-60407.19689478725,429980.0
30475.924632510636,574056.0
Objective Value, Total Weight
-398118.21610031446,36371.0
-305989.3102901061,129665.0
-226899.2884067269,214508.0
-352689.4021175094,82622.0
-326829.6148225428,108209.0
-383333.1741524026,49881.0
-250274.76089124428,191745.0
17950.768243361963,547107.0
-33864.95701320458,463827.0
-207953.35747685021,241723.0
-278344.3944458289,161218.0
-188339.7518147499,263132.0
-14231.233080051607,494283.0
-114283.1509980947,350500.0
-136962.7619172359,324854.0
-58824.37156546244,437484.0
-75263.15473110043,404653.0
-428228.42998243746,6192.0
-159758.7156565601,296369.0
-96318.59784718766,376150.0
Objective Value, Total Weight
-238766.75510626094,203514.0
-209755.9670106661,234788.0
-398005.68834011356,37959.0
-325361.2784812508,110576.0
-347472.2191650286,88384.0
-275711.8005955802,160273.0
-298785.26235532365,138631.0
-52097.44392522576,432496.0
-28151.94570937031,461685.0
-374840.91360195796,61767.0
-191747.28420539614,255328.0
-143363.310601147,313643.0
-165137.5183765166,284426.0
-71955.74166788755,404574.0
-4631.477338967496,504222.0
-115452.94676456181,345496.0
19940.59966212057,544741.0
45213.31217345456,590312.0
-91357.61324714986,380863.0
-428210.74849651137,5957.0
Objective Value, Total Weight
-389589.1077482269,47750.0
-63902.78395390138,421101.0
-15040.201486851904,478444.0
-351889.58308652544,83971.0
-412323.3527210519,23105.0
-86510.90712893428,389599.0
-261827.38552397263,180468.0
-284270.2112927996,153154.0
-329054.10853928694,108125.0
3592.0167777861934,513965.0
-195868.13396777684,252996.0
-309095.31767936284,128475.0
-242283.6206148108,201052.0
-165032.91551670938,286628.0
-222806.74770167907,224018.0
-113632.30618438113,352351.0
37202.93209832616,576831.0
-43819.85281279113,447720.0
-135514.09822366625,320808.0
-428375.8832744656,6438.0
