Objective Value, Total Weight
-27219.8024888339,438686.0
-19572.93871646037,447839.0
24503.911595139187,509272.0
-42655.93668737996,420029.0
-87843.5128593716,369401.0
-56405.30376874388,402246.0
-28391.160515874857,429899.0
-66982.95314205729,387080.0
-663.0612709295237,468814.0
-46382.619871339644,409768.0
34637.03504207649,520657.0
-101239.74259879766,351739.0
-73577.19181315554,371146.0
6891.498499486013,479138.0
-8601.73387820064,455186.0
15086.682930394658,487789.0
43991.93885211449,538303.0
58142.245359736495,571025.0
-111908.7940072774,334509.0
52497.928013640456,554223.0
Objective Value, Total Weight
-51543.90767525742,402787.0
-45735.95088579191,417870.0
-34163.61932809255,428177.0
-17529.32404768362,444333.0
-59751.45501126838,393964.0
-28856.10493796249,437966.0
29941.518961641937,519568.0
-79016.9191675199,369352.0
-74776.83132575068,383189.0
20148.41075324791,499363.0
-99713.32965630549,353348.0
-5676.415719608427,464922.0
-9742.34033442405,449864.0
-88135.0965280633,362382.0
12792.005928140483,481868.0
38953.144566777046,531532.0
-110703.2575696006,343784.0
56442.88316232222,559015.0
-120025.34624578018,330328.0
49495.08143539529,542893.0
Objective Value, Total Weight
34504.80102167791,527192.0
-33735.52865830145,434359.0
21532.886499299435,514775.0
-22636.360188391176,442965.0
-15705.28412443865,462788.0
-93118.92237160169,356874.0
-58409.450969930855,397992.0
37879.70308386709,541529.0
-68108.92805984593,390295.0
46748.67890649778,553237.0
-45019.320434916764,410862.0
10860.922854615492,494361.0
-103772.5913445651,340447.0
63271.203777330695,576731.0
-85255.65919748927,367259.0
3918.820239903871,481424.0
55793.21178999613,567231.0
-3137.2929734628415,469095.0
-74265.8914768782,378004.0
-115750.47428739507,330270.0
Objective Value, Total Weight
-38646.52615096001,421394.0
-53520.82551448536,401971.0
-20257.5914619104,435426.0
13975.036068502464,493020.0
-44085.10605998128,410519.0
-97261.48865017493,350186.0
1914.558286948828,466102.0
-8692.105232532253,455860.0
-14239.927845069906,446222.0
-61379.2798897106,387972.0
11173.325916055706,480855.0
36258.79962756811,518878.0
-27310.729162217,427772.0
44907.436254775734,542437.0
23519.119633342256,505246.0
-87239.5818365597,358647.0
55304.29683606862,568649.0
-76803.04142427235,367869.0
-67681.45289502502,376969.0
-109954.06627771491,334392.0
Objective Value, Total Weight
-24772.65932402364,441491.0
50450.19687572855,554671.0
37837.11402649793,537349.0
-8731.056609441177,463612.0
2554.1686396925943,473463.0
-41373.955091913,416999.0
-33646.87662394473,424753.0
19394.203642167966,500899.0
-50848.32480127772,409138.0
16815.617282967316,487334.0
57337.954741812195,571748.0
28757.97609549272,508974.0
36953.58245006844,524640.0
-59575.08972741116,393502.0
-82856.34980410291,368618.0
-75246.20956295333,381029.0
-13635.349227176514,443795.0
71411.76568520197,609862.0
66170.71902116947,588334.0
-94121.4902929865,352487.0
Objective Value, Total Weight
-81682.683122935,380026.0
-9703.570098002208,470100.0
21077.944806051673,517864.0
-70040.9657518164,388715.0
-27074.20805673173,440938.0
-37963.33120816725,432320.0
-20152.14430774923,457625.0
-85168.7124178994,365830.0
-45723.395714268205,414785.0
27494.036797902314,528054.0
13502.86064335925,501613.0
50190.79246551823,563287.0
8144.570390567766,488111.0
-123063.17641145043,327007.0
-60984.64209469117,398095.0
-98867.38054126315,354729.0
44919.64813737932,540813.0
-109660.8257852617,342820.0
-134131.48433605413,317906.0
60601.497388132964,580094.0
Objective Value, Total Weight
-3044.9055748553947,467718.0
-79104.36025912338,375025.0
-65784.34270190285,389620.0
35107.18857221317,525713.0
-15450.128809590824,452734.0
18513.688758723438,497514.0
-23435.12014096137,440365.0
24950.958796532825,509173.0
-43599.04676974192,416810.0
11430.779808877618,486942.0
-50522.25793057238,402267.0
42819.18997846672,539668.0
-3259.5656065664953,456122.0
-83372.27791597694,363247.0
-32557.679267765023,425859.0
-99899.71334786317,351088.0
9957.337468312355,475788.0
48631.96467709693,553040.0
-111454.35003401613,335525.0
55895.59458516282,565124.0
Objective Value, Total Weight
-880.9819917922141,469849.0
-39156.87610407476,426784.0
-80918.0348461594,372700.0
20812.604192164028,492133.0
-65875.21257971856,384682.0
27170.302266403218,505553.0
33877.3091897188,516827.0
-45996.91286585841,404391.0
-10337.100523394533,450868.0
41556.7442887146,533212.0
-56942.562403011834,392825.0
7536.148547728546,484909.0
-21200.52802427346,443467.0
51981.28562841413,545935.0
-24717.685032894486,430015.0
-109129.27906866558,338028.0
-117181.28485722106,329570.0
-101833.69352944952,349667.0
-88273.99366422021,357720.0
59770.96413438022,563194.0
Objective Value, Total Weight
-1802.5280815662118,457623.0
-12400.233181295684,450920.0
-48669.99764364213,409513.0
-103874.80373037094,347435.0
-21773.82160629751,437962.0
-30138.782978843083,423969.0
-58778.13526370353,392929.0
18656.910780386417,487006.0
-37393.45787766809,413910.0
-89996.54663127544,359498.0
-69926.78330647503,381195.0
10791.923117282335,474060.0
3787.7213802261977,464953.0
-79135.49495766836,368054.0
60192.72636983381,574582.0
51300.04442565236,546836.0
25546.54612792388,499727.0
35334.51000703592,517336.0
-111182.84673047555,333900.0
47261.650257336674,531378.0
Objective Value, Total Weight
16220.65041732858,495405.0
-101020.26883397822,350515.0
6291.890808651806,489770.0
-74990.1854328413,385351.0
-38491.198790035676,423528.0
-49320.27444489382,413855.0
-29821.366524721147,431697.0
-90965.74123234127,368323.0
31735.71051072958,524678.0
25301.708968674415,509668.0
-55732.63201915496,404006.0
-11893.14691346488,450675.0
-65483.12371386064,392782.0
-79196.70658313029,371713.0
-6145.169662700617,470669.0
40572.23862570943,552742.0
36362.95903260622,540413.0
-110165.83251357742,340412.0
47067.664145596675,565884.0
-119381.1231948408,326613.0
