Objective Value, Total Weight
-6314.820000000001,0.0
-453.53359830424233,6625.0
-453.53359830424233,6625.0
-6314.820000000001,0.0
-4622.563091618145,805.0
-2696.096669912007,3150.0
-1882.519317261459,3622.0
-2890.516390317229,2634.0
-3247.1049020909486,2278.0
-1464.573469524702,5037.0
-4233.099576412387,1532.0
-1024.5248037890797,6010.0
-5377.856201574543,544.0
-5567.407155655166,190.0
-3708.2477924183777,2162.0
-1803.8463619352196,4389.0
-1286.128345015395,5159.0
-4233.099576412387,1532.0
-502.1368977249913,6378.0
-1138.0782892815623,5789.0
Objective Value, Total Weight
-6314.820000000001,0.0
537.6130986979388,6441.0
537.6130986979388,6441.0
-6314.820000000001,0.0
-627.0045877349539,5221.0
-5768.105723756367,188.0
-2777.213928543676,3046.0
-3109.8197709564583,2342.0
-3979.433897895118,1681.0
-4250.03846883111,1106.0
-5116.362784028046,693.0
-96.17219228139857,5852.0
-858.5204966854544,4510.0
-1798.2823180556697,3704.0
-96.17219228139857,5852.0
-1798.2823180556697,3704.0
-5116.362784028046,693.0
-1345.4979724491377,3950.0
-3109.8197709564583,2342.0
-2777.213928543676,3046.0
Objective Value, Total Weight
-6314.820000000001,0.0
490.3702259881811,6609.0
-6314.820000000001,0.0
-60.74067226569605,5971.0
-5493.234020283451,689.0
-2661.327625617814,3058.0
-5797.581449016715,51.0
-4628.429836158836,1039.0
-4180.716246236429,1630.0
-1087.1430979072893,4614.0
-2409.492515177698,3544.0
-1738.8212955019944,4133.0
-884.129204943054,4896.0
-407.5065877963252,5363.0
-1987.7788455047748,3647.0
-2983.5192081743226,2570.0
-227.55249981961333,5485.0
-3972.8011977655724,1752.0
-3463.7735332557213,2492.0
-5030.202556816426,1035.0
Objective Value, Total Weight
-6314.820000000001,0.0
1423.2747197740073,6764.0
-6314.820000000001,0.0
1423.2747197740073,6764.0
-4878.632636902937,922.0
-4091.3206139201266,1128.0
26.168634299581754,4643.0
751.0206568677304,5776.0
-2523.59943820649,2278.0
-5366.148109551689,192.0
350.5410097075046,5772.0
-782.8951100483737,3902.0
-1538.4664224794378,3192.0
-1184.286845324109,3898.0
1024.284619751791,6760.0
-3230.7870771719463,1908.0
-1940.0296476617077,3188.0
-374.90900841090297,4639.0
-5768.105723756367,188.0
-3812.4182099248837,1781.0
Objective Value, Total Weight
-597.940424903767,6600.0
-6314.820000000001,0.0
-6314.820000000001,0.0
-597.940424903767,6600.0
-5377.424687075708,329.0
-1260.8018071662946,5195.0
-1399.92255330239,4204.0
-4635.413204196335,1032.0
-990.7908430259977,5440.0
-1945.0707549389472,3256.0
-3848.828719325481,1238.0
-3213.165336327167,1642.0
-925.540790941548,6259.0
-5377.424687075708,329.0
-1945.0707549389472,3256.0
-1399.92255330239,4204.0
-4635.413204196335,1032.0
-2763.304590528078,2196.0
-2342.3546513481706,2702.0
-2763.304590528078,2196.0
Objective Value, Total Weight
1181.284995747149,6591.0
-6314.820000000001,0.0
-6314.820000000001,0.0
1181.284995747149,6591.0
-1940.3407389996019,3684.0
177.63916260354927,5291.0
-2713.241641648413,2477.0
-671.4407056823984,4782.0
-3953.164319368987,1351.0
-4887.977216521436,686.0
-1241.0713541189161,4008.0
200.2064971075779,5771.0
-4887.977216521436,686.0
-3953.164319368987,1351.0
-2713.241641648413,2477.0
-3257.42623103427,2014.0
-3257.42623103427,2014.0
-671.4407056823984,4782.0
-1940.3407389996019,3684.0
-5768.105723756367,188.0
Objective Value, Total Weight
-646.1406862255135,6289.0
-6314.820000000001,0.0
-6314.820000000001,0.0
-646.1406862255135,6289.0
-1894.8337070368352,3867.0
-5120.493912362939,565.0
-1749.423038102589,5111.0
-3305.1723714715727,2659.0
-1013.4879117348646,5692.0
-5566.503368284331,190.0
-4433.862189378352,1034.0
-3728.4235045957603,1993.0
-3305.1723714715727,2659.0
-3728.4235045957603,1993.0
-1013.4879117348646,5692.0
-2591.3871988763112,3240.0
-2278.538829266985,3289.0
-4122.244446045973,1415.0
-2591.3871988763112,3240.0
-4122.244446045973,1415.0
Objective Value, Total Weight
-83.02627705018676,6055.0
-6314.820000000001,0.0
-6314.820000000001,0.0
-83.02627705018676,6055.0
-1734.9417296239008,3552.0
-4179.258110857444,800.0
-628.2670063697788,5445.0
-5224.090481555307,392.0
-4581.016615726833,796.0
-3003.895493878791,2166.0
-2590.1708150857794,2248.0
-3371.8479668017626,1604.0
-636.7791724595199,4503.0
-2331.9950794759025,2907.0
-3773.4471643169936,1600.0
-825.2249603014134,4381.0
-5224.090481555307,392.0
-2331.9950794759025,2907.0
-1202.7186489759379,4015.0
-1202.7186489759379,4015.0
Objective Value, Total Weight
-6314.820000000001,0.0
-367.0557976629934,5674.0
-6314.820000000001,0.0
-367.0557976629934,5674.0
-1025.55837405067,4042.0
-5567.407155655166,190.0
-1598.619455912395,3554.0
-2331.3515052573475,3202.0
-858.9223688968259,4676.0
-4904.880532384893,678.0
-858.9223688968259,4676.0
-4358.510831160473,1172.0
-4904.880532384893,678.0
-3785.914831439756,1522.0
-2343.0871267657667,2742.0
-2838.872845464093,2708.0
-3447.594632955497,1978.0
-2969.9478120696194,2254.0
-1598.619455912395,3554.0
-4358.510831160473,1172.0
Objective Value, Total Weight
-6314.820000000001,0.0
888.9916970965833,5572.0
888.9916970965833,5572.0
-6314.820000000001,0.0
490.33726788148306,5172.0
-2515.4052514107225,2741.0
-166.64593732686535,4979.0
-3182.7877078974925,1528.0
-4576.330152516537,398.0
-494.2363324896096,4122.0
-5567.407155655166,190.0
-2656.0357089281742,2088.0
-1680.894130472523,3034.0
-5165.4504278019385,194.0
-2082.475094237472,3030.0
-4377.435691534341,816.0
-1470.4936971102825,3630.0
-3719.2509435291304,1304.0
-3057.6325378373367,2084.0
-1069.1969649443972,3634.0
