Objective Value, Total Weight
-2786.2348699924914,2627.0
-4191.85954589507,1170.0
107.13866379075807,5958.0
-2384.5373632891105,2631.0
-2008.630360768586,2833.0
372.527596333508,6452.0
-1486.0402086044714,3327.0
-552.2465004169762,4880.0
-2796.7927522369782,2160.0
-4388.979926722329,752.0
-1119.2551694039785,4280.0
-3789.998327889087,1174.0
-6314.820000000001,0.0
-3411.9466210908295,1397.0
-4777.925555255565,396.0
-178.04936751406422,5374.0
-5165.4504278019385,194.0
-3052.503843343042,1662.0
-5712.110862447686,6.0
-1136.957332318454,3683.0
Objective Value, Total Weight
-2887.6848148298595,2636.0
-2679.1579958089987,2856.0
-152.40259070808497,6630.0
-1841.7628185067242,3916.0
-3554.911907665859,2352.0
-3177.941869632831,2554.0
-5275.312583850569,606.0
-4925.668729680547,966.0
-5768.105723756367,188.0
-4222.834096962191,1576.0
-1168.2970538502705,4788.0
-4540.08427329205,1168.0
-3839.9049196271635,1778.0
-2226.193647606664,3246.0
-1441.2882536310472,4306.0
-2045.0890962052472,3696.0
-821.1724466218384,4990.0
-517.0499162868482,5570.0
-282.3948203583377,6050.0
-6314.820000000001,0.0
Objective Value, Total Weight
-3033.9926164877043,2684.0
-2635.489955527246,3073.0
-181.7164569853121,6696.0
-1361.9999989940434,4576.0
-1720.839810595333,4132.0
-2068.4480280633807,3671.0
-5738.691451168838,105.0
-2358.6672950497677,3273.0
-6314.820000000001,0.0
-954.7189393389153,5072.0
-3497.84105402403,2081.0
-4009.5372277935976,1598.0
-4177.116268778602,1270.0
-4764.360147867437,614.0
-5182.1713529930785,315.0
-3040.962709208723,2258.0
-3607.8158497164504,1602.0
-4562.431099483134,1115.0
-789.571151836577,5785.0
-602.5195850138061,6265.0
Objective Value, Total Weight
-3697.2896465458853,1633.0
-4868.006268890784,532.0
-1690.8183319195668,3451.0
-1967.0525460064637,3181.0
-972.9875638072608,4305.0
-1433.9532956128223,3769.0
-726.1006967121584,4575.0
-1194.3510245856996,4013.0
-4395.113896881573,773.0
-3295.4974170969117,1637.0
-3862.310256803731,1395.0
-4037.7424125747593,1078.0
-2192.895020781093,2946.0
-6314.820000000001,0.0
-358.9334329768117,5326.0
-5165.4504278019385,194.0
-2944.7492549498784,1942.0
-2450.665876746122,2702.0
-5712.110862447686,6.0
-2574.733729933765,2298.0
Objective Value, Total Weight
-3402.379475337545,1683.0
-5119.298867111217,592.0
-913.626535026704,3880.0
-2675.44729025584,1894.0
-3502.683931190353,1404.0
-3000.7923831438975,1687.0
-1766.7962264342868,3014.0
-4008.453718878879,881.0
-1419.6294840671771,3440.0
-4717.479551106483,596.0
-5164.546103252221,194.0
-5768.105723756367,188.0
188.8933189586478,6104.0
-642.0081688179889,4650.0
-218.56649475689937,5616.0
-2244.2190561917278,2634.0
-634.2146758266463,5329.0
-6314.820000000001,0.0
337.78457912017257,6604.0
-2385.595677318067,2175.0
Objective Value, Total Weight
-3256.089571719469,1992.0
-2040.4216095582578,3178.0
-1367.5167477577415,3767.0
-1743.311067613803,3565.0
-1014.9197126589206,4123.0
-2578.1963047567997,2581.0
-5380.561590470673,390.0
-2874.365877786944,2348.0
-2343.4635864351676,2914.0
-4020.728542419797,1380.0
-929.2382055564931,4625.0
-4578.117933454174,814.0
-4964.706323104672,612.0
-4226.301355274052,1119.0
-564.6336371061243,4827.0
-253.0631302722686,5183.0
-3425.6500050834056,1802.0
-3808.0503329148223,1600.0
-6314.820000000001,0.0
-5768.105723756367,188.0
Objective Value, Total Weight
-2544.7157063441,2374.0
-1378.5614338179575,3492.0
-2250.744689754325,2735.0
-3596.04542363792,1440.0
-2855.767943973565,2018.0
-3213.539885500575,1642.0
-1799.0820222205257,3386.0
-102.98844941715925,5015.0
-845.6791496906881,3955.0
-620.054833673983,4552.0
-1873.5567745613662,2937.0
-4050.370900857424,1236.0
259.43806172207223,5766.0
-5912.826503093868,4.0
-6314.820000000001,0.0
-4130.717254932944,800.0
-5165.4504278019385,194.0
-4516.851087809787,598.0
-4777.925555255565,396.0
-5567.407155655166,190.0
Objective Value, Total Weight
-3008.173495515691,1764.0
-2737.560599069552,2008.0
-4323.377892497509,918.0
-1301.1371625098836,3449.0
-4086.2372456770354,1165.0
-1673.8387177208124,3140.0
-265.92440786154657,4613.0
1070.7395479232055,6405.0
-3642.728708288757,1507.0
-813.9263794719782,3788.0
-2329.591225129381,2353.0
-668.8071476943269,4179.0
-4864.938680945067,730.0
-2059.718231580314,2597.0
-5768.105723756367,188.0
-6314.820000000001,0.0
180.0666305072109,4917.0
579.0663338384438,5283.0
-5179.869438342102,392.0
1055.4571707002706,5771.0
Objective Value, Total Weight
-938.5383521306339,4173.0
-3289.585424576655,1539.0
271.46691630015266,7153.0
-2991.682140508866,1782.0
-1481.4026723799425,3382.0
-4779.8999636022845,319.0
-1132.6681534937825,3757.0
-4494.079940464768,683.0
-2796.682653107363,2148.0
-5165.4504278019385,194.0
-5501.800817827975,128.0
-1882.104101597567,3053.0
-6314.820000000001,0.0
-5912.826503093868,4.0
-3671.3307543941737,1414.0
-3831.361652793873,1040.0
-4122.171932725154,807.0
-2366.7883841213024,2260.0
-415.3883986946021,4498.0
-2055.6652157429035,2646.0
Objective Value, Total Weight
-1133.336133578904,4184.0
-3228.1200314001608,2108.0
-3611.372172479186,1774.0
-754.4881587439022,4964.0
-2283.000195769757,2942.0
-4311.435940107586,1136.0
-5366.148109551689,192.0
-5912.826503093868,4.0
-3982.0172319800304,1418.0
-1492.2371244644219,3982.0
-4679.598661582758,808.0
-5026.938653366278,604.0
-1841.418968749903,3648.0
-968.0840172467051,4478.0
-2666.0006338076146,2604.0
-2951.8196268996335,2308.0
-2181.1540113286355,3292.0
-6314.820000000001,0.0
-374.4456265955623,5440.0
-268.12005365293044,5926.0
