Objective Value, Total Weight
8191.204682326272,39504.0
-13422.039978646524,11707.0
-2467.7826287736025,21740.0
7230.204244832552,35945.0
4365.073878394083,30814.0
-5950.071179743885,18257.0
-7206.734791338946,17488.0
5573.691026081302,32501.0
-839.7742481970054,23559.0
-9233.79847352719,15246.0
-15097.174830956548,10431.0
2468.4628162027657,28013.0
-16298.696177452483,9331.0
-10216.68546068541,14580.0
-12133.23611994437,12798.0
755.7810661949625,25791.0
1812.5382919667609,26915.0
-19494.131936509206,7105.0
-4225.242301361359,20179.0
-23407.139828604097,4168.0
Objective Value, Total Weight
1415.5895312762004,26107.0
-8780.234665087482,15512.0
-12308.359051781492,12502.0
-10078.979276326834,14287.0
6271.834631114631,33003.0
2825.795756470601,28443.0
-3879.207630633755,20170.0
-1827.4322594503756,22165.0
-6408.248616126195,17704.0
-19897.171557876198,6509.0
5196.606791116203,31129.0
-16814.24779864898,8747.0
-14376.676162640564,10780.0
8583.461012318781,38533.0
1894.4956670614629,27210.0
4222.173754716852,30218.0
-2944.20278256277,21051.0
-5247.279077018084,18750.0
-53.39871225535171,24408.0
-8141.967131124857,16215.0
Objective Value, Total Weight
-12076.998003429151,12746.0
1648.6407115710535,26705.0
7242.64263476574,37743.0
-1158.8140967729414,23433.0
-24617.973324451166,2552.0
3866.8203203317535,29581.0
5934.32672753567,33407.0
-10046.483445723323,14400.0
3063.584961822846,28492.0
-19727.81991491266,6299.0
-8405.094195275109,16091.0
-3530.9299940514975,20772.0
-22701.586364742554,4435.0
-13439.213359944297,11548.0
-2263.874373507162,22029.0
-6471.714291834669,17816.0
142.39498030276445,24492.0
-5187.213544678161,19110.0
-15459.263958674102,9835.0
-17638.051662981914,8054.0
Objective Value, Total Weight
-3326.402441160877,20831.0
130.23140453938686,24678.0
-5955.785754093962,18290.0
4799.520036092123,31017.0
7388.72574575201,37707.0
-15620.656465198364,9586.0
4366.73468047614,29906.0
2212.222930498814,27206.0
-10707.363355196114,13874.0
-922.4916926461738,23488.0
6325.96099741428,33488.0
-2507.865436476175,21800.0
-12383.774691924347,12423.0
3345.892959089899,28943.0
-13476.581949252188,11505.0
856.0949459125477,25778.0
-4465.741070632532,19658.0
-7933.070915968488,16395.0
-9421.67723586852,14984.0
-19636.103950030374,6774.0
Objective Value, Total Weight
-16357.158690131651,10029.0
-6872.511610085636,17757.0
-910.6328511163374,23232.0
-2924.6170925520346,21145.0
2206.835610002112,26982.0
3823.6215953037463,29122.0
-17644.3204289461,8427.0
7559.148126878594,35350.0
-7776.892307510101,16579.0
6419.032142980148,33195.0
-1534.2776537127356,22526.0
-9997.824309997697,14599.0
-20949.632633674795,5842.0
437.8809458042888,24997.0
-11604.421744550564,12929.0
-13725.4722063898,11386.0
-5481.944025345583,18702.0
-3973.809011229794,20140.0
5464.1284028034715,31382.0
-19107.014155672383,7248.0
Objective Value, Total Weight
7149.892983373313,38535.0
4114.686251752697,30176.0
-21099.603008198163,5283.0
-16523.590596257756,8792.0
-9228.163024387279,15007.0
-4278.924137709164,19924.0
-7746.2670923373735,16440.0
2222.696977857071,27187.0
-19244.481192834424,6574.0
1214.4343289892422,25871.0
-12178.633895542454,12451.0
5953.090530961854,32710.0
-880.7925127531053,23514.0
-15327.417872591865,9776.0
-6089.113609416949,17995.0
-13421.163292080819,11412.0
-11059.302675067076,13566.0
-2694.4478265211073,21598.0
-24435.371606471395,2927.0
-27013.021692939845,1590.0
Objective Value, Total Weight
-14286.546237893315,10667.0
-9238.349270688086,15037.0
5747.283801775215,33538.0
240.32194738752878,25076.0
-17181.39083465566,8217.0
-15657.283766450451,9443.0
1350.0811733208466,26458.0
