Objective Value, Total Weight
-4723.291367371563,20410.0
-3282.2489099788872,21974.0
-7785.203057164301,16908.0
1794.9207654059574,28330.0
5503.511292643438,34695.0
-2178.8105728322844,23156.0
-10581.961467482306,14449.0
-5.24650879798719,25687.0
-914.7841668679466,24632.0
3328.2370831424996,30477.0
-11873.629145371513,13234.0
-9009.572978330896,15958.0
-7103.61310908087,17709.0
-3927.1556061640113,21304.0
-5837.8268094032355,18935.0
-13977.545889120407,11347.0
2267.8050506043655,28824.0
704.0162197628524,26729.0
4191.976092931276,32112.0
-12790.520506334411,12335.0
Objective Value, Total Weight
3071.8905156148176,29854.0
-7814.104591463049,16728.0
-5822.719497219186,18702.0
-7258.33143160996,17222.0
-346.97280391102686,25177.0
-2548.344064029341,22750.0
-4681.018139151711,19884.0
1829.391540984434,28015.0
-9872.72633675443,14862.0
686.8959403113477,26359.0
-3223.309930038842,21933.0
-1471.9940482228485,23932.0
-6108.318218872922,18404.0
-11511.53652104091,13362.0
-4139.287602823719,20378.0
4068.8442142437925,33141.0
-8483.841577682924,16097.0
1114.1609298780386,27049.0
-14278.116232164368,10950.0
-10679.802600266034,14103.0
Objective Value, Total Weight
-119.46721645633079,24650.0
823.5109578066767,25695.0
2211.597342171597,27478.0
-1318.7184060588042,23291.0
-3806.9384807476818,20682.0
-3109.5027935032704,21417.0
-8471.93913545776,15788.0
-2578.1008322726484,21911.0
-9640.125931726303,14800.0
6063.673952716032,34696.0
-6138.938787356012,18201.0
4270.9534315675555,31077.0
5085.296158335754,32792.0
-6995.9244589499285,17302.0
1854.300443590735,26877.0
-11566.919996062803,13134.0
3196.736464274145,28660.0
-795.3375046695946,23785.0
-13101.89892072892,11519.0
-5156.163957223311,19176.0
Objective Value, Total Weight
-5202.056079212161,19734.0
4505.1403538347295,32476.0
-359.2989066926384,25100.0
688.708482458911,26702.0
-2232.280829285417,22926.0
3277.390374214614,30798.0
1796.1540811341183,27917.0
-9823.964513687399,14766.0
-15292.806887387345,9933.0
-11769.098102074677,12948.0
-13352.95405291293,11545.0
-8865.92585194033,15743.0
2415.884988539132,29024.0
-10926.1399977709,13689.0
-14288.066275235939,10739.0
-1533.0400859007568,23885.0
-7573.338721350843,17242.0
-3686.5507166747047,21396.0
-6047.307062856635,18879.0
-17974.53172396264,7756.0
Objective Value, Total Weight
5090.131228778184,32570.0
-5233.2992277989615,19290.0
5877.993898604647,34183.0
761.8098688676982,25868.0
-1363.4816553429482,23377.0
152.1538090611284,25348.0
-8374.275220760737,16063.0
1942.6638450722894,27815.0
-4169.551967115323,20458.0
-2357.605361154947,22332.0
3548.5253008787404,30228.0
-5957.7139585355435,18431.0
-12967.423426693898,12044.0
