Objective Value, Total Weight
8763.653602576793,41875.0
-23966.714959368554,4152.0
4300.08654898149,35125.0
-8478.85890449211,19936.0
-5115.965682571805,21676.0
-10152.795420251794,17951.0
6852.5824960135,38709.0
2883.235904533867,32781.0
-14788.813698222148,13535.0
-3767.6277581952963,22854.0
-19790.87226384734,7763.0
-21455.33975841798,6639.0
-12665.503933680906,16093.0
-2081.1245113120094,25384.0
-23287.731628859594,4647.0
7942.389443985143,38917.0
1770.0259496968429,30457.0
-18305.584502221904,10178.0
-12380.487702911189,16337.0
-616.8798041457412,28515.0
Objective Value, Total Weight
8932.681482709537,41202.0
-22864.31180733338,5362.0
-17466.547585160963,10844.0
-15500.07617390055,12418.0
-19411.905615683958,8157.0
-13445.554896223235,14324.0
-10382.736606069033,17220.0
-8289.629720372155,18973.0
-11797.639827269391,15704.0
7839.33385141383,39758.0
-1873.0385017315639,26499.0
7154.751664435826,36940.0
5857.196349293699,36246.0
-4403.578594204235,24628.0
3179.275157017575,31145.0
4814.57675098419,32536.0
5308.2435444252915,33711.0
-4025.663460266769,26179.0
1164.2203006620039,30238.0
-5578.067465151442,22749.0
Objective Value, Total Weight
9445.196205479384,42463.0
-23332.62097895738,4704.0
-7248.914585374288,20097.0
1072.9933422188114,27999.0
2828.419235751935,31412.0
-8966.358057613834,17740.0
-4316.0807531656465,22055.0
-22123.43810127764,6604.0
-19768.991070422122,8826.0
8892.681725121744,39597.0
-15834.36465499083,11874.0
-3083.433998670953,23547.0
-13594.85059703386,14747.0
-14875.149633455752,13990.0
7371.463547012674,37448.0
-11716.39856342852,16982.0
4555.874177076301,32676.0
-1316.5868510261207,26707.0
-1850.5688670985328,25417.0
-12364.855964877366,16767.0
Objective Value, Total Weight
9246.14695786943,40673.0
-25233.825449298634,3441.0
6039.144766287318,34975.0
7504.318314553995,38948.0
2838.631942504653,30550.0
-9905.690123312197,17507.0
-23185.20951328095,5099.0
-8961.187839974358,21553.0
-228.11789179409243,27970.0
-4053.1690706135123,22367.0
-2850.530894673764,25211.0
-6671.817403811416,21805.0
-11875.37585205958,16349.0
2064.393195190707,30473.0
-1353.78290679591,26595.0
-13108.539569515957,14977.0
-16717.225845857658,12271.0
-21285.54306463678,7186.0
-19029.765962781195,10427.0
-18242.19642932996,10587.0
Objective Value, Total Weight
-24212.870024989614,3384.0
9986.563103723049,40407.0
7985.651534301811,38173.0
3850.5622178331905,30415.0
2396.319507057662,28295.0
377.9025384960769,26074.0
-7810.737296904219,20110.0
7528.955896480635,34696.0
-22919.615238216044,4467.0
-16068.292741715279,12029.0
-3901.247395457467,22800.0
-14485.92803163125,13721.0
5841.578276954751,32789.0
-19538.790366652367,8617.0
-6243.480716136903,21844.0
-9926.882519774372,18528.0
-21147.055440169053,6498.0
-11829.885725224638,16998.0
-1687.6681744723392,24568.0
-17856.3074388069,10990.0
Objective Value, Total Weight
-24931.004286225372,3161.0
9156.593652093616,41597.0
-5286.7635031073005,22524.0
-17081.909870253236,10882.0
-20018.317144130946,9236.0
-3947.177498090423,25625.0
4159.5907345671,33725.0
-14177.30925879973,13051.0
1204.2337803537594,32379.0
-22324.715465160905,6794.0
-8549.766198350968,20120.0
-22822.826071310672,5381.0
-1162.2931578401403,26143.0
-14099.230619660499,14908.0
-9584.898366420326,17154.0
603.2810558920319,30633.0
-11904.265600182436,16275.0
7799.37535717323,39215.0
5529.594916889939,35259.0
-8896.823341993208,19598.0
Objective Value, Total Weight
-24257.21199099547,4031.0
9118.402374087345,42235.0
-11426.716543662209,16565.0
3601.8564923038793,32506.0
-4806.406225962841,22939.0
-7674.004547751581,20101.0
8710.817754194737,37538.0
609.5074937589015,28089.0
2197.2277117080084,29792.0
-1739.2286631677707,26352.0
-20442.743032193674,8437.0
-7291.105012857392,20500.0
6033.750842597401,34590.0
6243.88741498626,35516.0
-14090.140758579728,14900.0
-22798.40196896758,6165.0
9051.29798752039,40741.0
-2900.685799935287,24270.0
-17211.85030657713,11993.0
-18743.894275391107,10025.0
Objective Value, Total Weight
8576.845093759075,41725.0
-24639.657607381254,3987.0
-24639.657607381254,3987.0
-1091.1360080162267,27693.0
-4258.005192508601,23223.0
334.4383533354994,29697.0
2710.635697971171,33249.0
-22330.178897840313,6286.0
-13552.523301777801,14698.0
-10804.877882940265,17259.0
-18733.569959035423,9289.0
-16757.81231410516,11078.0
-8023.545827381968,18512.0
5514.784117939969,37050.0
-14843.953162201993,12582.0
-20299.972671401036,7371.0
-11164.267279420921,15506.0
7089.121012037234,39214.0
7362.800963817877,39275.0
-6436.766612804262,20648.0
Objective Value, Total Weight
9162.506218498369,41707.0
-24974.306886921728,3602.0
-9816.431137973937,16015.0
7517.502450686843,37311.0
-13730.535973872287,12788.0
-251.6735625914589,28058.0
-3109.7571311253996,25572.0
-15256.731138835603,11495.0
1670.295776605286,30020.0
-7521.627579080479,18558.0
-4982.610708997032,21610.0
-7497.010327551783,19749.0
-1807.260139529557,27102.0
-17507.991639308668,10509.0
5366.036684030441,35744.0
-23139.981431911656,5124.0
3733.782600869934,34315.0
-4426.546822018994,23379.0
-19234.515790890364,8672.0
-20447.61839209135,7214.0
Objective Value, Total Weight
-21592.96824199975,5446.0
9208.579818924743,41213.0
6713.688938942039,39294.0
-14774.331000115493,11408.0
-17420.624942311762,9366.0
-9149.007820500436,17071.0
-401.7674593377087,26376.0
6666.025713238749,35019.0
3999.487416441574,31961.0
-11138.810671296633,15912.0
5280.845447322259,34278.0
405.1979383646176,28468.0
-19908.1710566467,6774.0
-5783.200989635683,20789.0
-19044.432142189744,8325.0
-13832.922803659803,13745.0
-2161.7357959170768,24730.0
1610.318367321117,29989.0
3175.838178075166,30066.0
-2663.8680712452333,24025.0
