Objective Value, Total Weight
-40444.24382579502,2452.0
-17283.175629550773,25643.0
-37178.879185036145,4511.0
-28583.59587895313,12296.0
-18699.497601608935,22836.0
-7596.457028103316,35968.0
-24582.624269020685,16407.0
-22566.627321743603,18512.0
-13574.235076269571,29211.0
1870.5023585372473,51801.0
-31095.86313844854,9425.0
-26823.734011837878,14152.0
-1639.908903410469,44659.0
-10268.074049949384,32986.0
-4261.770492647236,40897.0
-20703.16118384445,20534.0
-33967.27275893576,7100.0
1007.2366532710075,49588.0
3658.0871445301163,56730.0
-42830.65,0.0
Objective Value, Total Weight
-14264.533769247239,29002.0
-2350.958364659571,44870.0
-37101.61665077445,5004.0
-28383.685781315267,13019.0
-11618.923238142808,31528.0
-4154.586331026148,41728.0
-6278.777894514395,38778.0
-21633.143873989946,20951.0
-31632.115662739263,9331.0
-16205.936026130978,26128.0
-39642.0749863035,2438.0
-18876.817118544015,23329.0
-25249.675775499847,15799.0
-23823.43657732194,17799.0
-9305.297815225756,34104.0
-34094.95502854933,7592.0
4685.476103412788,55940.0
2193.553942482249,51409.0
421.45065710827475,47727.0
-42830.65,0.0
Objective Value, Total Weight
-19962.25771155826,21066.0
-29144.517302485845,12054.0
-21810.501401357986,19455.0
-26862.22153382704,13944.0
-13056.999177260259,27806.0
-37605.43363160328,4467.0
-32743.195330312687,9504.0
-10428.407820856752,31964.0
-16523.216750419713,24625.0
-34962.87193263209,7179.0
-39973.42638711631,2423.0
-8272.260972356169,34888.0
-24134.64053333913,16925.0
-5703.9086165884655,38083.0
-3695.705026055657,40905.0
-1042.611742378118,44624.0
2846.119296576675,52741.0
1356.8498937428594,48004.0
-42830.65,0.0
4799.460370424378,57718.0
Objective Value, Total Weight
-28369.943824756287,12780.0
-11938.519804398886,31190.0
-26332.631938178383,15246.0
-21678.043958409966,19948.0
-19133.48188385545,22653.0
-23631.915766299586,17620.0
-6753.440038926834,37637.0
-30596.507008148328,10858.0
-36790.79588859952,5222.0
-258.8671916194653,48438.0
-17256.35953362115,25119.0
-39285.67235310228,3537.0
-34841.298411586904,6813.0
-33002.00842259697,8350.0
-9613.30659813538,34245.0
-2578.615404835713,43936.0
-14047.850509483957,28299.0
-4820.292501103824,41029.0
-42830.65,0.0
1254.700918527531,52605.0
Objective Value, Total Weight
-20833.530960847944,21554.0
-34098.96137543311,8408.0
-18098.12375246272,23729.0
-31511.33143039017,9549.0
-27690.671229041785,13895.0
-38950.81929460727,3470.0
-35965.19577027318,5487.0
-40811.870634721694,1695.0
-22868.615630734865,17717.0
-28767.143847562234,11905.0
-15447.373478466216,26570.0
-3949.9050803223436,41287.0
-25683.52320918317,15624.0
-123.28030120333278,48493.0
-9159.222610040255,35354.0
-13510.869410208325,28875.0
-6847.3869916318,37861.0
-1707.139346146083,44110.0
-11476.394158644238,31822.0
-42830.65,0.0
Objective Value, Total Weight
-25378.514445585308,16484.0
-38395.7658553612,4079.0
-14105.63603123065,29369.0
-23518.639506944353,18952.0
-15765.714148271138,26708.0
-18031.19179304903,24587.0
2892.4759510064105,55960.0
-27447.38701073198,13970.0
-30180.848738034278,11753.0
-11578.139548866202,31032.0
-34688.486746155824,6838.0
-21196.175264401645,20152.0
-31965.181392136023,9824.0
-5305.910623675292,39042.0
619.3902405935587,48319.0
-10572.116750234338,33498.0
-3378.1346554895354,45423.0
-3394.224066911607,42226.0
-8059.67062033312,36105.0
-42830.65,0.0
Objective Value, Total Weight
-11513.902720409787,31733.0
-38258.48690579172,4464.0
-22727.790019538574,18714.0
-31942.898622726607,10646.0
-39738.98345028005,2510.0
-19476.13118076259,21779.0
-36107.05780249228,6240.0
-34151.41173985875,8114.0
315.1079615259732,48497.0
-25222.03103824811,16231.0
-16204.949869982898,25422.0
-13560.18749368543,27904.0
-9749.126817871474,33433.0
-28074.328309159864,14271.0
-2086.251228208508,47240.0
-7233.809954587021,36040.0
-4193.3358253627885,39832.0
