Objective Value, Total Weight
1293.99142532509,41600.0
-10603.376776925928,26875.0
-4869.55702118708,36133.0
-17485.861520277293,20119.0
9316.8149247775,52500.0
-1971.4371409667947,38224.0
-13099.000708440566,25009.0
11373.533181821273,60420.0
7274.08116639185,49700.0
-8126.505930478757,30487.0
-28719.38461338688,11668.0
3245.9395961771515,44847.0
-5407.234630354615,33049.0
-25719.502570411794,13969.0
11289.124702307709,56074.0
12563.494130920895,63175.0
-20203.593312204743,17955.0
-22721.266304817327,16197.0
-15259.84632374889,22579.0
-32222.548064666007,8052.0
Objective Value, Total Weight
-24613.873987585408,17287.0
-1277.3855707320108,39165.0
7348.316717417671,51509.0
-30380.373419400836,10212.0
-13038.279744923486,28339.0
-28612.406221237063,12773.0
9605.826258843372,55910.0
-25521.48419756718,14229.0
-14362.279901345784,25147.0
-3905.3327572745475,36157.0
-6838.462785285068,33532.0
-9703.802444127927,30729.0
4093.9000053761556,48751.0
-20375.999258741875,20279.0
-16534.033110356875,22304.0
-33559.38624836216,7605.0
3264.0288302710906,45035.0
1819.3267675231546,41970.0
-36326.780612327326,4968.0
12121.592521054481,62217.0
Objective Value, Total Weight
1458.3183311718094,42314.0
3752.8380540253565,44718.0
6115.901511749231,48235.0
-6415.499858953568,32263.0
-29073.283098643617,10537.0
-3619.7063773385453,34690.0
-18881.699284342205,19291.0
-10964.880871345413,28450.0
-1079.7570890553689,38721.0
-12166.542556548076,25775.0
-21154.600587404013,17701.0
8560.312710007776,51817.0
-16806.895480339037,21067.0
-15034.824835800762,23765.0
-23793.11015511312,15467.0
-26536.78673325298,13099.0
11413.729858372579,57300.0
-35632.54484981363,5811.0
-31620.018359851078,8649.0
12322.08123740465,64079.0
Objective Value, Total Weight
-28690.55063692131,12499.0
-9411.388338090801,29810.0
-25142.985535546642,16500.0
-13078.538995325485,26498.0
6560.4133926893555,49986.0
406.5761320879901,42287.0
4717.029190132038,48013.0
-7320.553792605329,33681.0
-22148.45442554503,19001.0
-5220.322147148196,35352.0
8261.86472105021,53223.0
9171.77910115003,56689.0
3673.428226271564,45011.0
10919.974198132608,60205.0
-19429.5671746574,22536.0
12494.576684716085,63520.0
-14775.823909784747,23884.0
-2533.21416233552,36801.0
-30831.848400519622,10317.0
-33833.68984343641,7191.0
Objective Value, Total Weight
-7061.639889621882,32130.0
-2949.777111732954,36784.0
-11859.73101155791,27621.0
-5760.857828462627,35089.0
-1466.2356328197784,40931.0
-17305.20258057412,22186.0
-20139.305921426734,20235.0
11419.093073248936,57700.0
-21719.672183307506,17587.0
1223.005749359363,41737.0
8698.636129543753,55206.0
-14057.007806039648,25957.0
7050.581197797575,50070.0
-9767.524575987649,31171.0
-24336.941712225416,15473.0
4774.026497211795,47173.0
12268.47942773754,62055.0
3744.6025527082675,44827.0
-27208.464494567655,12103.0
-30452.515776545333,9527.0
Objective Value, Total Weight
-19440.72767022348,21204.0
-15930.605884945428,22026.0
4949.15692193999,46313.0
-22117.185736584834,18164.0
-1813.70529560851,38836.0
-28226.62667852641,11900.0
