Objective Value, Total Weight
-1221.358543655937,37854.0
-789.0007350775777,38459.0
-990.0720111323753,38118.0
-1267.165288715485,37721.0
-3183.6275026843505,36509.0
-2317.0016367240605,36514.0
-1221.3580009461948,37939.0
-1402.9329106911246,36859.0
-3915.2839608904687,35522.0
-2130.3555516629785,36540.0
-4254.758170971829,34533.0
Objective Value, Total Weight
2371.2598878494537,38982.0
660.6319419035499,38382.0
-1789.4940873931846,37725.0
3136.974270483697,40296.0
-5004.157640867015,33582.0
-2339.3689115828747,36826.0
-3610.795290645983,36285.0
-4625.575852407404,34527.0
Objective Value, Total Weight
-1617.6841541408285,39254.0
-2186.277243475808,36223.0
-1586.1294849028855,39766.0
-1322.1001476156525,41302.0
-1835.2351117633953,38275.0
-3194.613195089725,35937.0
Objective Value, Total Weight
-5369.00446497435,36556.0
-6168.695318150261,36480.0
-6634.3637862674,35703.0
-9169.059559791953,32949.0
-6698.369098884868,35129.0
-12203.967560854951,31968.0
-11887.695696829272,32417.0
Objective Value, Total Weight
-579.8347215610411,38710.0
-3366.3646495809153,36981.0
-6889.597324129791,33730.0
922.5876743046974,40638.0
-4768.785237222626,34357.0
-3688.832435660348,36409.0
-776.2515083989274,37364.0
-4127.832134695651,34719.0
-5030.415651660005,34112.0
-12712.560228357543,33559.0
Objective Value, Total Weight
-3932.4692103093985,35290.0
-764.3754505347606,37215.0
-340.9396135790521,37370.0
-2272.902830465777,36720.0
174.70881709053356,38292.0
-2769.716819222507,36544.0
-4379.8292327855015,34442.0
-4676.550065353418,33088.0
Objective Value, Total Weight
-2803.143510002512,34069.0
446.30841136037634,39670.0
21.6243970735959,37206.0
-1946.7246118168478,36742.0
-2374.084718765065,34924.0
304.80750154664565,38932.0
-5241.624959091001,33980.0
Objective Value, Total Weight
-5090.909633641764,37742.0
-7528.125836758823,35497.0
-8567.320024152054,34547.0
-5110.635837415903,37391.0
-1543.6943686599625,40099.0
-7929.69509041305,35243.0
-2206.517011741307,38006.0
-8228.916731586163,34746.0
-6832.1854641091195,35971.0
Objective Value, Total Weight
2047.0502485975012,39141.0
-1584.8487004702693,33601.0
157.31739497786475,35260.0
573.5635327842028,37288.0
-873.1523355785175,34224.0
-475.43398643196997,35247.0
719.0346733744227,37566.0
507.0465336275156,37193.0
-2811.179060923496,33192.0
-812.72271320851,34835.0
-3882.6079479850014,32676.0
-4836.2416126085445,31633.0
-2334.5350796132407,33388.0
-1622.7794826480676,33391.0
-5559.126435425678,31568.0
Objective Value, Total Weight
1424.1916522967367,42668.0
-1216.092443030495,38383.0
-2696.1154490814006,34679.0
-9659.603120535976,33915.0
-8003.544572481151,34611.0
-1762.8819227942877,36809.0
-346.71630887369247,38971.0
-9372.286628771537,34324.0
