Objective Value, Total Weight
-14478.948864238017,26732.0
-33253.87,0.0
-14478.948864238017,26732.0
-33253.87,0.0
-23354.75876297654,10465.0
-17557.960232609774,16836.0
-16463.960316781915,22984.0
-23354.75876297654,10465.0
-29179.43918827882,4588.0
-16489.66001231548,18592.0
-17557.960232609774,16836.0
-15481.979691245593,25369.0
-24566.893182812506,8917.0
-32091.788870738324,1732.0
-30087.80741186031,2900.0
-27497.58385497955,6338.0
-27497.58385497955,6338.0
-25624.889711541036,8029.0
-17353.84442513508,17311.0
-25624.889711541036,8029.0
Objective Value, Total Weight
-33253.87,0.0
-15656.100026403677,22152.0
-15656.100026403677,22152.0
-33253.87,0.0
-17125.17387559272,21028.0
-19173.98781780002,17386.0
-18124.15209948484,18404.0
-29832.666878953853,4506.0
-23934.26659985303,11376.0
-26139.094147335585,7152.0
-21028.057699845675,12411.0
-30810.010706408335,2986.0
-21553.232354903907,11588.0
-26139.094147335585,7152.0
-29832.666878953853,4506.0
-31744.457352384234,1506.0
-19173.98781780002,17386.0
-21028.057699845675,12411.0
-24447.624712784796,9187.0
-31744.457352384234,1506.0
Objective Value, Total Weight
-33253.87,0.0
-13899.665943409964,26408.0
-13899.665943409964,26408.0
-33253.87,0.0
-20924.105375484723,11704.0
-19750.40554553723,20583.0
-17336.90835712135,23592.0
-19710.695529111,20826.0
-17336.90835712135,23592.0
-23389.357969936114,10047.0
-27155.81521104827,6256.0
-27418.685541125218,6033.0
-14419.361788849848,25737.0
-25242.2186068875,8173.0
-25242.2186068875,8173.0
-23389.357969936114,10047.0
-30675.634494556194,2419.0
-29206.19005523082,3979.0
-29206.19005523082,3979.0
-20924.105375484723,11704.0
Objective Value, Total Weight
-33253.87,0.0
-14917.70033098806,26724.0
-14917.70033098806,26724.0
-33253.87,0.0
-20950.465574537113,16670.0
-15027.95604959222,22572.0
-16861.919521526455,20736.0
-26547.877386165048,9127.0
-18018.21119851197,18842.0
-21934.228081752386,15693.0
-25459.8717559766,10182.0
-27941.74989718212,6616.0
-23871.25129929527,10546.0
-22900.091665657565,13345.0
-31192.475911410496,2190.0
-28205.87451564487,6334.0
-18018.21119851197,18842.0
-22900.091665657565,13345.0
-29851.63209673317,4989.0
-30971.813019520094,3379.0
Objective Value, Total Weight
-33253.87,0.0
-9867.551037247162,31589.0
-9867.551037247162,31589.0
-33253.87,0.0
-14738.025505314472,21882.0
-20296.31813012671,16914.0
-25500.83504789242,9166.0
-20468.679777475692,12705.0
-28382.481986806728,5607.0
-11808.689225718925,29176.0
-13345.245418346509,25563.0
-22851.255179112064,10940.0
-13744.938225277096,25559.0
-17549.801917053723,19901.0
-30928.067922501563,2537.0
-30928.067922501563,2537.0
-11808.689225718925,29176.0
-17929.85668164675,18753.0
-21703.78379994785,11732.0
-26549.523145833147,7268.0
Objective Value, Total Weight
-33253.87,0.0
-12619.109170964672,26162.0
-33253.87,0.0
-12619.109170964672,26162.0
-25245.00806217137,9088.0
-23508.780084153324,13262.0
-15728.777460817524,21160.0
-19621.564954407986,17395.0
-24170.69960019629,11742.0
-19621.564954407986,17395.0
-15728.777460817524,21160.0
-21266.874186016626,15346.0
-14261.670941073993,23426.0
-14261.670941073993,23426.0
-30611.494352384194,2758.0
-21266.874186016626,15346.0
-26931.852292262498,7521.0
-31806.767367922854,1377.0
-27960.80486666142,5220.0
-30611.494352384194,2758.0
Objective Value, Total Weight
-12663.030216218409,27681.0
-33253.87,0.0
-33253.87,0.0
-12663.030216218409,27681.0
-22424.192206263222,11807.0
-18541.102165284916,18589.0
-14440.288912892996,23339.0
-14064.786930370996,25807.0
-25564.715374311912,8602.0
-21118.582818463532,14841.0
-25564.715374311912,8602.0
-18541.102165284916,18589.0
-27977.43552974966,6180.0
-21118.582818463532,14841.0
-29647.050048972735,3467.0
-16037.509239487743,21465.0
