Objective Value, Total Weight
-3296.7903409999126,30766.0
-12631.743911148638,19844.0
-9320.890344516345,23151.0
-5280.277386737478,27325.0
-6978.592112246275,25224.0
-7744.448426968331,24582.0
-4116.278610914473,29166.0
-10405.035142056375,22790.0
-6147.28672167896,26108.0
-3975.035849746302,30038.0
-7950.282910935151,24272.0
-6781.936613537138,25879.0
-12403.959439656639,20737.0
-5050.684241835152,28197.0
-3650.9637580931812,30516.0
-10561.784120156262,21945.0
-8562.787829824149,23659.0
-11518.622993496901,20999.0
-4538.338683644884,28678.0
-5867.825009429711,26712.0
Objective Value, Total Weight
-1768.7975514365316,33416.0
-1768.7975514365316,33416.0
-16058.886671081775,17195.0
-16058.886671081775,17195.0
-9903.573078789006,23206.0
-8171.632751544959,25272.0
-3239.096984464333,31884.0
-12271.90410724171,21134.0
-1954.3132935098402,32356.0
-10591.089948640016,21978.0
-12762.27558759704,19997.0
-7160.781482709179,25738.0
-3486.5460542689543,29668.0
-11447.21163249277,21760.0
-6366.068135636771,26208.0
-14494.74719475086,18641.0
-4554.043286476772,29102.0
-5936.154941699831,27086.0
-15658.330125732791,17199.0
-13552.576851635364,19376.0
Objective Value, Total Weight
-16365.445936115066,15103.0
-1673.9521028997115,30883.0
-16365.445936115066,15103.0
-3843.9274603915837,27927.0
-8919.630448587814,22881.0
-5367.022465146707,26549.0
-10272.733711753019,21067.0
-6148.2003348336075,25807.0
-6948.5128014886795,24767.0
-12135.385735170705,19367.0
-2202.5085586707137,30231.0
-7835.762874539425,23239.0
-11004.095575827501,20175.0
-3250.0184794383895,29211.0
-7618.852621772297,24205.0
-13011.749450808253,18263.0
-2827.84654420484,29357.0
-12516.978974658407,18771.0
-13633.226906632204,17727.0
-15851.152356346756,15839.0
Objective Value, Total Weight
-1047.9203414602598,36163.0
-11488.486203395209,22867.0
-1047.9203414602598,36163.0
-11488.486203395209,22867.0
-9547.346006027183,24733.0
-2134.267667255692,33467.0
-9000.871425549834,25474.0
-7777.673878624315,26652.0
-6053.679399642213,28746.0
-10934.530590988463,23608.0
-6713.016680771099,27633.0
-1408.2301243687543,34726.0
-7251.133651605211,27253.0
-3981.606203011528,31266.0
-4741.983151194785,30221.0
-4238.070224832372,30597.0
-5015.500352033174,29552.0
-6195.038049075891,28374.0
-10934.530590988463,23608.0
-1408.2301243687543,34726.0
Objective Value, Total Weight
-13135.257574563271,19701.0
-1364.0289602684206,31657.0
-13135.257574563271,19701.0
-1364.0289602684206,31657.0
-3173.5848231535783,29433.0
-2420.5576100106264,30570.0
-12400.576486215403,20258.0
-8246.973222852095,23929.0
-5016.965089419296,27491.0
-5716.797133263652,26359.0
-4457.835638899662,28191.0
-8652.114130885588,23639.0
-10542.537642409312,22131.0
-7527.580315662039,24876.0
-11225.78325011763,21186.0
-10120.251747443202,22201.0
-4457.835638899662,28191.0
-6932.458880333499,25379.0
-4569.9148605670125,27865.0
-6185.726556323549,25985.0
Objective Value, Total Weight
-12324.39575529658,22838.0
-1602.624913458203,34671.0
-12324.39575529658,22838.0
-2368.0672312824026,33725.0
-8705.479658341275,26334.0
-7952.468834940613,27432.0
-4148.18365369254,31657.0
