Objective Value, Total Weight
168.64235739854485,32597.0
-2274.7371664659368,29061.0
-4155.518237791839,27195.0
-5294.252474086366,25728.0
-3502.5729205787284,28088.0
-7592.143137201761,23406.0
-784.6097254194683,31354.0
-6340.188036102292,24548.0
-2092.8540826509925,29937.0
-1311.541539484504,31109.0
-9186.497831008593,21614.0
-2730.0976358580738,28449.0
544.4897949783408,33653.0
-5795.8224064327005,25266.0
-8172.79404871101,22737.0
-1441.9001817424578,30180.0
-8682.507420697482,22125.0
-7102.914570721332,23917.0
-4841.589102521641,26389.0
-9785.303651369766,20945.0
Objective Value, Total Weight
-4720.338252665271,26000.0
3254.884428556761,34225.0
2403.3773304971983,33129.0
-587.8061818394417,30058.0
-2590.9860037508915,28186.0
-6748.524098252594,24133.0
-4150.006291705984,26436.0
-5805.126619410206,24638.0
-5397.635537533053,25140.0
-3673.4944209347013,27004.0
-2919.64235653216,27428.0
991.8764069651297,31659.0
1640.6381526137484,32428.0
320.8218291378507,30796.0
-980.2047048123495,29346.0
3967.672377835268,35011.0
-1592.2651309149587,28878.0
4678.845862581482,36428.0
-7714.257863738174,23209.0
-8776.735331004886,22437.0
Objective Value, Total Weight
-8950.471276796387,23185.0
-7235.466594848411,24794.0
-10409.019652491552,21644.0
-10755.629139376091,21124.0
-11215.322509132813,20776.0
-6347.982194460012,26031.0
-10022.676206869219,22209.0
-5720.097889597731,27006.0
-12902.954372164553,19475.0
-5883.807820898954,26370.0
-13413.201373873664,18694.0
-7819.356155606962,24233.0
-6779.92026747857,25613.0
-7141.338488740745,25208.0
-8356.318665073275,23814.0
-5271.109473550896,27345.0
-9551.414672979394,22858.0
-12111.301181579685,20440.0
-12512.046669530399,19875.0
-5058.859811752896,28570.0
Objective Value, Total Weight
-1639.9025678075777,31326.0
-14734.529240988944,17221.0
-2520.839965418454,29755.0
-10601.718511008723,20943.0
-8139.456853834898,23528.0
-3099.1987171243964,28817.0
-7268.981878913168,24359.0
-1966.2108217383648,30736.0
-5366.260162474173,26498.0
-12704.673851661792,19023.0
-11156.177333951353,20419.0
-6707.1190869147395,24895.0
-8732.612495455942,22779.0
-5961.892034057462,25699.0
-11917.076805696044,19643.0
-9380.909853769408,22023.0
-4731.688534765599,27045.0
-1182.8837896398181,31798.0
-4011.6233750222236,27865.0
-13484.444283915938,18247.0
Objective Value, Total Weight
1394.6726953543402,33066.0
-4227.957255988746,26866.0
-7467.491058144187,23579.0
-1693.9357702014095,29694.0
-4875.593954794393,26288.0
490.18330998480815,31890.0
-5536.387272400643,25479.0
-3579.1405401133525,27500.0
-159.41783165452216,31258.0
-10203.696026472317,21089.0
-9581.283272240435,21549.0
-8882.90857518911,22179.0
-12031.30127811378,19338.0
-2727.128045037942,28476.0
-6403.65204394958,24586.0
-824.3372264198915,30394.0
-8086.816487555225,23063.0
2501.9452597778654,34332.0
-11148.235287451345,20126.0
-13051.769872744713,18718.0
Objective Value, Total Weight
-5075.166894102636,26103.0
-3305.531638891778,27939.0
-11150.53928413934,20564.0
-4026.6056562683734,26959.0
-9677.986853277253,21711.0
-9215.533253451176,21884.0
-3527.97059047981,27262.0
-7901.711257986819,23041.0
-2545.4913573060912,28405.0
-5888.78901218719,24998.0
-1938.5886887876186,29086.0
-6763.754333376513,24025.0
-8345.28793683317,22643.0
-4380.086141134067,26515.0
-6371.445651360373,24558.0
-5318.687560404585,25426.0
-10077.328383379478,21249.0
-7422.632236629863,23344.0
-8648.1244262689,22306.0
-1505.6662433209349,30013.0
Objective Value, Total Weight
-4823.722801942669,26137.0
-8834.226017704132,22198.0
-2060.99005911297,29462.0
-6957.528309578178,24033.0
-9658.460066244596,21341.0
-5374.79789034366,25477.0
-8329.470203638237,22853.0
-5949.333188276039,25213.0
-4163.700906672755,26726.0
-3201.778011545335,28339.0
-6224.51090259316,24653.0
-1194.1600553502067,30663.0
-1411.6193500326335,30051.0
-3533.1990426221746,27312.0
-748.447224954085,31836.0
-9328.094146475167,22188.0
-439.21700454188976,32697.0
-7555.926064049498,23414.0
-2619.616874618361,28966.0
-10632.145008230735,20884.0
Objective Value, Total Weight
-11087.05118634634,22721.0
-3398.347931113305,30867.0
-6494.4487837209235,27610.0
-5018.03005283534,29115.0
-3192.2710347423927,31545.0
-13099.744141642492,21233.0
-10539.796797253308,23272.0
-7884.226537939445,26228.0
-12320.284650575086,21678.0
-11675.561278900808,22152.0
-9770.196266485058,24032.0
-9028.841727590254,24667.0
-4124.205694085365,30360.0
-2698.135556713525,32272.0
-5521.272482573899,28281.0
-7046.699811830804,26866.0
-4465.12699815564,29842.0
-8609.662625476398,25057.0
-14104.15393773593,20389.0
-8243.928668394365,25575.0
Objective Value, Total Weight
-7293.642507155346,25390.0
-6478.690749443027,25816.0
-9624.138574087177,22805.0
-6117.800505289211,26570.0
-2979.8822243402974,29594.0
