Objective Value, Total Weight
49362.86846473685,203792.0
30334.503843350336,176065.0
54223.30009860432,222013.0
48460.0532830203,201381.0
41424.92494590589,189197.0
50785.594506634545,207149.0
42108.378552563285,190352.0
52970.44643105162,215411.0
44096.725161047536,193537.0
50216.03982549373,205234.0
45215.7179436681,195395.0
37936.9457287814,184622.0
35587.39566733237,181051.0
46084.52969015055,197246.0
51652.33291497445,209668.0
47093.34451204067,198539.0
39319.476454325835,186620.0
33129.92494077759,177999.0
29707.567767833447,174838.0
36251.147047863604,182657.0
Objective Value, Total Weight
40850.27107980187,189445.0
37231.03634411993,183445.0
50051.69808754898,206989.0
51468.46852857596,209941.0
45635.90864766046,197177.0
47796.25814225053,200965.0
43435.5591632163,192702.0
52415.394510335085,212522.0
36520.691530735,181717.0
37955.46025576399,185761.0
51086.65846608445,208540.0
46025.769845003786,198093.0
39376.147751734126,187912.0
43987.90208510138,195641.0
48434.45639043802,202388.0
41764.587274255464,191401.0
49216.33875157809,204738.0
34253.12001506446,181162.0
31636.496130204294,176999.0
28301.18540547078,174473.0
Objective Value, Total Weight
36807.6939988111,181272.0
53163.46714950289,215541.0
49030.83010334798,202418.0
50749.56142930288,205519.0
33826.728936204454,178357.0
37349.20011481838,182016.0
51617.18475780022,209219.0
41584.168939320516,188837.0
39285.581323603925,184787.0
52422.234386160824,212602.0
40096.606607424066,186171.0
42328.38848584716,190139.0
48480.6054290889,201016.0
45956.10061446906,195991.0
46640.94693061663,197690.0
30934.599873391126,174893.0
43282.857338966336,191825.0
44277.44143227633,194058.0
29292.412642965384,172830.0
32970.111426911346,177208.0
Objective Value, Total Weight
52517.88658748401,211328.0
47630.292928891286,199933.0
45663.34489984138,195331.0
38567.84827989922,183826.0
35677.5698010363,180624.0
53391.789855076524,213334.0
29069.08667116458,172940.0
39366.73761726319,185040.0
33436.66690785703,178459.0
41154.16749863312,187890.0
42014.3588205986,189168.0
44445.49557998113,192355.0
43341.8966449851,190660.0
36960.794642152556,182435.0
27423.63024183584,171246.0
49796.246815976134,205081.0
31852.37612091808,176777.0
46823.71365808061,197704.0
51733.95108141369,210421.0
48715.44898792857,202510.0
Objective Value, Total Weight
43776.54526439987,193668.0
36056.964943952626,182954.0
50913.046409962204,209045.0
32657.05755316929,179368.0
45212.69533729568,197177.0
47200.3104935961,200980.0
52734.48649802574,212598.0
53971.998463374155,217929.0
34798.43504597814,181086.0
53257.9027397279,214904.0
30951.436878896347,176600.0
49708.03964860688,206145.0
40318.70284034527,189314.0
38695.326365924964,185864.0
47812.29688261403,202406.0
50271.46386116266,207757.0
37412.45712422294,184962.0
43880.85918277039,194019.0
46049.73982155719,198435.0
41733.13104126853,190736.0
Objective Value, Total Weight
44050.8512524993,195823.0
42627.53940290003,193093.0
47579.96623588519,201287.0
33714.895409738325,179623.0
36032.97227686833,182639.0
46031.89208956796,199554.0
29537.394756451686,175784.0
49935.84844387858,207144.0
49459.4898307822,205377.0
39671.98700656113,188866.0
42174.52231394677,191866.0
45365.61546285849,197199.0
51148.41858840926,210069.0
52089.46446780642,213236.0
34850.37905728747,181239.0
24281.200703114388,169640.0
37380.036798278044,185455.0
26965.91061170466,172305.0
40496.663464070094,189719.0
28512.683839616715,174499.0
Objective Value, Total Weight
45051.745867245365,195055.0
50518.42903483636,208300.0
45405.925654250255,196869.0
42258.30450592202,190601.0
34918.85513256295,180264.0
51511.3203987563,212062.0
31885.312430436577,176113.0
39394.10568758269,185270.0
46934.495489878434,199345.0
29510.898386770015,173794.0
47951.07679142969,202061.0
41726.521260794834,188816.0
49239.256100363564,205040.0
37484.69828958364,183114.0
46635.637274282635,198811.0
41169.236080668314,187942.0
33547.20752900283,178866.0
39841.50959778123,185979.0
43458.31376448338,193892.0
24729.533991933888,172482.0
Objective Value, Total Weight
39592.08602079353,185719.0
55097.352910259855,220805.0
53264.435554399475,211500.0
48888.49550648211,199184.0
45627.73392537734,193337.0
51914.96130292246,207315.0
35815.48803721278,179739.0
41565.46724047602,188352.0
34097.113922772085,177573.0
42990.27763509122,189803.0
50890.48411759641,203918.0
38766.64104744521,184666.0
47940.87533995244,197971.0
30115.377484066412,171408.0
46748.88932590926,195801.0
26010.699391599774,169402.0
31773.726438378246,174262.0
33244.549252438184,176168.0
36990.062483301386,181863.0
23903.21498799461,167132.0
Objective Value, Total Weight
50095.14388835846,206350.0
26662.616575210064,172685.0
30471.282584776083,175713.0
31383.595973202435,177045.0
50034.25869862808,205302.0
34135.48790927863,179971.0
43010.75591795586,191982.0
32817.33695777695,178739.0
40894.97315037536,189176.0
47470.97451084462,201304.0
45181.17334055758,196064.0
52412.6659722116,215520.0
41529.68635570255,190476.0
46781.42609436973,199555.0
35238.64608393886,181551.0
43881.6992991007,193805.0
45511.62084609739,196706.0
38652.97981686477,186544.0
51642.33601343489,212628.0
36688.26050663603,183434.0
Objective Value, Total Weight
51507.85455797342,208233.0
53536.10519912993,214672.0
36540.21875542731,180257.0
30098.97079784426,172808.0
41192.19857528631,187747.0
42898.09363861286,190043.0
38609.03207869679,184138.0
31819.25149959183,174486.0
34196.667493325105,177566.0
24400.44016654839,167789.0
49207.51662076774,201823.0
27607.55894342836,170709.0
51253.31959189905,206390.0
46631.66554893015,196000.0
34726.30460869669,178003.0
48372.10648315787,199811.0
39549.06580371215,185033.0
45292.0818988751,193952.0
43354.62250792925,190640.0
19442.053206992365,161374.0
