Objective Value, Total Weight
-131742.1860132715,92717.0
-20592.893139993248,226301.0
-52016.094994712854,184225.0
-85582.24740564873,143743.0
-194241.65955695134,28522.0
-158361.88523655903,64389.0
-202856.62978099496,18654.0
-117631.80801314575,107021.0
-146534.57196736513,76160.0
-185174.71854087646,36527.0
-73996.86547957832,157384.0
-171150.50023534265,50103.0
4555.973262846179,262727.0
-62798.18655806809,171887.0
-101393.68990708314,126762.0
-32930.07427987218,208310.0
-7659.473147742916,248729.0
19921.167948522838,294744.0
12332.876356018358,279992.0
-220573.62029001382,851.0
Objective Value, Total Weight
-180467.74644296686,42151.0
-209244.73505319646,12865.0
-30610.63132905797,214194.0
-192651.35608434418,28656.0
-133229.8904584879,88580.0
-168071.84061864784,53034.0
-120230.88871211163,105028.0
-157282.4196647756,63667.0
-41139.3452266322,195732.0
-80300.36243780772,152407.0
-147774.30127458205,74514.0
-57441.09031491837,179055.0
-105355.20667228551,120014.0
-93188.20801483133,137478.0
3676.2711690957076,257830.0
-5853.048691008007,245633.0
11378.868677638413,277452.0
-19149.390024964232,230805.0
21008.533525742416,290806.0
-220204.7827026369,1144.0
Objective Value, Total Weight
-212349.91653571234,9692.0
-169978.9648666091,53140.0
-153346.44892998703,68204.0
-101376.64738198073,128464.0
-179814.15284434918,42320.0
-92947.35528501146,136948.0
-203347.1047811354,18949.0
-74955.25075590739,158953.0
-127288.75623720346,97722.0
-193615.2537440718,29367.0
-115539.3078651684,110582.0
-113.74331574619282,255218.0
-48902.18630051217,187392.0
-141857.61753747766,80576.0
-59191.5135225642,175612.0
-34451.751119731925,205435.0
13686.712690738379,278816.0
-12631.532356596203,239806.0
-23728.296190931113,219570.0
-220271.4731586035,1295.0
Objective Value, Total Weight
-206629.84837656727,14766.0
-161702.3463657327,62764.0
-194529.45243676385,26745.0
-139812.25048520186,84548.0
-117380.96905555789,108512.0
-129383.69589516803,95213.0
-147832.85933438732,74661.0
-103781.22692238507,125297.0
-93049.82327200787,135713.0
