Objective Value, Total Weight
3155.847081019703,64859.0
-148.24172681632626,62443.0
12618.241122393345,74659.0
4340.102013766358,66405.0
11229.153748570112,70725.0
8240.536309779141,68651.0
16533.570524924784,83760.0
9942.887913708124,69122.0
-3269.95903808398,61994.0
11905.550768295318,74350.0
14336.880391262603,78016.0
7359.485240059905,67794.0
13529.666503433487,76414.0
15886.486399576708,82132.0
Objective Value, Total Weight
15892.828902383859,83895.0
-3871.8738623237296,61264.0
9850.109811282484,70035.0
2363.8829179495806,63713.0
5878.610630491734,69585.0
-1541.1304240299069,63033.0
13662.393665996351,78504.0
15021.035411185556,80197.0
5358.761143414726,66920.0
10443.31275750314,73227.0
4110.68360273719,65316.0
-1757.7739639938663,62908.0
11069.445359413381,75364.0
3229.8935005662934,64894.0
5739.172436534194,68455.0
11942.745130699972,75971.0
15690.210822685578,81447.0
12180.601123267334,78434.0
10528.748946704756,73730.0
12082.998376633215,77398.0
Objective Value, Total Weight
7247.894142104822,68871.0
8819.173851975545,71235.0
10390.925167535606,72657.0
10278.390590010415,71608.0
8501.949271680161,70880.0
15121.382254657903,76138.0
6793.276127878533,67740.0
7461.086625442069,70403.0
1794.6584821011638,62900.0
4498.980874949004,65996.0
10704.597592333812,73932.0
17548.355066807868,81307.0
11364.503221680323,74723.0
10039.203739256816,71464.0
11644.852268639457,75743.0
Objective Value, Total Weight
317.4214269232616,61455.0
6714.230712205695,68090.0
-7732.784827339565,58937.0
1138.579823618682,64367.0
1177.0752419116616,64769.0
7343.341193869361,70280.0
8148.198913994536,70698.0
4670.082389297677,65723.0
13932.97828852669,76753.0
-4279.899671171574,59308.0
448.827912405337,63593.0
13195.152955740006,75021.0
11947.15671976941,74920.0
10778.738526008688,71748.0
3692.9498862570617,65004.0
Objective Value, Total Weight
12571.6004357466,78216.0
539.4075789611961,64519.0
4851.330468291228,66269.0
927.3978565939615,65045.0
5044.970321521381,68167.0
5221.355032764492,69793.0
13722.110123628168,83973.0
9962.945185480494,71782.0
5016.08020051496,66833.0
-1564.0628879846772,60266.0
7346.815347779193,70434.0
12418.964000450665,77106.0
12340.98924418194,74459.0
13559.491015689113,81490.0
9991.691987182581,72839.0
8223.125676779397,70836.0
524.7378743526788,64423.0
11150.766865629892,73547.0
12819.374337857662,80468.0
2320.6850278960046,65267.0
Objective Value, Total Weight
-3480.941648122709,60944.0
15666.545147789016,83466.0
11144.858111370602,72262.0
3365.14059967699,64358.0
-446.82279419530823,64031.0
8804.964029025374,70518.0
4358.283226139203,66281.0
11475.91899623329,76018.0
5466.409039104037,67054.0
-1245.1120961848937,62675.0
14331.553231261234,80149.0
-2614.4006825924007,61995.0
12819.171409399292,77694.0
8033.041444750837,70204.0
14795.292538414084,81671.0
12223.561107404254,76152.0
14021.190189435263,78134.0
15169.069657696382,82441.0
6369.332473308736,67818.0
Objective Value, Total Weight
7568.3328203844285,71620.0
2216.93981440927,64528.0
1794.7590169020405,63222.0
8847.935864597384,72436.0
15367.81679186059,83481.0
5108.831999103757,67758.0
10916.532957388947,76240.0
11593.543840464568,77372.0
14177.12536811689,78338.0
9742.235003430527,73188.0
7939.619192579441,71703.0
Objective Value, Total Weight
5183.718821262068,66924.0
7036.684483584453,69236.0
-6221.169619584369,57322.0
13985.13823606084,80751.0
11417.071613597363,73393.0
-943.3454829479015,63586.0
-2184.47135889536,59371.0
9245.868390721356,69591.0
13833.536981939615,76155.0
-1713.4471464783128,62804.0
-5386.065515178401,57708.0
3958.1410079085326,65021.0
1692.340441602355,64399.0
16024.372304915378,84018.0
Objective Value, Total Weight
-5816.608649813992,54124.0
16065.986054512628,81699.0
14569.260641518631,77351.0
-4662.906018971873,58302.0
12870.473452213599,73745.0
2472.5479863491637,62709.0
15167.81350822364,79315.0
-1484.9489660289692,60291.0
-2933.9490302464837,58911.0
6890.936357244733,67686.0
5844.625271355646,66235.0
4026.4429076912347,64128.0
1270.930423710568,60911.0
4408.3755850132875,65193.0
11724.852909229463,73662.0
10299.513888469533,72659.0
351.8718662559986,60889.0
8955.505019468663,70674.0
7800.2457075195125,69470.0
9642.339828562777,72105.0
Objective Value, Total Weight
-2421.5490219881176,53657.0
17230.38350486115,84276.0
11288.99050129349,68949.0
1702.149306454914,58970.0
12494.717430640638,71687.0
-1735.5689950525702,58357.0
15649.970706079257,77081.0
14322.671836541675,74265.0
16301.656554204339,78595.0
16508.34151304314,82888.0
8635.443515362349,66757.0
-978.6165375558776,58902.0
2916.423201916681,60709.0
13615.637974919882,72997.0
5817.392276503699,62690.0
6980.334152352138,65467.0
4122.021623674867,62656.0
6177.232307500788,64598.0
3207.4546813984343,62114.0
8195.88961121955,66370.0
