Objective Value, Total Weight
-287155.3068146694,5228.0
63391.94580443291,448447.0
-101984.66236831032,200503.0
-130552.9327940382,168318.0
23936.709398236766,389514.0
50887.66105822951,412907.0
-5841.753911314416,305680.0
-185556.17482623114,106784.0
-73674.88516472536,225616.0
-146544.8290266834,145325.0
15052.041932211781,348355.0
9557.238175042265,336587.0
-65721.6772944362,240044.0
-262781.0503965333,31587.0
-242529.8014226886,49830.0
-220820.46199058933,72973.0
-161981.50916996022,128439.0
-272468.4699383111,23331.0
-45841.93627849629,256041.0
-42409.11641570716,263543.0
Objective Value, Total Weight
-287734.9520601598,3993.0
64979.45535107097,446687.0
30314.225504462374,391381.0
17282.95772786095,346063.0
-135674.88159759517,152377.0
-246940.79065453686,46223.0
-118775.61470153503,174098.0
-206267.24431022443,84673.0
-215039.0643067094,74255.0
50810.181318303745,414583.0
-97606.07556005381,198270.0
-174312.62612967566,113399.0
4018.425619512389,320975.0
-162657.06204999232,127277.0
-263472.45124010456,28965.0
-54558.53961775568,247190.0
-26661.127577854902,281776.0
-7375.2922359263175,302709.0
59441.975237120525,436167.0
-74015.86800221034,233801.0
Objective Value, Total Weight
-287850.45264492225,3775.0
63764.03001763258,444362.0
-86270.35857410199,214351.0
23908.80844271934,356235.0
-53299.15562790318,247602.0
2510.8130563173327,327337.0
-143783.7087225865,160255.0
51754.998610983544,409989.0
-9405.624175257166,303232.0
-30797.995075164305,280060.0
34155.077912782435,388237.0
-122683.77604707383,173242.0
-101118.63424971636,194145.0
-244036.4837898967,48160.0
-44924.567876015324,258953.0
-164722.8287090775,131337.0
-224753.77930231986,69504.0
-165839.85422617313,127859.0
-188837.06806546345,108973.0
-208264.00489510584,84061.0
Objective Value, Total Weight
-287313.0749632083,4727.0
62428.26654305193,448894.0
-220919.8100434612,75912.0
-26236.80866479309,290303.0
-198901.92731231434,98179.0
-6911.0167501166,319516.0
-108328.96832576877,184465.0
-72435.4693140958,227270.0
37480.18496045552,406040.0
-251810.30748101656,42104.0
-135176.27873478446,159786.0
45070.09027192107,426057.0
-44030.71433525556,266989.0
-92214.42913369887,204247.0
3044.2764179664664,336825.0
-142458.53103979887,150994.0
-180075.89790519467,113845.0
27738.567556775408,370128.0
-161541.16534302454,129526.0
-271225.1376386167,21367.0
Objective Value, Total Weight
-286307.6571959599,5617.0
61640.24473015702,429022.0
-81941.35354249168,215199.0
-116071.16176975326,179294.0
33389.30602797773,377600.0
-188543.09780061082,103290.0
-251699.87349749362,43031.0
47153.22086414503,406807.0
-7697.289786773967,308628.0
-62274.20564155793,243613.0
12987.062443154748,341848.0
-222367.22059083084,70575.0
-210243.96556037327,82694.0
-25270.62625609635,282824.0
-132275.5824062592,163324.0
-161939.81388204423,130077.0
1535.2829823966604,323243.0
-144072.2707744987,151311.0
-34298.667185553175,273858.0
-267453.5074834114,25211.0
Objective Value, Total Weight
-287852.383970809,4275.0
57587.14958709525,440525.0
-200270.49783059134,94739.0
14542.84647156333,355850.0
27917.204876532895,388872.0
-225540.3682589954,67680.0
48655.16587540344,414376.0
-87385.23920152703,216415.0
-149560.69758102542,148463.0
-1200.2843258728972,317965.0
-178002.34569594037,119893.0
-270092.9477413132,22549.0
-19848.282411086955,291754.0
-71775.2997330334,238482.0
-106632.10795197025,194359.0
-170584.58563460514,128169.0
-9970.616625656374,306421.0
-241204.8948504015,53285.0
-63124.53993658966,254123.0
-35625.956328174216,270148.0
Objective Value, Total Weight
-285941.2555031312,5895.0
64089.86703832727,441894.0
24659.922929651686,363585.0
-37422.64333265094,267909.0
6286.141140299209,331173.0
-92386.11289830954,204909.0
-197096.20462671388,94717.0
-187050.4022671791,106616.0
42312.05510157219,403840.0
-231846.66505854245,61641.0
-66969.47589961579,234273.0
-112930.27524863445,178141.0
-13954.663901091262,304305.0
-126463.34940877906,165323.0
-155966.7289934368,132855.0
-22890.383124692773,286886.0
49566.855283067096,419751.0
-148691.58415262093,144144.0
-73263.88448766974,229697.0
-235216.04865665967,57151.0
Objective Value, Total Weight
-285751.09136544704,5777.0
66913.16179216985,455186.0
-214309.67848764622,76600.0
-172293.7992089718,115877.0
-125973.01220556034,164642.0
-264944.452567068,30420.0
-16467.613407530473,286984.0
-189269.95749226824,100001.0
46105.74287690513,399397.0
57850.911525895935,434204.0
-114415.53433181043,175517.0
-41573.92526359524,254770.0
-92075.16601132392,201216.0
36784.440369808,372081.0
-8558.024249090697,309213.0
-82852.2506005211,210351.0
5050.112389988208,320272.0
10257.214701309858,341841.0
-46114.23318976443,248480.0
-65303.50311800977,226721.0
Objective Value, Total Weight
-286760.6240243153,5315.0
64400.00596983312,440131.0
-251764.08440186526,43877.0
-33536.032795629406,271191.0
41489.88948483142,415682.0
-91039.51367869833,207782.0
-174680.37523943355,122423.0
-275161.89828802267,15884.0
-116514.47332374507,175894.0
-13470.195832488942,308668.0
-143409.14375986496,153987.0
12916.991977213125,331970.0
-60280.47389905638,250805.0
-71127.36097278324,233319.0
-108153.16167624638,189038.0
-18573.202589731314,295013.0
19048.903235894453,351033.0
30895.403324536164,385137.0
-152836.04649995774,138839.0
-228890.7299052804,62224.0
Objective Value, Total Weight
-287998.2174133929,4430.0
62670.75818636955,432817.0
-65828.08090784895,239830.0
-113589.60712051758,188195.0
-137460.59501907212,159294.0
36025.51213669637,378066.0
18812.380883243168,350013.0
45396.217583474645,410148.0
-188965.94105531968,109732.0
-229207.87029930291,67310.0
-245703.49555353075,46638.0
-167747.09992722218,135434.0
-38360.65261995705,269116.0
-90693.34364251298,206223.0
-82458.70983770752,218084.0
-5206.924794534512,322306.0
-157087.49973743147,140326.0
-19840.930356502766,294333.0
7228.130313136382,323429.0
-263152.5874133111,30228.0
