Objective Value, Total Weight
-34274.61183994351,270466.0
32244.103185066895,357997.0
54058.310805760266,390211.0
62074.72936209,403171.0
3306.240513630386,320164.0
-6630.206465399067,302230.0
16872.614088228787,332119.0
45621.900490218366,364497.0
26234.509199377382,340983.0
70264.84488502104,413111.0
-94671.35311846208,205722.0
72049.08764778427,432832.0
-59141.81126980734,240207.0
-103315.0808724296,195249.0
-25377.84091163287,284674.0
-45494.31049451139,256969.0
50858.47533641686,379289.0
-78241.51035853475,225427.0
-116057.75899546646,180636.0
80166.65429948329,451376.0
Objective Value, Total Weight
57443.545824506145,393996.0
62817.702739523724,405395.0
29367.71400511783,345563.0
-93190.69777449773,205667.0
35899.60604734026,359316.0
-16348.840910616796,293067.0
-25805.31300454453,275114.0
42846.42615381139,370053.0
-5053.350133283995,301836.0
-51681.94563941215,241757.0
52589.029386816546,382989.0
18893.8733229388,330316.0
-47979.711129573814,252251.0
-75924.1723992955,225836.0
-63796.46617212397,233566.0
-38307.36263274867,262006.0
3759.798385049042,310868.0
70928.12467693753,415503.0
77227.55049167771,438080.0
-103056.37874603766,189483.0
Objective Value, Total Weight
-9060.915996562166,297705.0
-15563.068699657568,286448.0
29365.699305754388,355453.0
49855.70117018063,378138.0
25147.230213133385,342103.0
34489.16829648666,365914.0
-27070.410106734314,279589.0
-40213.69756543083,264336.0
1172.75113475346,310232.0
-88857.41515560745,211753.0
-57439.20635160385,238404.0
44187.55754386826,366320.0
-49007.158709207084,250732.0
-76211.23711126437,225820.0
13836.355538726377,322916.0
-96457.04475939868,199707.0
60671.08680784737,395084.0
23117.11547434557,332439.0
70295.85093554982,412907.0
75758.23158102197,428217.0
Objective Value, Total Weight
53726.589389479836,392744.0
-30441.820040873776,274086.0
-4149.459240601631,308052.0
35456.02166201343,360563.0
-51683.095489709754,252156.0
41946.767926566594,371244.0
-15693.121367956628,293040.0
-22899.975616237207,280619.0
-58668.59764946584,240745.0
20452.464019864332,341149.0
-39177.858358306694,265713.0
28273.52865132317,353872.0
12204.047489602526,321498.0
-70784.68582809612,229443.0
-82800.10032993968,213742.0
50189.350462605886,376303.0
71752.13286570838,420826.0
66007.17899728206,404160.0
-97702.27142340987,196163.0
78596.21375915234,443311.0
Objective Value, Total Weight
-87479.86159231246,209849.0
1170.8872054673266,305447.0
32757.968872277008,348038.0
47455.56808603543,373307.0
-68246.73360479658,232375.0
-43034.679618470895,255169.0
-75669.94902919815,221835.0
-30098.507107530255,269192.0
39117.777265541896,361255.0
27696.607879165676,340191.0
61872.913708002074,413332.0
-95348.85568928259,199562.0
20284.57220614131,328286.0
7725.1773360045045,319396.0
-52222.6880637125,242900.0
-4799.465616537607,291648.0
-17507.790200423973,280798.0
59020.514680777036,392160.0
76329.30572080478,432529.0
-107845.28662616754,188243.0
Objective Value, Total Weight
-65859.04822134826,231612.0
-73469.14328441065,222040.0
11723.494147230289,327174.0
-1177.0831804744666,303796.0
-58313.87883053819,243436.0
8582.926729115541,312431.0
-13645.692875547044,292974.0
-31472.88636873348,271427.0
37071.49932906672,350714.0
-21345.127777685353,282406.0
-38844.28518594481,256697.0
43929.49800759839,366573.0
-80302.8028273324,209847.0
60853.93927797751,394025.0
53206.93098461162,378458.0
26975.360974505893,338873.0
73087.99253448914,427214.0
68865.9675506978,408062.0
79408.44984230341,449590.0
-100647.14990818594,191807.0
Objective Value, Total Weight
26562.89674816653,341012.0
6992.623256709019,318886.0
11567.654602208291,327134.0
-28509.15081076423,271787.0
-6632.403997673653,295294.0
-22053.55236127245,291159.0
34482.909014132514,354077.0
-1004.9780123230885,310290.0
62229.006139609206,405010.0
47437.82642329071,374457.0
-59711.08542256488,242807.0
69372.807854479,421303.0
-66866.4918107671,227668.0
60197.00902995083,384317.0
-48075.833109588246,248851.0
-40567.02318508009,258947.0
44655.71404361108,359620.0
-79590.29897627386,216728.0
78814.75342601858,438845.0
-90343.10820116976,203106.0
Objective Value, Total Weight
-11384.319340408605,296103.0
59384.09953188052,389524.0
-4946.22104907874,309264.0
25195.242759362503,342898.0
4130.93746235728,320889.0
-84544.05573735188,217745.0
42051.53430266149,366767.0
-72189.66930155014,235029.0
33427.374235450465,356707.0
-19062.21790139028,282011.0
50395.58980459883,375999.0
-60550.993009487225,244632.0
-49717.201918147795,249688.0
-31837.82181083859,272664.0
-43147.364124413405,265422.0
21238.468417080585,330730.0
66582.90366411128,403522.0
71017.58333840687,418145.0
78153.31087894383,438226.0
-97745.01692700817,200228.0
Objective Value, Total Weight
