Objective Value, Total Weight
-8473.527306426258,280835.0
26754.909678096068,323916.0
-1139.1753380779992,291711.0
7739.640619099897,300246.0
19284.790515153203,316675.0
35456.130725365016,339896.0
-16794.55094566103,270771.0
59730.66734527686,387270.0
-22186.039814438845,264870.0
64512.024934711866,401033.0
49014.47961553751,358076.0
56741.29282134405,376786.0
41978.22802977497,346220.0
14599.712458384864,308933.0
52663.20959154423,369292.0
66086.81120707997,413110.0
-31525.444563014025,253074.0
-39592.83686906297,244388.0
-50388.235651693714,234503.0
-61466.42976824206,223127.0
Objective Value, Total Weight
42796.10427372123,351752.0
32270.521978781733,336192.0
28955.56514711317,329654.0
-15147.58189735061,274493.0
37868.19353381498,346734.0
-21239.95663213922,265612.0
10581.037178928556,303786.0
22352.48449103802,322192.0
4511.737475333444,294842.0
-27515.853289391496,257695.0
-4384.153512084275,291261.0
63557.903747696604,401526.0
-5850.3100653690635,282977.0
17198.524712608894,312429.0
50773.59383051586,370376.0
46888.278867629124,361819.0
-40522.1418114659,246041.0
59806.494628911605,389491.0
56143.1490907807,377998.0
-48986.801669453096,235091.0
Objective Value, Total Weight
-2578.54603996058,283506.0
47860.37453611253,348683.0
21036.64839521289,313410.0
-18131.36267233081,266703.0
14614.56562009058,307195.0
5435.890512372542,289309.0
-24109.463462012005,260238.0
-10206.006220946438,275225.0
-38132.794520274154,244673.0
30088.241506331542,327799.0
39498.061326530005,337830.0
64442.34754811769,388836.0
59712.274312313704,373311.0
-45730.99728351174,237306.0
-30920.197197303176,252340.0
27078.201588007447,318339.0
54484.783076701046,365074.0
8712.777122691972,294729.0
-55709.34393227857,226488.0
67433.50423946773,396922.0
Objective Value, Total Weight
36513.8501704082,350106.0
-17782.092126280826,276078.0
-25021.38303499372,268628.0
14994.748266735522,316840.0
41371.25435568573,358046.0
5573.626766858448,306009.0
48637.91021750175,370824.0
53689.69240807707,379516.0
29252.96628883283,335001.0
-8819.54249476816,286041.0
18246.534909545444,324397.0
-2312.970306511561,294282.0
24641.760351226607,328991.0
-29947.97087971086,260578.0
57444.93539397739,386121.0
35322.846553103416,343152.0
-39765.82549571374,249048.0
61654.76433825708,393799.0
64782.682117586606,407684.0
-46645.42209397454,241694.0
Objective Value, Total Weight
57555.95930134639,374417.0
48022.03903029038,362056.0
-25229.829203511064,262061.0
-7644.934883041482,281618.0
-21732.627881026536,270542.0
-32835.01241276588,254767.0
37477.45998363645,341865.0
33178.958990319574,334041.0
-13340.798803502577,274689.0
19255.546407400398,315300.0
26360.496031977178,326589.0
-923.5753635108122,290441.0
44063.66497906047,350328.0
10860.510720850027,305399.0
-47770.422637109936,240226.0
5238.309015664912,297473.0
63926.13499896723,392624.0
-39568.286889366456,247467.0
68182.06222903216,406138.0
-57484.60504834133,230624.0
Objective Value, Total Weight
46753.48407791054,359578.0
-110.09963828901527,291616.0
25288.051842985384,327642.0
-6788.699132122041,281634.0
22157.718808123667,319965.0
-17502.234863455757,271218.0
32804.98170373496,334170.0
41476.70359906694,352631.0
36375.466927555506,343958.0
-24033.241108263668,262312.0
15126.31844035245,312453.0
7988.916048334097,302049.0
63467.926705947204,395630.0
-34179.320305697445,250999.0
53082.76991828362,369648.0
-40185.68691111152,243356.0
-47973.90151249309,235340.0
58061.654099059,381388.0
67284.84567239025,405577.0
-56243.270805726934,226998.0
Objective Value, Total Weight
-34618.6021534052,248454.0
4707.212485714117,293989.0
-57261.188834055094,225677.0
-5384.9758732217015,285383.0
39199.294369519164,341694.0
35588.48539974756,333814.0
14034.689784705639,310455.0
-42486.01405910909,239711.0
-10315.812925577338,277711.0
51439.71312386461,362255.0
57398.24003524339,370625.0
29083.165237647772,326007.0
24338.248420977907,320096.0
-19491.910078276705,268012.0
-24971.29144211259,258737.0
-62795.6110946532,220257.0
44672.3751925496,350298.0
63083.00640630757,383838.0
-51572.23595374107,231025.0
66810.27032161067,396779.0
Objective Value, Total Weight
-54397.50709928968,230301.0
-46869.784370480396,238099.0
228.9488782234257,294339.0
7518.02419679641,307031.0
49411.69821274141,361545.0
-31204.66040607111,255630.0
-5933.396424340259,285936.0
29498.274093979388,336773.0
29477.241331412457,328319.0
-15278.48169440258,275343.0
-69500.80157007836,216729.0
-26360.957743513864,265284.0
37162.14561077661,342150.0
-40115.264785421314,245570.0
44435.6508710052,351230.0
-60734.77380939043,224253.0
19595.72950733651,316742.0
59602.978947091906,384018.0
64721.24347613222,395340.0
55066.991558326525,373545.0
Objective Value, Total Weight
20459.285335406254,323436.0
6254.313476141309,305628.0
57731.38161074603,387841.0
15241.287946580152,314743.0
-1780.3805372430943,292799.0
35805.029648960626,343804.0
-27027.470272238425,262682.0
26018.945910711773,328496.0
29759.351257039583,337885.0
-42704.25269432546,246615.0
-10089.310584193328,282970.0
-17369.588809369132,274489.0
42388.547967071645,353594.0
53587.029395347636,376329.0
47746.198776183184,364713.0
-52403.02570542047,236253.0
-61438.77055666997,226764.0
61978.11929326062,399724.0
-34940.68121159554,253472.0
64855.02722244698,409136.0
Objective Value, Total Weight
-23167.582508277614,268824.0
34445.74488876556,343962.0
40784.83221619722,351880.0
25898.96818325395,334959.0
-44759.478929081815,246561.0
17488.13513467851,315566.0
58423.80020123272,391876.0
-50138.11614093481,241250.0
54705.781091496,376033.0
-2738.0387333260733,288661.0
-16635.36999250151,275131.0
-37957.427938393375,253419.0
9870.100276333978,309119.0
-10147.865267856687,282843.0
48783.35325237928,365416.0
21359.024791306874,322069.0
2892.725323116523,297597.0
-31714.481645399414,259439.0
-56553.44973218383,233987.0
65005.91858068807,405324.0
