Objective Value, Total Weight
41240.89393332554,490193.0
50270.18715056451,502955.0
34117.85480082175,479755.0
24558.9630434704,467980.0
39051.54930083454,487394.0
31752.609060766874,477357.0
52511.717729033204,505854.0
21476.62812978786,464610.0
36237.188393361284,483939.0
48444.52590285952,500180.0
44231.5236955689,493962.0
54776.65924814227,509834.0
28430.04922696133,474184.0
43224.80165849195,492356.0
26235.549201053567,471211.0
46327.243607985554,496998.0
37940.36953033798,485782.0
32757.325431527337,478345.0
23339.183961351868,466630.0
16322.48603244638,462179.0
Objective Value, Total Weight
46639.932228169986,499134.0
37858.61503861344,484276.0
32976.07952033251,477299.0
44108.572774570435,495486.0
46023.39952487394,498134.0
20912.97997556755,463118.0
42825.82181525102,493544.0
22881.38887370762,465553.0
29831.07836858614,472392.0
27357.69766415516,470907.0
30527.76724310359,473055.0
35896.634087584796,481544.0
31383.66582619748,474535.0
41517.872026943136,489970.0
39790.06852985162,487639.0
18569.803125797072,460320.0
34095.129665998975,478686.0
24323.269383683917,467535.0
16046.487183972844,458026.0
13080.729345337488,454721.0
Objective Value, Total Weight
53047.48800539109,501070.0
48878.719563836,493882.0
61540.214737975504,517105.0
55635.0629744184,506241.0
34777.57247848378,472031.0
32562.838939268608,469141.0
59388.00872023695,513179.0
27824.178872841527,463306.0
63249.695773895946,520877.0
26878.154742838116,462112.0
54279.810500329826,503220.0
44697.684581479756,485855.0
51087.930425963365,497133.0
45540.581115239416,487427.0
58168.360711268266,511164.0
38334.1469469578,477281.0
37228.55751635495,475774.0
41569.22242002154,482157.0
24155.43855768966,458973.0
19838.096044800477,454020.0
Objective Value, Total Weight
34265.952083507786,477327.0
45729.845464730985,493526.0
37211.04273675103,481703.0
46535.28759695706,494634.0
38978.9886904147,483819.0
27546.08375245845,468690.0
23231.91606324748,464084.0
40717.62666753016,486305.0
30477.48397868953,472613.0
35709.487486102036,478599.0
48829.315044012736,500678.0
42707.86457798269,489580.0
28789.81812415633,470366.0
49860.563251200016,502042.0
51924.13866463385,508546.0
32466.32827294129,475124.0
19734.491174889496,461466.0
25176.27137992787,466224.0
44018.81720347772,491324.0
16531.713096931577,457978.0
Objective Value, Total Weight
1168.9324908310082,431984.0
11946.05978450505,446140.0
126.66010163130704,430564.0
-11792.891812385758,415141.0
-21308.157436241745,404566.0
-10071.687208966585,416891.0
22278.949921382824,459621.0
9556.54459877545,442230.0
6282.8646334355,438750.0
14980.428717775387,450383.0
8268.851753602852,440508.0
18107.748001451022,454353.0
-3002.2065289841266,425673.0
-14743.89488796593,411174.0
-19543.030775935855,406954.0
24533.846413583728,463469.0
-23202.618432953197,403090.0
3475.069374313345,434732.0
-6623.720813292195,421348.0
-30864.58303287957,398847.0
Objective Value, Total Weight
32236.188220958575,475690.0
27777.82540726324,469087.0
9456.670210692682,445409.0
30336.85073834262,473437.0
25942.678701674566,466180.0
16260.664366441197,452745.0
13221.838203195017,449558.0
11038.240193620208,447251.0
24081.37750673946,463978.0
17694.451466845116,454849.0
6141.94226527086,440434.0
14520.054076917702,451011.0
3516.4002650200855,438372.0
22649.5788225882,461615.0
-320.60110197158065,433196.0
7029.669109345763,441422.0
2355.261357787531,436106.0
20569.606794813764,458162.0
-6059.299867084832,426588.0
-2870.828366377158,430092.0
Objective Value, Total Weight
37540.8929544749,482636.0
43046.59992291767,489744.0
45694.37387614173,493522.0
55659.966948084766,509687.0
50034.25373498467,499743.0
44105.04185642593,491506.0
51415.45787390496,501620.0
47470.04709998309,496221.0
52854.682538713794,504203.0
60651.343881470384,516380.0
54645.46503036376,507656.0
31716.49082296621,475107.0
36350.03023649787,481488.0
39064.00999489182,484742.0
57926.111533525866,513117.0
27867.765962695703,470956.0
39987.75584591227,486601.0
29906.14908776118,473239.0
33790.723205406684,478357.0
21962.505596832372,465887.0
Objective Value, Total Weight
33708.48365879571,477939.0
21444.24681745062,463764.0
44921.89961091732,494315.0
26784.4541583322,469600.0
39994.41690679453,485990.0
47045.94901691878,497920.0
49670.740855669836,502135.0
35787.62014580588,480858.0
31892.154036257998,475075.0
56996.04420595069,517408.0
38801.243011190905,483874.0
53542.74145539652,510176.0
50974.61535436334,505603.0
42964.07806009392,490835.0
55767.977152211475,514416.0
24369.18275946402,467010.0
28800.143677153857,471797.0
16886.075923537137,458302.0
18655.017952128546,460176.0
14741.780018603662,455294.0
Objective Value, Total Weight
55195.27181795635,509883.0
57027.921643423964,512643.0
48329.53354039427,499529.0
30660.68829584075,476777.0
43820.239135756856,493245.0
45901.23416765244,496161.0
28524.680418733973,473878.0
53907.39653207967,507883.0
38980.99351055967,486533.0
52200.4940768471,505465.0
42215.73314636946,491176.0
40518.005635530106,488727.0
36376.33743631316,483605.0
47582.97807674587,498687.0
37534.283421231085,484831.0
33056.07750010246,479549.0
26701.702237735968,471848.0
24545.89040196815,468663.0
50271.07306559605,502809.0
22418.58823602309,465215.0
Objective Value, Total Weight
23136.721467232448,463639.0
50381.532590022194,499645.0
23755.692612570943,464127.0
42204.9097109423,486688.0
43733.62091153092,488576.0
38122.25965990871,480603.0
35303.21955571056,477095.0
52498.41229424509,501446.0
32273.36358239758,472806.0
44132.95876643667,489294.0
47886.16631367465,495256.0
29790.864836873836,470372.0
27073.411811719416,467988.0
46162.92230776814,492986.0
37594.98839049018,480026.0
39503.90074137284,482805.0
34648.2630802542,476186.0
33207.077240406885,474238.0
48651.644468501676,496444.0
20811.36094659951,461583.0
