Objective Value, Total Weight
46980.20914029761,471440.0
37834.80244431563,458985.0
49394.03966373729,474300.0
51568.19760163862,477066.0
59623.75377835042,488952.0
54134.12219807191,480642.0
44779.59169192333,468292.0
72065.99986222014,509008.0
67409.18802705454,501180.0
36375.28067141725,457177.0
69110.87151495414,504003.0
56058.145200808765,483622.0
58327.52898154198,486972.0
63644.39084971312,495059.0
65440.234185456065,498086.0
39861.670187875745,461835.0
42641.700128669734,465481.0
62090.742413725005,492555.0
29023.871358341887,447951.0
32677.538195932168,452671.0
Objective Value, Total Weight
34751.83471974975,455738.0
22916.88618845737,441621.0
58455.93585409166,488507.0
43612.905628298526,466846.0
27239.428163026576,445961.0
45697.20416691317,469644.0
65500.99170712242,500988.0
37957.13818748121,459498.0
52131.02913466806,478326.0
67202.57088016253,506761.0
47191.0569698615,471742.0
56179.21945013944,484494.0
40730.18697785272,463098.0
63371.9025353709,496384.0
60432.153530629585,491341.0
49663.880474194884,475305.0
54033.29886873765,481553.0
19466.246183394338,437530.0
30341.801743377466,449947.0
33124.70262098475,453312.0
Objective Value, Total Weight
48818.70515494351,476464.0
65068.30085252621,501008.0
63557.66708969639,498470.0
69687.13606753759,509080.0
59460.901326586376,491887.0
61490.39454339584,495402.0
67364.14312576514,504853.0
41361.596628077794,466565.0
45082.186708005494,471231.0
42573.351384768146,468126.0
71605.62383449101,512188.0
47390.7845893224,474275.0
57876.90744668152,489291.0
51394.274745228235,479829.0
38894.31078622828,463575.0
52699.21671925008,481603.0
35532.050049524754,459471.0
56648.43478576059,487396.0
54820.29659903399,484710.0
33206.04967089265,456971.0
Objective Value, Total Weight
69065.0658881194,507831.0
45926.398896995466,470901.0
62191.260905312956,495677.0
54149.32038419985,483095.0
65015.34086536546,500498.0
51130.560546119,478248.0
42768.25844666909,466779.0
37050.91930423048,459555.0
60996.675541706034,493673.0
58613.89957827446,490105.0
56138.16054616729,486178.0
71744.4787997629,512198.0
75246.71830910724,518905.0
67273.92069084372,504392.0
48429.56882191333,474231.0
35987.909601665335,458035.0
39952.14105074725,463303.0
31846.303821953014,453054.0
28389.466626999667,448812.0
23798.68213594088,443048.0
Objective Value, Total Weight
95013.65101063985,549323.0
92405.62264289777,543548.0
69030.52643068798,502279.0
60530.8765813529,489915.0
79518.35798111395,518883.0
96916.19556665281,553281.0
88197.73858340643,535232.0
70749.10538873286,504800.0
83346.32715083426,525920.0
72798.56947431539,507908.0
77482.32706901047,515542.0
75889.47531792696,512636.0
90876.9909489213,540314.0
61841.69982364017,492131.0
64835.958225977956,496294.0
85919.83460481302,530648.0
81320.67088613636,522008.0
66090.36169942853,498412.0
57068.96060997981,486140.0
52000.69502904301,479752.0
Objective Value, Total Weight
39977.90862788365,464448.0
82500.50269259105,528746.0
48459.109665221884,475685.0
76938.84958178212,518601.0
66884.72767652129,501272.0
74246.25072004122,514047.0
85251.12591524795,533493.0
53751.016540580196,482340.0
70430.04279025027,507119.0
79966.58724807901,523695.0
67949.23679931962,502774.0
45476.34024167608,471554.0
59197.38953828695,489772.0
51158.85797746817,478823.0
61858.37050955754,493691.0
72873.65970962739,511148.0
64143.26130661159,497042.0
56547.61451386369,486088.0
42298.406437759986,467345.0
35415.14055078605,460469.0
Objective Value, Total Weight
15214.65231964289,429846.0
52076.10539505421,478523.0
26940.99650897726,444067.0
29901.399732557824,447815.0
55137.973895924515,483475.0
41082.38825727836,462600.0
37873.86482074519,458473.0
58620.443634329014,489704.0
32910.412817185395,451764.0
60450.92925020435,492272.0
46316.121177888825,469933.0
18942.545637738833,434469.0
48643.68147806625,473503.0
43375.45845234371,465601.0
11975.448359479837,426123.0
34897.42579613312,454480.0
3039.118144040345,416448.0
7316.073771398747,420528.0
23193.626644861943,439796.0
-1048.0791783327586,411801.0
Objective Value, Total Weight
47455.00956316665,472700.0
66336.96204094775,499048.0
70534.83125390252,506034.0
62107.82544500497,492705.0
81038.41027880891,524220.0
74342.70712782722,512389.0
83220.38244901702,528174.0
68113.22788541613,502090.0
50779.07800140756,476776.0
76754.4569065267,516732.0
85296.97765687318,532292.0
72967.83508637222,510182.0
54557.58147373982,481736.0
44966.07647366915,469154.0
59557.04721338581,489398.0
64562.012305467855,496576.0
78585.82565812184,519635.0
57463.556225707405,486039.0
52961.47376201814,479478.0
40398.34083571867,463424.0
Objective Value, Total Weight
52989.65864916891,481176.0
67847.3305932954,504005.0
51787.78663511237,479908.0
70616.49841643381,508563.0
54987.1308974931,483741.0
59177.723246132606,490105.0
36927.11717542866,459482.0
57336.31688690884,487295.0
48090.6848884261,474264.0
61733.522833522526,493672.0
39066.95432705316,462281.0
50180.23081777606,477063.0
32570.134057582356,454597.0
27303.210040321108,448637.0
43546.352028022986,468169.0
66126.97224194906,500492.0
63982.158881215495,497037.0
45239.43837323843,470516.0
40813.12549374462,464536.0
34507.974857304944,456523.0
Objective Value, Total Weight
70664.5325897974,510922.0
63718.40666217124,499393.0
61614.69334935432,496469.0
64784.61086396,500895.0
75351.50610032806,519342.0
67204.7263860734,504812.0
45376.96219969494,474256.0
68206.52805001743,506504.0
81358.94440670602,531270.0
53277.31606283912,484263.0
79758.93737501837,527588.0
77194.63402369095,522665.0
50705.46121070429,480851.0
73610.34073328075,515985.0
84333.4403594971,538175.0
40863.89973399916,469131.0
55966.48479537084,487747.0
58070.78112364432,490987.0
48169.362060806714,477320.0
60323.97763833264,494307.0
