Objective Value, Total Weight
-208.2393428716423,3320.0
244.31351574658493,3720.0
-1167.440798147025,2564.0
1478.603429150733,4848.0
-208.2393428716423,3320.0
238.9761047822658,3670.0
2156.7316589967186,5597.0
-1178.1080076861244,2553.0
-1440.6579121097502,2325.0
73.60985878096017,3531.0
930.3931167214059,4297.0
498.64237138261433,3870.0
-2008.5214805114147,1914.0
1309.027203190618,4604.0
-2602.8003511920297,1492.0
-1730.346101793465,2114.0
-533.8112083524074,3046.0
-3229.8637445368986,1088.0
613.3719897652454,3970.0
-890.1228170972718,2764.0
Objective Value, Total Weight
1790.5052324786848,5133.0
-890.1228170972718,2764.0
1106.5771409954887,4527.0
3665.4220754897706,7402.0
337.50440515646915,3731.0
1006.850236620573,4320.0
2336.173308522544,5643.0
-2555.117672042513,1568.0
1647.4915911862936,4994.0
2862.567132300065,6162.0
-1775.5050138952538,2101.0
-1440.6579121097502,2325.0
337.50440515646915,3731.0
-1167.440798147025,2564.0
-2777.585923377005,1369.0
-92.12290086446501,3408.0
3556.6883646205024,7375.0
-2182.430719406303,1791.0
-636.5942869818009,2969.0
-3409.0797411740386,965.0
Objective Value, Total Weight
1657.1086048086054,5058.0
2283.6490548606134,5843.0
1504.2498162915936,4828.0
2920.4912783299424,7497.0
-375.1110494368404,3197.0
-686.0175131115966,2975.0
-2182.430719406303,1791.0
-106.05315641607285,3397.0
-2495.4445833064465,1569.0
2675.0290172095483,6714.0
1240.2673233949126,4617.0
2283.6490548606134,5843.0
-890.1228170972718,2764.0
-1178.1080076861244,2553.0
-1901.7363375777477,1991.0
427.83034012514327,3860.0
724.0724795529686,4131.0
175.0471772253186,3608.0
-1611.3369222315814,2202.0
-3409.0797411740386,965.0
Objective Value, Total Weight
2467.4343227895743,5712.0
963.2958454288428,4297.0
1801.1926580184127,5173.0
1403.5335243229802,4685.0
-2728.6165509109605,1465.0
175.0471772253186,3608.0
-804.3730099947588,2846.0
3611.107979740731,7208.0
737.2260906622741,4096.0
1403.5335243229802,4685.0
-92.12290086446501,3408.0
-3409.0797411740386,965.0
3172.1258768153375,6517.0
-1090.59891418576,2635.0
-2182.430719406303,1791.0
-2777.585923377005,1369.0
-1440.6579121097502,2325.0
-533.8112083524074,3046.0
2467.4343227895743,5712.0
-1901.7363375777477,1991.0
Objective Value, Total Weight
2724.377089031934,7116.0
1988.8613644887973,6101.0
737.5992698077516,4142.0
2724.377089031934,7116.0
983.0288868691741,4586.0
235.61358769419348,3713.0
768.0640363338271,4258.0
1671.3846611533654,5421.0
1529.110952125713,5282.0
336.8427829570628,3774.0
-92.12290086446501,3408.0
-995.5739260881292,2687.0
-636.5942869818009,2969.0
-1717.6948079947888,2125.0
-1167.440798147025,2564.0
-2182.430719406303,1791.0
-1440.6579121097502,2325.0
-369.09277207551804,3169.0
-2602.8003511920297,1492.0
Objective Value, Total Weight
-2944.7608180731377,1268.0
1145.0574177779108,4498.0
829.7385266039046,4193.0
-1198.8170672460574,2565.0
2123.0856950837533,5413.0
712.6334001970436,4093.0
2488.084640494064,5813.0
2018.4792209011794,5313.0
1534.8127467262211,4926.0
181.30016239924407,3630.0
2982.8274789851903,6283.0
-527.164073582826,3068.0
-3277.6569910336457,1066.0
-1893.921538748451,2013.0
-2310.3671205246683,1703.0
-3918.4331490503737,662.0
-2777.585923377005,1369.0
-1440.6579121097502,2325.0
