Objective Value, Total Weight
57.66185962392228,3520.0
3086.3157902056446,6244.0
-720.9578294244402,2887.0
2073.2506002865484,5271.0
4205.156591202687,7603.0
2472.5994518893694,5649.0
3464.208854651236,6632.0
3952.407875775105,7257.0
867.626858452104,4194.0
498.64237138261433,3870.0
-1008.0981542406316,2676.0
1140.3368433601654,4433.0
-369.09277207551804,3169.0
-2426.6021679744526,1631.0
-1833.3662931586532,2053.0
-2931.9556919982897,1290.0
-3565.711219810036,886.0
2735.0695027920247,5898.0
1532.9980681512106,4783.0
-1440.6579121097502,2325.0
Objective Value, Total Weight
1532.9980681512106,4783.0
-250.16081252766799,3269.0
3937.2890770744643,7263.0
4050.084217047127,7364.0
3086.3157902056446,6244.0
845.2803094286883,4197.0
1123.06698787399,4420.0
-1316.6396772534272,2425.0
3528.5491168855633,6730.0
175.0471772253186,3608.0
2320.8126062881383,5510.0
-598.2335544712305,2987.0
1647.6984723586438,4883.0
2721.5734456959435,5910.0
1967.6450024424857,5239.0
454.48980555786784,3831.0
-1901.7363375777477,1991.0
-890.1228170972718,2764.0
-3229.8637445368986,1088.0
-2602.8003511920297,1492.0
Objective Value, Total Weight
1937.7244222560948,5199.0
337.50440515646915,3731.0
1026.9815257770651,4333.0
1591.0495242741117,4931.0
-369.09277207551804,3169.0
1413.533002621496,4682.0
-1603.6466929336775,2224.0
3017.243712511574,6203.0
2735.0695027920247,5898.0
2208.5449790561834,5410.0
867.626858452104,4194.0
613.3719897652454,3970.0
73.60985878096017,3531.0
-1008.0981542406316,2676.0
2363.0401216343216,5549.0
-2602.8003511920297,1492.0
-1440.6579121097502,2325.0
-720.9578294244402,2887.0
-2008.5214805114147,1914.0
-3229.8637445368986,1088.0
Objective Value, Total Weight
2972.014799025759,6137.0
3435.249984231905,6630.0
3852.9252859697062,7118.0
-88.39769670703481,3408.0
1532.9980681512106,4783.0
1280.8034735526517,4559.0
1803.1660263683043,5022.0
-720.9578294244402,2887.0
2073.2506002865484,5271.0
-369.09277207551804,3169.0
613.3719897652454,3970.0
2735.0695027920247,5898.0
337.50440515646915,3731.0
2472.5994518893694,5649.0
-1269.6549250999678,2464.0
1006.850236620573,4320.0
-2484.57392293211,1580.0
-1605.7221137835695,2214.0
-2310.3671205246683,1703.0
-2941.4300438651508,1288.0
Objective Value, Total Weight
2305.4667253601674,5520.0
-598.2335544712305,2987.0
3761.620548859779,6998.0
3086.3157902056446,6244.0
-2241.2282478069546,1779.0
4153.014494961624,7587.0
454.48980555786784,3831.0
3433.8321258215974,6610.0
2039.7614181647014,5249.0
-250.16081252766799,3269.0
1123.06698787399,4420.0
1532.9980681512106,4783.0
175.0471772253186,3608.0
2833.518519333824,6021.0
-1906.7759120477376,2003.0
-890.1228170972718,2764.0
-1316.6396772534272,2425.0
824.1835856786483,4171.0
-2474.413000474454,1592.0
-3275.3641119500726,1065.0
Objective Value, Total Weight
3759.895708421751,7098.0
498.64237138261433,3870.0
-1558.4940939150829,2253.0
2686.572593613231,5920.0
-205.22116743170773,3308.0
2836.8516243486065,6059.0
2208.5449790561834,5410.0
-1269.6549250999678,2464.0
898.9103700429632,4236.0
-720.9578294244402,2887.0
1166.907499818959,4459.0
175.0471772253186,3608.0
1532.9980681512106,4783.0
4006.16128373447,7322.0
-2517.8970609508833,1598.0
3125.3652217089966,6283.0
1932.9500705380551,5149.0
-1730.346101793465,2114.0
-3197.406509835473,1144.0
-2182.430719406303,1791.0
Objective Value, Total Weight
1942.2103278982331,5171.0
867.626858452104,4194.0
175.0471772253186,3608.0
1413.533002621496,4682.0
-890.1228170972718,2764.0
3464.208854651236,6632.0
3885.193035548371,7221.0
454.48980555786784,3831.0
2735.0695027920247,5898.0
2177.4311466170884,5371.0
2446.189733113695,5655.0
3086.3157902056446,6244.0
4326.013780118274,7810.0
-250.16081252766799,3269.0
1647.6984723586438,4883.0
-598.2335544712305,2987.0
-1316.6396772534272,2425.0
-1890.9486316270286,2002.0
-2476.0316529466654,1602.0
-3409.0797411740386,965.0
Objective Value, Total Weight
2478.703929875139,5656.0
3308.9892642945306,6594.0
57.66185962392228,3520.0
2764.827687149248,5961.0
1006.850236620573,4320.0
2976.6496882632746,6232.0
1166.907499818959,4459.0
3657.9838570050306,6934.0
1803.1660263683043,5022.0
337.50440515646915,3731.0
613.3719897652454,3970.0
1532.9980681512106,4783.0
2329.0925287035243,5517.0
-2323.1055807053153,1692.0
-1730.346101793465,2114.0
-1440.6579121097502,2325.0
-1008.0981542406316,2676.0
-720.9578294244402,2887.0
-369.09277207551804,3169.0
-3148.354433730302,1166.0
Objective Value, Total Weight
-205.22116743170773,3308.0
337.50440515646915,3731.0
2458.3335421831935,5717.0
874.3738765009011,4273.0
1797.7257566597345,5090.0
-890.1228170972718,2764.0
175.0471772253186,3608.0
-720.9578294244402,2887.0
-1269.6549250999678,2464.0
2176.26450224339,5477.0
-2021.9279345837022,1941.0
-2660.915341670603,1468.0
1187.2156732438434,4497.0
1504.2498162915936,4828.0
498.64237138261433,3870.0
-1611.3369222315814,2202.0
-2777.585923377005,1369.0
-551.7695962250482,3026.0
-2323.1055807053153,1692.0
-3229.8637445368986,1088.0
Objective Value, Total Weight
3922.5537408616437,7835.0
1653.8821065862567,4946.0
-890.1228170972718,2764.0
2837.320415767873,6043.0
1180.2566986822976,4566.0
2208.5449790561834,5410.0
68.99201424886087,3561.0
454.48980555786784,3831.0
1806.1835905243588,5047.0
-2031.674887966301,1903.0
3427.83042077517,7018.0
867.626858452104,4194.0
3086.3157902056446,6244.0
2320.8126062881383,5510.0
-598.2335544712305,2987.0
-250.16081252766799,3269.0
-1316.6396772534272,2425.0
-1611.3369222315814,2202.0
-2323.1055807053153,1692.0
-3437.503072476843,966.0
