Objective Value, Total Weight
1927.7324636298927,5326.0
656.902959087749,4036.0
2981.788890384677,6144.0
3289.802338266536,6591.0
2725.553209239464,5917.0
983.3436888585475,4294.0
867.626858452104,4194.0
2981.788890384677,6144.0
1690.9220301940932,4922.0
-551.7695962250482,3026.0
3607.8866557074725,7215.0
2478.703929875139,5656.0
-1269.6549250999678,2464.0
1532.9980681512106,4783.0
2329.0925287035243,5517.0
337.50440515646915,3731.0
-369.09277207551804,3169.0
-60.55431946804856,3450.0
-1440.6579121097502,2325.0
-1147.4223773978438,2564.0
Objective Value, Total Weight
2735.0695027920247,5898.0
3546.7703343254216,6828.0
337.50440515646915,3731.0
3812.619133391707,7076.0
2988.68649472834,6225.0
1006.850236620573,4320.0
337.50440515646915,3731.0
3812.619133391707,7076.0
2073.2506002865484,5271.0
1532.9980681512106,4783.0
613.3719897652454,3970.0
2735.0695027920247,5898.0
1280.8034735526517,4559.0
1803.1660263683043,5022.0
-1147.4223773978438,2564.0
867.626858452104,4194.0
-1147.4223773978438,2564.0
-88.39769670703481,3408.0
-369.09277207551804,3169.0
-1717.6948079947888,2125.0
Objective Value, Total Weight
3125.3652217089966,6283.0
27.995723371124768,3529.0
2081.279640775174,5288.0
606.066102586632,3994.0
2742.524028127421,5915.0
4155.691752450171,7581.0
4323.868815170248,7827.0
3469.7937705312734,6649.0
1166.907499818959,4459.0
337.50440515646915,3731.0
1532.9980681512106,4783.0
2217.9778327157983,5410.0
867.626858452104,4194.0
-1147.4223773978438,2564.0
1690.9220301940932,4922.0
-720.9578294244402,2887.0
498.64237138261433,3870.0
-369.09277207551804,3169.0
73.60985878096017,3531.0
-2053.8238451965562,1921.0
Objective Value, Total Weight
2177.4311466170884,5371.0
3675.7470891697903,7167.0
3463.1699195585097,7037.0
2835.757587577792,5998.0
2735.0695027920247,5898.0
3099.1101117778962,6303.0
1661.7439180026886,4908.0
1532.9980681512106,4783.0
1143.6438057021032,4458.0
3945.7149569671947,7603.0
2177.4311466170884,5371.0
-250.16081252766799,3269.0
867.626858452104,4194.0
175.0471772253186,3608.0
-1316.6396772534272,2425.0
-890.1228170972718,2764.0
454.48980555786784,3831.0
-598.2335544712305,2987.0
-1611.3369222315814,2202.0
-2347.05589327716,1729.0
Objective Value, Total Weight
4127.138526780551,7584.0
3587.8883449198693,6771.0
2835.757587577792,5998.0
2735.0695027920247,5898.0
2363.0401216343216,5549.0
4017.1088730427327,7357.0
3761.620548859779,6998.0
337.50440515646915,3731.0
3079.623046121461,6264.0
613.3719897652454,3970.0
2073.2506002865484,5271.0
1803.1660263683043,5022.0
1532.9980681512106,4783.0
867.626858452104,4194.0
1280.8034735526517,4559.0
57.66185962392228,3520.0
-884.6521076883773,2776.0
-369.09277207551804,3169.0
-598.2335544712305,2987.0
-1440.6579121097502,2325.0
Objective Value, Total Weight
2731.8651326409617,6406.0
1280.8034735526517,4559.0
3347.1362170524126,6588.0
2450.5378576411813,5671.0
867.626858452104,4194.0
2584.4835860637786,5756.0
1803.1660263683043,5022.0
2437.888443833318,5617.0
-882.6973538625662,2786.0
1647.6984723586438,4883.0
613.3719897652454,3970.0
-14.418449261967908,3489.0
2073.2506002865484,5271.0
1280.8034735526517,4559.0
175.0471772253186,3608.0
983.3436888585475,4294.0
-598.2335544712305,2987.0
-882.6973538625662,2786.0
-250.16081252766799,3269.0
-1440.6579121097502,2325.0
Objective Value, Total Weight
3601.404306071772,7713.0
2208.5449790561834,5410.0
2866.354963402886,6064.0
2969.526785271609,6371.0
2073.2506002865484,5271.0
2501.2139053285373,5698.0
37.40741222552333,3558.0
2073.2506002865484,5271.0
1532.9980681512106,4783.0
3464.208854651236,6632.0
890.367823078438,4219.0
1026.9815257770651,4333.0
1532.9980681512106,4783.0
-369.09277207551804,3169.0
-1717.6948079947888,2125.0
175.0471772253186,3608.0
498.64237138261433,3870.0
-205.22116743170773,3308.0
-720.9578294244402,2887.0
-1316.6396772534272,2425.0
Objective Value, Total Weight
1280.8034735526517,4559.0
2596.0412690468675,5982.0
1961.2331879605263,5186.0
2781.276696563057,6125.0
2472.5994518893694,5649.0
3472.987506894362,6849.0
337.50440515646915,3731.0
-250.16081252766799,3269.0
2106.8550902327797,5327.0
-167.96901008746863,3386.0
454.48980555786784,3831.0
1690.9220301940932,4922.0
1532.9980681512106,4783.0
867.626858452104,4194.0
1140.3368433601654,4433.0
613.3719897652454,3970.0
2073.2506002865484,5271.0
194.2717230353337,3631.0
-1316.6396772534272,2425.0
-598.2335544712305,2987.0
Objective Value, Total Weight
2702.3126249665374,5876.0
1552.1878857741394,4822.0
2702.3126249665374,5876.0
642.4021171091554,4235.0
2437.888443833318,5617.0
1803.1660263683043,5022.0
2981.788890384677,6144.0
983.3436888585475,4294.0
2320.8126062881383,5510.0
1932.9500705380551,5149.0
3086.3157902056446,6244.0
2702.3126249665374,5876.0
1647.6984723586438,4883.0
-88.39769670703481,3408.0
-720.9578294244402,2887.0
613.3719897652454,3970.0
1280.8034735526517,4559.0
-430.91588807269454,3126.0
337.50440515646915,3731.0
-1316.6396772534272,2425.0
Objective Value, Total Weight
1816.6981573574103,5054.0
1690.9220301940932,4922.0
1203.6074567507867,4575.0
4198.425429769361,7669.0
1006.850236620573,4320.0
3248.747366054593,6449.0
2073.2506002865484,5271.0
1418.8612287972355,4704.0
2329.0925287035243,5517.0
1803.1660263683043,5022.0
1532.9980681512106,4783.0
175.0471772253186,3608.0
1140.3368433601654,4433.0
867.626858452104,4194.0
337.50440515646915,3731.0
613.3719897652454,3970.0
-369.09277207551804,3169.0
-1440.6579121097502,2325.0
-720.9578294244402,2887.0
