Objective Value, Total Weight
498.64237138261433,3870.0
1560.2450817777544,4821.0
3232.441518810294,6625.0
1413.533002621496,4682.0
1719.4831963773777,4985.0
2082.5059621507953,5372.0
2718.925109212568,5999.0
2874.889036144258,6138.0
-369.09277207551804,3169.0
2231.450586566026,5511.0
-1901.7363375777477,1991.0
-1440.6579121097502,2325.0
1026.9815257770651,4333.0
-1269.6549250999678,2464.0
867.626858452104,4194.0
-2824.618882751669,1376.0
-720.9578294244402,2887.0
-2469.4460272553833,1638.0
175.0471772253186,3608.0
-205.22116743170773,3308.0
Objective Value, Total Weight
741.2052791844799,4118.0
1154.240265635397,4465.0
4050.084217047127,7364.0
2329.0925287035243,5517.0
3464.208854651236,6632.0
3852.9252859697062,7118.0
4319.855177994663,7852.0
-720.9578294244402,2887.0
2735.0695027920247,5898.0
-369.09277207551804,3169.0
-1730.346101793465,2114.0
1532.9980681512106,4783.0
2981.788890384677,6144.0
1816.6981573574103,5054.0
337.50440515646915,3731.0
2073.2506002865484,5271.0
57.66185962392228,3520.0
-1440.6579121097502,2325.0
-1008.0981542406316,2676.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
-1717.6948079947888,2125.0
4343.524165651697,8073.0
-1316.6396772534272,2425.0
4004.5450882055848,7396.0
1532.9980681512106,4783.0
73.60985878096017,3531.0
1932.9500705380551,5149.0
3148.124083323779,6369.0
867.626858452104,4194.0
3748.005208461309,6996.0
2208.5449790561834,5410.0
454.48980555786784,3831.0
1123.06698787399,4420.0
2598.6782797401747,5776.0
-2310.3671205246683,1703.0
3435.249984231905,6630.0
2807.3436214985595,6003.0
-890.1228170972718,2764.0
-250.16081252766799,3269.0
-598.2335544712305,2987.0
Objective Value, Total Weight
-205.22116743170773,3308.0
2073.2506002865484,5271.0
1166.907499818959,4459.0
2522.070901652459,5821.0
1532.9980681512106,4783.0
3608.7770744190957,6876.0
1690.9220301940932,4922.0
73.60985878096017,3531.0
2807.3436214985595,6003.0
498.64237138261433,3870.0
337.50440515646915,3731.0
-720.9578294244402,2887.0
2217.9778327157983,5410.0
3265.116120024649,6491.0
867.626858452104,4194.0
2944.491561629192,6142.0
-1008.0981542406316,2676.0
-2310.3671205246683,1703.0
-369.09277207551804,3169.0
-1440.6579121097502,2325.0
Objective Value, Total Weight
2208.5449790561834,5410.0
1932.9500705380551,5149.0
3698.0809186844017,6954.0
2598.6782797401747,5776.0
3340.486249970377,6510.0
-636.5942869818009,2969.0
-250.16081252766799,3269.0
867.626858452104,4194.0
1532.9980681512106,4783.0
4252.759493250862,7688.0
4006.16128373447,7322.0
-1440.6579121097502,2325.0
-2648.051557735853,1499.0
337.50440515646915,3731.0
2981.788890384677,6144.0
73.60985878096017,3531.0
1271.6422943100588,4560.0
-995.5739260881292,2687.0
-2935.626919519692,1299.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
2969.5514993381603,6144.0
498.64237138261433,3870.0
3587.8883449198693,6771.0
3464.208854651236,6632.0
1969.7767685575109,5193.0
2217.9778327157983,5410.0
2478.703929875139,5656.0
1166.907499818959,4459.0
3125.3652217089966,6283.0
-2008.5214805114147,1914.0
2735.0695027920247,5898.0
867.626858452104,4194.0
-551.7695962250482,3026.0
238.9761047822658,3670.0
1690.9220301940932,4922.0
1532.9980681512106,4783.0
-995.5739260881292,2687.0
-1611.3369222315814,2202.0
-205.22116743170773,3308.0
-2602.8003511920297,1492.0
Objective Value, Total Weight
1413.533002621496,4682.0
2073.2506002865484,5271.0
3360.2660393385813,6647.0
-369.09277207551804,3169.0
-205.22116743170773,3308.0
2969.5514993381603,6144.0
1690.9220301940932,4922.0
498.64237138261433,3870.0
2478.703929875139,5656.0
337.50440515646915,3731.0
2696.1889608062966,5882.0
2217.9778327157983,5410.0
-720.9578294244402,2887.0
175.0471772253186,3608.0
-1730.346101793465,2114.0
1166.907499818959,4459.0
867.626858452104,4194.0
-1269.6549250999678,2464.0
-1008.0981542406316,2676.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
1803.1660263683043,5022.0
1026.9815257770651,4333.0
3553.4997375675957,6732.0
4050.084217047127,7364.0
337.50440515646915,3731.0
2835.757587577792,5998.0
3086.3157902056446,6244.0
2073.2506002865484,5271.0
3464.208854651236,6632.0
613.3719897652454,3970.0
1413.533002621496,4682.0
4319.855177994663,7852.0
-1307.1026415108263,2465.0
2437.888443833318,5617.0
-369.09277207551804,3169.0
-2941.4300438651508,1288.0
-1730.346101793465,2114.0
-720.9578294244402,2887.0
-88.39769670703481,3408.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
-1611.3369222315814,2202.0
2320.8126062881383,5510.0
4066.8738906578965,7612.0
2874.865160178645,6037.0
-250.16081252766799,3269.0
3672.163288972274,6871.0
1803.1660263683043,5022.0
1532.9980681512106,4783.0
983.3436888585475,4294.0
1280.8034735526517,4559.0
613.3719897652454,3970.0
2735.0695027920247,5898.0
3464.208854651236,6632.0
2073.2506002865484,5271.0
3226.3321070384636,6383.0
337.50440515646915,3731.0
-890.1228170972718,2764.0
-551.7695962250482,3026.0
-1269.6549250999678,2464.0
-1906.7759120477376,2003.0
Objective Value, Total Weight
867.626858452104,4194.0
2514.2544753991488,5888.0
