Objective Value, Total Weight
-6314.820000000001,0.0
4162.712951325002,8013.0
-6314.820000000001,0.0
4162.712951325002,8013.0
2733.262235400496,7269.0
-3199.5960612328045,1931.0
-3179.5174373948857,2688.0
1981.8022148035725,5651.0
-4454.1301760241695,1465.0
182.97395394234263,5024.0
-186.5749457351385,4248.0
-5569.403820849689,661.0
-1334.5467398648007,3294.0
-5569.403820849689,661.0
-4454.1301760241695,1465.0
-1535.0687798265299,3292.0
2347.226832733759,6614.0
1372.3474817262131,5347.0
-671.0572688793527,4075.0
3858.30156106695,7810.0
Objective Value, Total Weight
-6314.820000000001,0.0
3962.0598345601484,7965.0
3962.0598345601484,7965.0
-6314.820000000001,0.0
-1849.941865957644,2937.0
-4193.753662974878,850.0
-453.229590688944,3798.0
3106.0303957633905,6858.0
1861.372633996316,6135.0
-157.070445184675,4615.0
-3026.4693958525286,1857.0
-4193.753662974878,850.0
757.9227229973358,5178.0
-2487.1113905649463,2045.0
3673.031588409548,7464.0
-453.229590688944,3798.0
2729.9231853082565,6458.0
-3512.9657155748255,1439.0
-3512.9657155748255,1439.0
1446.5541123422681,5735.0
Objective Value, Total Weight
-6314.820000000001,0.0
3877.9771995967567,8226.0
3877.9771995967567,8226.0
-6314.820000000001,0.0
-3252.0013859398514,1805.0
-3252.0013859398514,1805.0
666.8404238097364,4619.0
-1314.7383164609682,3309.0
-1314.7383164609682,3309.0
-5023.769651623416,394.0
-883.2168207480763,3709.0
666.8404238097364,4619.0
-4127.222054125181,1027.0
1455.1863978910033,5495.0
1455.1863978910033,5495.0
-4127.222054125181,1027.0
2514.977033108151,6747.0
-883.2168207480763,3709.0
2514.977033108151,6747.0
3647.1108645458153,7724.0
Objective Value, Total Weight
-6314.820000000001,0.0
3685.9418231814525,8284.0
3685.9418231814525,8284.0
-6314.820000000001,0.0
2573.9381102954603,6496.0
-279.0706728329933,4806.0
-1648.8007711132886,2926.0
-4156.131501123847,1446.0
-2411.647399201649,2337.0
-1393.5337262009152,3658.0
-2411.647399201649,2337.0
1816.687505952672,6132.0
3292.106419876476,7411.0
-5366.972533412386,208.0
-608.5953629017295,4069.0
-4156.131501123847,1446.0
3292.106419876476,7411.0
-4653.005852686159,835.0
1223.2295844221635,5255.0
859.3978174955109,5053.0
Objective Value, Total Weight
-6314.820000000001,0.0
4029.7384952325083,8076.0
-6314.820000000001,0.0
4029.7384952325083,8076.0
-4020.6962498508465,820.0
-2067.129914339238,2542.0
477.81675710349646,4966.0
863.138553493106,5789.0
-752.4036741106966,3412.0
-5941.119074853301,194.0
-3137.1913300180604,1650.0
-247.98535563830683,4462.0
-3137.1913300180604,1650.0
3228.076248884966,6969.0
-4621.514752984248,398.0
1659.1411156593676,5991.0
-1742.4013362013047,2950.0
2776.138301255656,6666.0
1659.1411156593676,5991.0
2776.138301255656,6666.0
Objective Value, Total Weight
-6314.820000000001,0.0
4122.62303045079,8111.0
4122.62303045079,8111.0
-6314.820000000001,0.0
3811.0361111998936,7609.0
2817.763692996452,6562.0
-1267.6602033911258,3432.0
-1888.0509963146833,2944.0
-237.06701739991513,3750.0
-3123.956668756922,1766.0
2437.612369217707,6162.0
-4635.06031850287,1042.0
200.23293979743266,4150.0
-5278.076339433763,554.0
-3123.956668756922,1766.0
-4635.06031850287,1042.0
1136.296801002357,5452.0
401.1992297013294,4846.0
-2415.0489101237235,2393.0
1845.9211228990898,5642.0
Objective Value, Total Weight
-6314.820000000001,0.0
3831.5002563409744,7984.0
3831.5002563409744,7984.0
-6314.820000000001,0.0
-2258.348378962538,2593.0
3273.0658309878154,7140.0
-4410.269887228451,932.0
-1392.9602514478129,4178.0
-3024.5544017288476,2348.0
2811.974285878635,6952.0
-320.56446541756577,4589.0
-3482.319984077396,1948.0
-5357.577069532557,312.0
1190.1895142731273,5478.0
1722.4154551200309,6244.0
-4410.269887228451,932.0
-1704.2302576956217,3340.0
2466.7153561948653,6283.0
441.1558106178736,5191.0
-3482.319984077396,1948.0
Objective Value, Total Weight
-6314.820000000001,0.0
3764.8709315631477,7832.0
3764.8709315631477,7832.0
-6314.820000000001,0.0
-941.9994311460332,3425.0
-5275.687190268726,762.0
-3142.6520753759232,1840.0
-358.81121139275365,3826.0
-5275.687190268726,762.0
-3142.6520753759232,1840.0
1690.8217615853955,5434.0
3533.211803027334,7432.0
-2207.9523723885923,2455.0
-2207.9523723885923,2455.0
414.0682644565495,4501.0
2791.4893994104095,6806.0
2173.300636206279,6101.0
414.0682644565495,4501.0
2791.4893994104095,6806.0
2173.300636206279,6101.0
Objective Value, Total Weight
-6314.820000000001,0.0
3948.10045631138,7995.0
3948.10045631138,7995.0
-6314.820000000001,0.0
-252.64026740459485,3849.0
535.2530353760958,4728.0
-3680.4025297846747,1702.0
-2768.188823234924,2747.0
-2908.9270288078433,2104.0
1325.564737693201,5326.0
-5365.80497471196,192.0
2422.797040131444,6266.0
-4194.712223546993,1065.0
2930.9201947061565,6754.0
3259.0131887489606,7154.0
-4194.712223546993,1065.0
-1660.120456567598,3056.0
743.2670263496166,5200.0
-731.9338606691308,3449.0
-5365.80497471196,192.0
Objective Value, Total Weight
-6314.820000000001,0.0
3996.82457699346,7914.0
3996.82457699346,7914.0
-6314.820000000001,0.0
-2340.109197897319,2079.0
-5023.769651623416,394.0
941.4353685611159,5360.0
-3886.813976133367,1835.0
-1211.5684874553372,3099.0
-1211.5684874553372,3099.0
1984.2951563421875,6062.0
301.8739435450134,4406.0
1984.2951563421875,6062.0
2927.444170389397,6680.0
-4218.595677217485,898.0
-311.73136208740834,3918.0
941.4353685611159,5360.0
-3954.1884540895644,1588.0
-311.73136208740834,3918.0
3490.1046101838274,7269.0
