Objective Value, Total Weight
-111.69107065684238,3556.0
-4576.330152516537,398.0
1316.6171691414102,5235.0
-941.1898050708714,3226.0
-3919.232108131667,779.0
2918.1737073414215,6405.0
145.61165774366782,4057.0
4063.2049895797145,7747.0
2331.8116745580337,5941.0
-2898.050944798002,1407.0
-5566.503368284331,190.0
-1801.4797882274925,2251.0
-3456.9291769708307,1082.0
1728.0089035467317,5584.0
-2347.966203156717,1994.0
-1211.5654748416273,2739.0
3526.922887186068,6994.0
787.622796926682,4747.0
4215.656102498178,8336.0
-6314.820000000001,0.0
Objective Value, Total Weight
-106.24689052071881,3555.0
-2949.267396388099,1367.0
-4214.681041514352,601.0
379.4900619544087,4182.0
-1478.6272809653183,2324.0
2693.031120446729,6025.0
-2226.785061962364,2061.0
1002.609949867171,4608.0
-1268.0491208077192,2825.0
1613.7692422882183,5094.0
3962.1636484179708,7616.0
2986.982214140021,6721.0
3443.573404496534,7021.0
2030.3081313323064,5636.0
-640.2578637568813,3014.0
-4757.430361700347,413.0
-3552.5292981051234,1041.0
-5510.4930931739755,8.0
4322.179209565586,8219.0
-6314.820000000001,0.0
Objective Value, Total Weight
1504.1614034042332,5035.0
4148.057175198363,7663.0
282.50801933747334,4057.0
3196.259956172673,6697.0
-4592.103152461131,390.0
-2279.777241271213,2098.0
3540.5278103665405,7097.0
-429.3847945565558,3508.0
2250.2013560409214,5740.0
766.7907581632853,4460.0
-3338.693853506452,1144.0
2594.971915299325,6274.0
-2676.808464306142,1790.0
-1546.815459083945,2497.0
-970.1302424922633,2898.0
-5275.090455934233,102.0
-3807.4598197729547,847.0
3882.349841435538,7400.0
4289.363914503863,8063.0
-6314.820000000001,0.0
Objective Value, Total Weight
4075.685275886537,8038.0
-2291.7913794059205,2083.0
3186.425873011729,6697.0
-3971.554093980453,741.0
3784.246018600823,7374.0
482.13237093939824,4295.0
2640.528312507424,6155.0
2144.3694656606867,5692.0
-12.347107918162692,3970.0
-3293.2999062908902,1167.0
1685.3325590168988,5240.0
1055.3048221465415,4814.0
-2753.974149833891,1586.0
-579.8012143586866,3353.0
-4615.114742039586,337.0
-1534.818195802718,2541.0
-1069.8146292403162,2950.0
-5510.4930931739755,8.0
4353.6471559796155,8342.0
-6314.820000000001,0.0
Objective Value, Total Weight
185.23419325751183,4060.0
-1321.274993335509,2641.0
-3361.5579814735447,1097.0
1779.6250134676138,5498.0
-267.6076870226716,3531.0
-4216.940280951291,593.0
-3830.788026613771,795.0
-2136.103840831738,2182.0
794.0258645964614,4622.0
1178.9639194779065,5055.0
-2582.015471838864,1686.0
3066.343255704698,6588.0
3541.163941386915,7010.0
-5510.4930931739755,8.0
-4729.303913652756,290.0
-964.9832235151671,3027.0
2576.741227024935,6022.0
4039.151980236282,7474.0
4347.721120002465,8208.0
-6314.820000000001,0.0
Objective Value, Total Weight
2100.7899950711535,5713.0
-669.4853206411753,3373.0
-2684.2252368334475,1749.0
-3173.3743508087127,1309.0
2671.885290261547,6277.0
1145.1973791692872,4946.0
60.94266417204926,3991.0
678.6299684378992,4607.0
3065.7945359683044,6676.0
3956.3449701351365,7677.0
3493.018967653088,7115.0
-3580.508678846555,997.0
1795.0042700072836,5348.0
-1297.3968626098886,2882.0
-1915.2907515825846,2254.0
-4849.0461885291525,243.0
-4260.530953376357,610.0
-5566.503368284331,190.0
4241.850606306536,8200.0
-6314.820000000001,0.0
Objective Value, Total Weight
3256.7043962527177,6715.0
-3848.5491573644995,839.0
-342.31531475657084,3682.0
2786.953286195503,6227.0
-5611.416871592029,204.0
1233.0582668307397,4954.0
3656.413260843072,7203.0
-1317.8978876000583,2638.0
637.7994597156776,4550.0
-2649.3818201457216,1852.0
