Objective Value, Total Weight
562.5968987378656,4288.0
-2937.731143437971,1304.0
1280.8034735526517,4559.0
2855.7042402431225,6168.0
4072.4295849296977,7497.0
-904.6373350115646,3022.0
-3483.0823825386724,943.0
-341.13511042248047,3336.0
-1904.7443116293107,2019.0
-1444.026883577866,2540.0
-4699.872170148833,451.0
3245.5666267325487,6584.0
3698.6651273283396,6992.0
-2400.350552157517,1686.0
-3955.4791834487705,641.0
2446.219855441065,5747.0
1592.444394243037,4985.0
2105.233729345172,5358.0
121.94436667652917,3615.0
4286.383550063185,8067.0
Objective Value, Total Weight
-1969.8686189883883,2324.0
-2048.5264719173983,1943.0
1335.426194479548,4659.0
809.7774634664047,4237.0
-239.72944452267348,3458.0
-642.4190029629945,3028.0
2189.1404674955484,5409.0
-1532.2900555905317,2343.0
-1060.6347624614236,2687.0
3676.3894640567614,6935.0
4096.029704071632,7523.0
284.9945735625297,3732.0
-3965.238174377987,662.0
-2651.2935659886152,1479.0
-3262.516931476228,1128.0
3112.5198231997074,6303.0
1813.4623674230088,5087.0
2620.8556122468735,5815.0
-4683.255880864127,434.0
4386.596271474738,8296.0
Objective Value, Total Weight
3713.5508806028847,6993.0
1256.968463834327,4680.0
3121.7385931821455,6455.0
858.5649374741442,4297.0
2240.139502696613,5476.0
1783.5083986033487,5028.0
-1146.157884818007,2679.0
-564.8315612079459,3114.0
2641.8438678126995,5873.0
-1603.1383357292707,2280.0
481.87227481538775,3958.0
-3893.0449056712605,754.0
-2790.00139079982,1423.0
-5185.844462486976,240.0
-37.68679401897043,3542.0
-4553.730464036587,658.0
4366.998324628237,7910.0
-3356.366033190896,1083.0
4084.7043447001324,7422.0
-2213.7908071519178,1792.0
Objective Value, Total Weight
-1029.3128212809152,2779.0
2642.5188631192186,6169.0
491.4001325474828,4049.0
-281.3660230672858,3338.0
2047.6456572713969,5532.0
-3024.5342945796574,1339.0
1288.8716954609445,4709.0
1781.6693779352381,5136.0
161.58300129906638,3744.0
2992.8538178620056,6248.0
857.1929614462306,4412.0
-1588.855212616334,2377.0
-2459.989785039338,1643.0
2462.842844299288,5758.0
3525.3027183577624,6801.0
-1990.549684508699,1980.0
-3521.971845886974,918.0
3969.536416689436,7342.0
4374.062835365643,8076.0
-4213.213923940067,766.0
Objective Value, Total Weight
1753.0762824931553,5205.0
2325.9413815328226,5671.0
768.9324862482799,4317.0
2678.967869231594,6250.0
-2140.9042609085664,1929.0
297.5269263548398,3922.0
-2776.1022784356555,1505.0
-3395.7059924971973,1282.0
-3952.308732806314,939.0
3182.2787241319866,6569.0
3694.486346733969,7010.0
-607.714715398145,3054.0
3966.2317579869323,7641.0
1268.6355673253347,4687.0
-121.0376058682914,3442.0
-1579.1466969848252,2328.0
-1047.6033784521378,2688.0
-4502.5353639860905,632.0
4373.116653216617,8235.0
-5255.126195360394,322.0
Objective Value, Total Weight
-584.6176362312681,3349.0
2834.282399439733,6465.0
3864.700491646001,7847.0
1806.1835905243588,5047.0
6.9303388920807265,3624.0
-986.1928518171026,2779.0
931.7279176404545,4330.0
3852.0449193840013,7367.0
3435.0215349805767,6723.0
-2407.6165223229573,1730.0
2556.080038768172,5753.0
4279.273957485615,7931.0
-1480.1583838152937,2440.0
2197.040528599924,5413.0
-1833.3662931586532,2053.0
-3645.6824380824137,922.0
1373.60644186222,4672.0
-4273.742080303547,515.0
498.8687580806336,3942.0
-2959.60629133534,1307.0
Objective Value, Total Weight
1495.1195804988884,4782.0
1971.8450042203049,5306.0
-2850.358586662006,1491.0
-4403.468379909366,499.0
2906.567637573211,6141.0
2468.0123560358006,5717.0
-2265.7984459749987,1788.0
3702.909950704915,6976.0
-3951.3539297844272,820.0
-3386.6894653830195,1146.0
4376.413365931137,8196.0
-1762.6003239374459,2102.0
601.1966234217789,3996.0
-413.25147763654695,3146.0
1042.652919023768,4450.0
3280.7400688148728,6589.0
97.24122530083514,3586.0
4058.2537313447338,7569.0
-895.7636401308764,2790.0
-1316.6396772534272,2425.0
Objective Value, Total Weight
1064.8213425087297,4780.0
3636.2362978349356,7083.0
694.6404167788951,4172.0
3862.27599552834,7686.0
2083.936233038654,5453.0
-155.90652700571536,3410.0
-1938.2711190852651,2043.0
-2385.4247211473503,1795.0
2548.9570531763475,5845.0
-1134.1942542517636,2756.0
172.85052686886502,3745.0
3023.449455232362,6290.0
-662.9185552696972,3071.0
-3104.8729351729517,1228.0
3308.962461367337,6724.0
1609.1361124253544,4950.0
