Objective Value, Total Weight
-29448.25,0.0
4734.781599470494,35217.0
4734.781599470494,35217.0
-29448.25,0.0
-6362.557057282833,19917.0
476.33533718515537,29334.0
2059.1436821934694,31429.0
-15416.06817125541,11431.0
3674.6940817976283,33057.0
-10549.745922744238,15208.0
-7894.483121843328,18497.0
-9820.213956608364,17201.0
-4469.350015832475,22697.0
-13213.422088882402,13437.0
-20832.41256806449,6537.0
-1307.0460471416445,25503.0
-24503.3486041656,3583.0
-25806.97972052155,2760.0
-12548.764768959223,13638.0
-20421.67038549135,6987.0
Objective Value, Total Weight
-29448.25,0.0
5268.389396437589,35880.0
-29448.25,0.0
5268.389396437589,35880.0
-12539.989835408142,13995.0
-16966.933140206715,9757.0
-5485.837855881226,21497.0
-24155.31939851213,3802.0
-1595.0850994820066,25614.0
-21280.85622529671,6415.0
-26632.448706594307,2335.0
205.91984666525968,28618.0
2164.496878900318,30322.0
-7130.818648799577,19734.0
3604.8660352150036,32413.0
-7726.854237033538,19221.0
-3400.5300946827047,23653.0
-19097.342677182045,8163.0
-12172.550903270174,15930.0
-3400.5300946827047,23653.0
Objective Value, Total Weight
-29448.25,0.0
5663.187233509714,38823.0
5663.187233509714,38823.0
-29448.25,0.0
-6787.769401759575,19557.0
-14498.913643732827,11696.0
-18170.21689468482,8469.0
-3764.6092202104774,23410.0
-10989.800498385637,16755.0
-20310.839292736917,6403.0
-26351.029912303813,2282.0
5629.620049261626,37897.0
4147.955552619882,33698.0
-22100.951758179963,5189.0
-28209.766279163287,1052.0
-11937.112998956032,14078.0
-1905.4516138583058,25171.0
-23942.877049753042,3959.0
-189.42978892422252,28095.0
2286.1034732723856,31104.0
Objective Value, Total Weight
-29448.25,0.0
5634.128295710601,38835.0
5634.128295710601,38835.0
-29448.25,0.0
-4184.309390603339,22761.0
-2407.35904655372,26164.0
-8047.239253384687,19860.0
613.7525574643296,28510.0
-14772.00131753366,11761.0
-8779.769864920247,17331.0
-13082.994534098889,14330.0
1909.1741129544607,31616.0
4510.48991806453,33731.0
-28975.87766462881,341.0
-25897.186105543566,2442.0
4532.779244601385,37284.0
-17540.1873874226,10037.0
-17914.608039234492,8912.0
-19950.71907923084,7220.0
-25428.051458223174,2783.0
Objective Value, Total Weight
-29448.25,0.0
7032.689599418532,38033.0
7032.689599418532,38033.0
-29448.25,0.0
