Objective Value, Total Weight
-29448.25,0.0
7741.858353391923,40573.0
-29448.25,0.0
-25362.275599269567,3009.0
5951.948805918808,36859.0
-19166.1590054436,7754.0
-23219.37802488605,4745.0
-21464.781364434835,6467.0
-2761.9078366657704,25004.0
-17246.247765649892,9628.0
-4227.516944821735,22046.0
2447.7248609567105,30376.0
5293.86549890857,34209.0
-11444.682898791732,15490.0
655.5225939780357,27911.0
-9108.763137670358,18421.0
-13512.317354474995,13772.0
3949.9840835178766,33594.0
-7341.769868455627,19093.0
-5588.296502692356,21317.0
Objective Value, Total Weight
-29448.25,0.0
7451.1499357109205,39782.0
7451.1499357109205,39782.0
-29448.25,0.0
-278.4311257605659,26456.0
-16525.24943421931,11447.0
-2321.562182171074,23878.0
5471.382146115313,34298.0
3473.10030423275,31158.0
-23384.44009990322,4538.0
-13443.634642614074,13706.0
-18705.251024288777,8732.0
-25934.558664062104,3046.0
-20540.47788811777,6616.0
-10281.891603906588,17724.0
5471.382146115313,34298.0
-26829.731235374908,1610.0
-22475.41445186981,5974.0
-8041.759872200273,19758.0
-4101.673349252407,21971.0
Objective Value, Total Weight
-29448.25,0.0
7718.405504129674,39936.0
7718.405504129674,39936.0
-29448.25,0.0
-22823.372703906178,4958.0
-15248.249321909698,11256.0
-12593.652217169427,13960.0
-18124.317463499374,10298.0
900.3613113275205,28091.0
1767.127492114516,30344.0
3397.4185383145086,32475.0
-4327.148341212094,22087.0
-8476.51309441273,18363.0
4725.707806939092,33970.0
-2775.2961992694545,23582.0
-21307.095580384626,6420.0
5649.128403709685,36310.0
-19387.78969160466,8058.0
6847.356245543189,37043.0
-6952.5107507802095,20551.0
Objective Value, Total Weight
-29448.25,0.0
7950.595918747473,39995.0
-29448.25,0.0
-23535.447832991016,4079.0
-20392.475289884555,6820.0
1555.871794671817,29546.0
-10191.456653392877,15966.0
5356.189387161292,33717.0
7001.584883112766,38062.0
-7346.6631962043175,19142.0
-26366.96399386571,2012.0
-12569.631038114887,14850.0
-17960.82471185433,8673.0
-14831.146543306946,11803.0
-5761.958039384575,21739.0
-16658.966999556844,9512.0
-8303.355789540175,17585.0
3649.6246433866036,31618.0
-348.5822529521465,26460.0
-14000.95764159612,13336.0
Objective Value, Total Weight
-29448.25,0.0
7869.988075783265,40320.0
-29448.25,0.0
7869.988075783265,40320.0
5150.426932682101,32503.0
-16481.12201090616,10564.0
-9986.99129527558,16515.0
-12592.443801088673,13281.0
-25804.19283264113,2716.0
-23362.998149722953,4476.0
-19185.510233714194,8788.0
-3251.9066979038253,22326.0
-1074.5989911247307,26782.0
-11590.586070858182,15005.0
-5188.297888667439,21600.0
564.9841315937156,28747.0
-6555.870382803012,20156.0
-6555.870382803012,20156.0
-22107.40210582923,5851.0
3931.363183788817,31164.0
Objective Value, Total Weight
-29448.25,0.0
7139.20488177114,38666.0
7139.20488177114,38666.0
-29448.25,0.0
3239.096686587145,30049.0
227.43392205086275,26934.0
5363.098286509587,34923.0
-12841.98889811521,13497.0
-2771.355341995244,24006.0
-6626.677233263443,21059.0
-24791.697195116347,3074.0
-20270.368101355696,7169.0
