Objective Value, Total Weight
-3865.3179998812193,21961.0
-7675.341573148769,19492.0
-286.32416410143196,26619.0
-24114.554014074783,3511.0
-5871.509434587089,20445.0
1666.755453019825,29719.0
-11740.334558596798,15467.0
-14197.855778820383,12265.0
7655.23402691276,37806.0
-18602.176683914673,7824.0
-20253.38799598894,6816.0
4538.024534888282,31420.0
-9528.404069871773,16720.0
5685.679283007652,35305.0
-22561.252042255714,5883.0
-1696.630396828914,23349.0
-16747.497773121493,10037.0
-26663.13936115988,2178.0
9329.848245844136,41024.0
-29448.25,0.0
Objective Value, Total Weight
-7325.4994002245585,18094.0
5665.900634133213,34661.0
-24112.798951746878,4342.0
-4171.033695946629,21799.0
-11086.115258341419,15590.0
-14841.074564653827,12212.0
-5904.623646170468,19759.0
-17403.688023504954,9894.0
2748.0703606639654,29998.0
-26458.699204725304,2488.0
-18771.771159033346,8141.0
-2222.1001064186567,23668.0
1028.4858688641543,27975.0
-21376.713213483257,6396.0
-12782.610005089638,13186.0
252.69239596746775,25208.0
8333.968840110523,37007.0
4330.910798257908,31640.0
9215.5446904575,39944.0
-29448.25,0.0
Objective Value, Total Weight
-17280.112949806204,9988.0
-15721.47679066956,11566.0
-25388.3481203289,3157.0
5810.647064494129,33425.0
-13594.943748662386,12808.0
110.66521048957657,27632.0
-259.5968634446617,25153.0
-19783.17121747284,8194.0
-6780.371225359297,18651.0
-2323.876215908829,23178.0
-11062.723145860487,14813.0
-9223.369474042447,17331.0
-22095.04296554726,5682.0
7568.9511843553555,36375.0
8521.284408153624,39560.0
-4796.003773061195,20874.0
2834.983940191996,28655.0
3747.473853222604,31920.0
9828.579792336684,41460.0
-29448.25,0.0
Objective Value, Total Weight
-266.75102404574136,25194.0
-6224.226554858156,20757.0
-23417.160272134595,4942.0
-15337.922405164187,11717.0
1614.845209650368,29141.0
-13690.19076914123,13274.0
-11662.067035412241,14373.0
232.34759761008172,26728.0
-16936.42692802096,10132.0
-20782.3342174377,7355.0
-2785.258297107095,22882.0
-7346.954611631783,17915.0
3913.889691148521,30077.0
8163.218636768186,37904.0
-9668.249584580972,15472.0
5132.407640449077,32393.0
-26046.712633896044,2501.0
7052.913953325537,34852.0
9421.282264533045,40900.0
-29448.25,0.0
Objective Value, Total Weight
-22255.22281160838,5161.0
-12151.328780006468,13619.0
-27311.022225870107,2286.0
-13681.134549142265,11744.0
-18793.64944453953,7962.0
6526.845875795647,34296.0
-20973.7732815503,7097.0
-4613.618754993484,20905.0
-16676.61588114773,10402.0
-6927.1478822168865,19096.0
1135.1340570614411,27063.0
37.27580573698651,24669.0
-23992.59762822198,3786.0
5160.433539131351,32184.0
-2664.70799318068,22625.0
3405.346388460217,29538.0
-9175.310959448507,15566.0
8421.989723873477,37550.0
9353.21079632976,40911.0
-29448.25,0.0
Objective Value, Total Weight
-6301.671924161892,20911.0
-20986.63414034163,6843.0
-7139.02954277752,19043.0
1111.6267780821581,27630.0
5655.7848959822295,34495.0
-10084.49393237464,17040.0
-287.5475830413634,26169.0
-16800.8023115275,10329.0
-15095.503630615836,11987.0
-18900.778382238153,8783.0
3717.0770162741537,30819.0
-25784.004862012735,2854.0
-27333.749897075835,1488.0
-2132.3715795565004,24338.0
-12704.99260230776,13878.0
-3098.2461826593935,21993.0
7831.059446022118,37874.0
-22677.344913563767,5359.0
9607.49950341422,41022.0
-29448.25,0.0
Objective Value, Total Weight
3446.0426328019093,30915.0
-19247.803004471454,7711.0
-3488.213315283312,22052.0
7101.069156366182,36403.0
-17073.5219271772,9842.0
-14893.53266279976,11266.0
-6663.690354957631,19591.0
-8089.882033920818,17887.0
-5444.974254976914,21218.0
-2166.822789987804,25574.0
-12239.902960239913,13842.0
1869.2373927161098,27752.0
-26176.823949149155,2352.0
-23608.8386899859,3933.0
5580.930193170905,33381.0
8516.568533065394,37931.0
-10354.084364382754,15564.0
-21777.437110596995,5655.0
9285.80707041332,40001.0
-29448.25,0.0
Objective Value, Total Weight
-3082.664103796429,22450.0
-21037.5835992429,6326.0
-5917.8393146152375,19770.0
-10327.70978840724,15297.0
3057.0607243001723,30625.0
2042.48422690374,27445.0
-2063.0593717328084,23869.0
-289.2820681050871,25859.0
-19368.332110199895,8104.0
-13039.82470299245,12881.0
-8230.669095942103,17757.0
-17589.25018751061,10135.0
-23238.23571421425,4424.0
-15220.507775400965,11824.0
6416.115976375506,35211.0
5508.3361657320565,31426.0
-26445.42745323102,2596.0
8081.476886000484,38667.0
9402.2494336108,41446.0
-29448.25,0.0
Objective Value, Total Weight
6687.543826471032,36513.0
-17841.69354866205,9230.0
-26182.429564418173,2473.0
-2917.711725279725,23879.0
-19709.953317248714,7725.0
-10681.67958150214,15557.0
-16203.725066685856,10765.0
-8478.182762184464,17242.0
-14334.794281953156,11777.0
-654.475227442621,26246.0
5626.564968956547,34652.0
-6302.126112426544,18880.0
3923.494148739701,31541.0
-4657.971366041042,20938.0
-12154.622655337625,13104.0
1395.6229993408997,28695.0
8664.528193820523,38906.0
-22442.946107996457,4927.0
9261.538371682858,41227.0
-29448.25,0.0
Objective Value, Total Weight
-8037.665429061235,17424.0
-7748.777336623381,19932.0
-5964.917263668947,22109.0
-21010.33328079582,6676.0
-2531.347777942996,24877.0
-16430.036048571692,10453.0
159.11984881015815,28262.0
-277.25161235049745,25889.0
-18941.420408238046,7931.0
-13829.412790587743,12005.0
2552.4475666700673,28737.0
-11382.189528790495,13887.0
-3477.780282741747,22243.0
4810.99470892892,31674.0
6010.782635836556,33899.0
-23968.94918085749,3811.0
-26464.0564370336,2304.0
9114.542559460882,41877.0
8247.489176257819,37691.0
-29448.25,0.0
