Objective Value, Total Weight
11506.583549299925,55319.0
8053.669536462279,48056.0
-12103.29002287313,24516.0
6812.580097826838,46272.0
-957.3806423962014,36013.0
-9321.404719064478,26680.0
4777.5388891806215,43101.0
10877.260196391893,53508.0
9690.648117748082,50924.0
-4477.0088375091,31915.0
408.7148466360886,37583.0
6183.928407362902,45078.0
3938.4548258726645,42019.0
-2055.296916252133,34657.0
-7679.921380962653,28373.0
-3521.6889076819207,32975.0
1354.4817449709299,38778.0
2833.005598352742,40580.0
-6526.063550943043,29638.0
-13924.97786508903,22391.0
Objective Value, Total Weight
11675.55966963584,55423.0
10607.571056703426,52751.0
9600.342532439725,51017.0
5158.215003988713,43703.0
-12508.091176500777,23594.0
-5786.447097190547,30449.0
7421.746867682239,47017.0
-15089.65730670056,21659.0
-2658.564992486601,34012.0
2782.393774826407,40504.0
3927.212639765523,42013.0
-7679.921380962653,28373.0
-3888.068234757724,32570.0
-11795.23506975171,24221.0
-9680.331188590048,26253.0
1585.4615361316683,39002.0
6520.12128670534,45578.0
-936.0037531307535,36021.0
8535.472562424744,48773.0
-16.338837125404098,37081.0
Objective Value, Total Weight
-1579.475143237396,35213.0
9677.472084531502,51335.0
-9920.262989572322,26216.0
11145.406660907283,53966.0
9374.555904546098,50350.0
12520.45347000601,57295.0
864.004424306906,38182.0
-8469.202846204833,27744.0
-4328.574330750569,32122.0
6183.928407362902,45078.0
-3218.1416650230894,33305.0
3278.5217763128603,41179.0
-364.14750776218716,36680.0
4311.533152964294,42543.0
8280.83382835202,48334.0
2014.7898510725645,39589.0
-5714.4388516103645,30721.0
-7036.445198711597,29149.0
5339.044776594135,43852.0
7338.920317359574,46844.0
Objective Value, Total Weight
12904.713307417209,60892.0
11296.158138448605,54406.0
-8908.790199313516,27259.0
-12742.537885783073,23571.0
9118.637893264342,49858.0
-10883.313830065934,25177.0
-14469.882512642718,22149.0
1829.271257713306,39353.0
-1780.1488924752484,34989.0
7649.128222995096,47533.0
-641.4015584689405,36349.0
10124.39660045415,51908.0
-6067.263562154643,30309.0
6642.265450872917,45790.0
445.37554210520466,37639.0
-4885.146474245863,31446.0
4777.5388891806215,43101.0
3469.3671413831835,41400.0
-2950.6360364768334,33566.0
-8197.555199528222,27886.0
Objective Value, Total Weight
12498.709254286143,57949.0
7790.042034772494,47561.0
6094.081861302067,44928.0
-7905.641298867318,28381.0
11592.88551887212,54795.0
-13916.48675081187,22344.0
9773.948487154543,51073.0
-9181.724024915136,27059.0
5339.044776594135,43852.0
-4617.526089995139,31750.0
4002.5513453575477,42082.0
2833.005598352742,40580.0
-6580.155328902372,29630.0
567.6414156708706,37818.0
-825.0345816464323,36144.0
7382.793921617384,46948.0
-2079.8384061036777,34642.0
-3314.634136253713,33196.0
1702.3874176898316,39189.0
-11789.490022348102,24467.0
Objective Value, Total Weight
5838.343211831831,44886.0
8293.756269542515,48497.0
10476.469684522533,52542.0
11413.920519023683,55240.0
-1641.06922388995,35116.0
7597.18297310669,47243.0
6794.935942005322,46017.0
9455.591381603706,50543.0
2782.393774826407,40504.0
-6926.391658225679,29274.0
5123.369712730906,43569.0
-13218.65799882498,23103.0
2083.0505940184084,39630.0
-4659.912096712294,31632.0
-10480.182804621683,25504.0
-2950.6360364768334,33566.0
747.4449147996638,37990.0
4108.518520773345,42205.0
-8913.195716685703,27051.0
-526.4725617099102,36440.0
Objective Value, Total Weight
12131.357906747588,57748.0
-1901.3766375399937,34902.0
-391.0205275243061,36618.0
11123.243274356588,54277.0
-6023.755004201601,30247.0
10353.955591897931,52432.0
-3285.949671741866,33218.0
1158.4869450626356,38535.0
8595.505174898433,48990.0
7766.13577154174,47547.0
2287.0701847487944,39898.0
-5239.463720017782,31287.0
9640.345258854613,50746.0
-8972.497492936971,27373.0
6966.116347315059,46221.0
-7534.119374364091,28799.0
5593.348938005423,44244.0
3194.0501894660556,41124.0
-10612.405649865475,25480.0
4362.802293642861,42597.0
Objective Value, Total Weight
-7166.90594366227,29156.0
12372.98244943437,56865.0
9869.041510736562,51482.0
1295.7541262793457,38693.0
8622.215982938185,49049.0
-1147.701259100635,35717.0
-5565.102528077754,30711.0
5710.383707219233,44382.0
7766.13577154174,47547.0
-4481.443570231459,31818.0
11115.26400763906,53827.0
4909.165922170818,43343.0
6752.290890816272,45981.0
-3193.5768301003336,33320.0
-12780.084897003406,23161.0
35.949086396285566,37157.0
-10940.182428451539,24953.0
3805.988027747968,41863.0
2782.393774826407,40504.0
-8764.415240753842,27360.0
Objective Value, Total Weight
12273.231864429472,57435.0
11165.435511215517,54010.0
-1893.451730218847,34847.0
1585.4615361316683,39002.0
-4907.622806505664,31468.0
8979.247226306747,49571.0
3625.1823025370904,41599.0
10083.39409548536,51707.0
-7821.605639898276,28391.0
238.88431669981946,37377.0
-6337.522564556501,29859.0
8230.149591517096,48236.0
2421.581781726789,40104.0
-9573.112495849113,26664.0
6918.27049491903,46154.0
4678.460289075156,42956.0
-1058.523696820419,35819.0
6094.081861302067,44928.0
-3087.2763399459072,33443.0
-11927.468322198503,24013.0
Objective Value, Total Weight
-12750.065993693512,24059.0
-4442.706870950344,31999.0
-11561.42350912762,24394.0
4426.2546971745105,42738.0
3469.3671413831835,41400.0
6143.276599248951,44995.0
8256.657914335585,48344.0
10630.833329407811,52849.0
-6784.872448215741,29427.0
-8380.523317213047,27734.0
-4955.958855341036,31386.0
-9682.77569965543,26392.0
9461.849949143121,50521.0
2018.7320102173326,39567.0
-2077.856164767174,34705.0
-3525.3822670661903,33011.0
7187.708143877833,46672.0
-15112.766914671272,21163.0
-881.5478462420069,36005.0
682.3434527974168,37942.0
