Objective Value, Total Weight
-42830.65,0.0
7310.065201148682,55160.0
7310.065201148682,55160.0
-42830.65,0.0
-34555.351914189065,6839.0
-31450.22239611119,9230.0
-20631.06630172713,18976.0
5979.035061287112,51308.0
-39688.153768213255,2391.0
-1475.0732062317184,40235.0
-24731.7731664205,15260.0
621.7294130622759,45665.0
-12812.101962809029,27544.0
3577.214180554336,48511.0
-28060.954866132,12103.0
-9926.227813238314,30205.0
-6299.686016496518,35819.0
-2934.2809375774377,37900.0
1796.8892703743331,46834.0
-14892.622973546575,25660.0
Objective Value, Total Weight
-42830.65,0.0
7965.004400272403,54856.0
-42830.65,0.0
-31701.975281348597,8916.0
6098.9902167344335,51481.0
1238.652211122302,43529.0
-26527.23831754233,12541.0
-3325.407642683509,37609.0
-24035.517781434166,15222.0
-38820.82138585247,2912.0
-38820.82138585247,2912.0
-585.1405487767188,40469.0
-8632.708539894316,30625.0
-15258.317415755278,23330.0
-10469.329840552164,29104.0
-7112.207894597013,32815.0
-21002.561571046215,19592.0
-16970.799347141452,22273.0
-4737.058334652742,35927.0
-5888.87750378716,34375.0
Objective Value, Total Weight
-42830.65,0.0
9047.709457486708,60862.0
-42830.65,0.0
3133.2121195898944,46361.0
-1592.0474082284272,41212.0
-33670.49481081597,8305.0
-29241.122473474687,11675.0
-18049.844097376095,22564.0
4575.540536751432,48534.0
-14251.297665556136,25619.0
-2579.5283487267297,39045.0
-19453.057666230503,20833.0
6689.704836686738,52658.0
-9226.440036482178,31294.0
-23206.17879053756,19228.0
-37682.9937190195,4117.0
8320.822469222534,58872.0
-7798.768494906581,33609.0
7585.641901545561,54183.0
-5267.009415267981,35956.0
Objective Value, Total Weight
-42830.65,0.0
8284.438402760803,59416.0
8284.438402760803,59416.0
-42830.65,0.0
-18295.986570211644,22858.0
1327.1310328008185,45636.0
6262.922256203696,53386.0
-13735.364655250254,27903.0
-23175.956080204392,18723.0
-38340.84382129622,3982.0
-25989.60196848958,15373.0
-8819.536266132061,33327.0
-9723.18748846108,31328.0
-113.92705515486159,43508.0
-35176.14082621896,6427.0
-39882.91967732837,2554.0
-27330.664993232996,13772.0
-6103.168109365666,35746.0
-29298.81773963009,11616.0
-12805.26024806872,29341.0
Objective Value, Total Weight
-42830.65,0.0
8454.0495953672,59127.0
8454.0495953672,59127.0
-42830.65,0.0
1764.3108375998636,45177.0
6818.600578516576,55596.0
-2233.7001200171144,40479.0
-37148.668181711095,5180.0
-11997.512395005215,29067.0
-4473.189189366429,38326.0
-34122.75059826567,6384.0
-29462.201885662464,12995.0
-24273.116470182256,15674.0
-7504.488787928494,34964.0
-30952.609895195717,9662.0
-8843.641336791035,31191.0
-17122.71564041533,22913.0
-39983.3275137885,2148.0
-32818.64498739566,9137.0
-13058.24878902582,26762.0
Objective Value, Total Weight
-42830.65,0.0
8267.412937720677,57257.0
-42830.65,0.0
-37914.86412818944,3510.0
-19313.60176614424,20809.0
1153.3326395345575,45884.0
6457.985392084891,53781.0
-23893.510652004,16068.0
-34351.3403494523,5953.0
4205.67352145919,49042.0
-8555.497945428993,32825.0
-28174.442955249084,11705.0
-5047.955307765129,36493.0
-2498.920697442176,40108.0
-11336.41516030603,29981.0
-13883.99245627207,27080.0
-2498.920697442176,40108.0
2534.9179908748047,47975.0
-17569.993026232987,23423.0
-4312.504570114259,37389.0
Objective Value, Total Weight
-42830.65,0.0
8592.737559504814,58499.0
-42830.65,0.0
-39084.04246021307,3681.0
-2661.3282203063354,38936.0
-25029.184496248803,16860.0
463.11966030779877,43129.0
2258.939990529434,46109.0
-6102.838599285133,35297.0
4209.196155447498,50466.0
-34667.31616490543,6453.0
-30984.563163887477,10134.0
-33979.776707014105,7458.0
-15183.110816951455,25522.0
-29209.671773907074,11490.0
-19546.400786438724,22353.0
-9942.347975605306,31249.0
-22322.67069096209,18786.0
5684.286313675402,53190.0
-29209.671773907074,11490.0
Objective Value, Total Weight
-42830.65,0.0
9444.53354178153,61343.0
-42830.65,0.0
-1172.4757672885025,41393.0
-4793.206696160727,36686.0
-38727.15587069727,3565.0
-16137.51505122611,24336.0
2393.8738714123683,45200.0
-12198.426458972077,28458.0
-29885.317257242044,10260.0
-34914.107380363435,6134.0
-6846.27157533016,34011.0
6607.757253237534,51736.0
-9716.714090929796,31303.0
4426.69112481644,48047.0
-25321.253204606706,14902.0
-28863.133066076654,12611.0
-36088.91927214083,5832.0
8111.499451819342,56476.0
8084.249777837307,56255.0
Objective Value, Total Weight
-42830.65,0.0
9136.552446102352,58296.0
9136.552446102352,58296.0
-42830.65,0.0
-80.14115321369172,43553.0
-24462.00001466005,15326.0
-19041.212147782266,22384.0
