Objective Value, Total Weight
-15729.752115610216,25656.0
-2442.713093275903,37862.0
4048.924729048107,47937.0
2772.476171721879,43975.0
-5819.227992553126,34338.0
12652.205378920371,61231.0
-734.709928758246,41521.0
-19533.918515411766,19101.0
-34645.955684991044,6921.0
10579.609493728123,57372.0
-39991.40122937979,2197.0
-18024.24655989524,21971.0
-23809.90770240953,17327.0
-8246.936648262577,32313.0
-26288.77310666022,13928.0
-12382.680334853874,26941.0
7602.1272305505845,51907.0
-30171.01086168427,10278.0
-42628.90883816555,2.0
13826.132234271106,64131.0
Objective Value, Total Weight
795.0547224376642,41513.0
-38993.54328649022,3219.0
-14183.099782358717,27412.0
-7726.65831906598,31621.0
-16086.47424900523,23893.0
-19437.872883845004,19970.0
2698.390046051034,44780.0
-35847.46445156151,5940.0
-32645.16335479248,9091.0
-4824.419181916674,34717.0
10513.889658713626,56905.0
-10930.29968092095,27780.0
-1133.854768191195,39056.0
12403.42062821595,60801.0
-25152.64242907126,14983.0
8572.747802652637,53933.0
-29031.38179493227,12045.0
6311.197631623712,50152.0
13816.60781356605,64120.0
-42428.01025020474,4.0
Objective Value, Total Weight
-25124.760930301658,16580.0
7820.104249985314,50097.0
-36000.39037346445,5080.0
-16507.240318828095,23361.0
-19531.72944562495,19729.0
-28742.80980744159,12670.0
-31365.237822339797,9519.0
-4458.502454149486,36738.0
-335.8919781686054,40947.0
-7799.451044002912,33225.0
-13733.958911804228,24855.0
11926.08192384887,56766.0
-10360.585410417203,28414.0
4896.515966391336,47451.0
-38761.47757812669,3933.0
1858.9426118461633,44206.0
-34645.233431605986,7744.0
9577.541281431448,54097.0
13824.42397268118,64028.0
-42628.90883816555,2.0
Objective Value, Total Weight
12158.079523311848,59051.0
11027.218961491795,55286.0
-10038.953486754603,28202.0
-6293.3278850380375,32675.0
-30330.791059580224,10239.0
-20557.448788509733,19630.0
-1351.415258790803,38727.0
-3368.1208813667763,36296.0
-13506.809157535143,26002.0
3734.858390080961,43802.0
-16411.20610643497,23110.0
-34792.58053073216,6785.0
-38195.75368491742,3930.0
-23934.709884671734,15546.0
5881.1163140438875,46608.0
1267.187847833302,41281.0
-27139.976103859044,12217.0
8773.170073086767,51175.0
-42830.65,0.0
13823.204263885505,64424.0
Objective Value, Total Weight
-16505.898395209937,23236.0
-24355.638127398917,15163.0
-13123.46441549185,26394.0
-9697.095601354995,31505.0
12129.925159197926,59006.0
2866.535167136106,45917.0
-1793.3314666877632,39469.0
10240.354740211456,54489.0
-28450.8640098155,13968.0
1302.3881598779117,43502.0
-35316.73881741127,7738.0
-5973.984804646774,34621.0
-2768.8673558560113,36577.0
5812.734103687886,49031.0
-39613.27455172363,3199.0
-20665.893070449252,19914.0
-31858.708747054377,9011.0
8267.428457137881,51487.0
13816.60781356605,64120.0
-42830.65,0.0
Objective Value, Total Weight
-14967.181817258155,23503.0
-8521.956151029452,30604.0
-18523.680789038757,20340.0
-30280.47193998164,10814.0
-3038.609753328179,35505.0
-33308.298950843986,8160.0
3.951485849021992,40200.0
-20806.064759051034,17455.0
-24341.66404620267,15444.0
3169.6206505762602,43763.0
-12495.506698450867,26901.0
-36316.555304924856,5670.0
7091.943775250664,48081.0
-27459.50537712519,13405.0
9637.808115142216,53052.0
12152.867875142925,59017.0
-40172.92968705293,2330.0
-5346.69524264276,33413.0
13662.533605743403,64201.0
-42729.88770596512,1.0
Objective Value, Total Weight
7089.678069619913,49147.0
-14274.650410314025,25001.0
-6583.221221758693,33300.0
-25230.21142278341,15044.0
3596.5714981214405,44969.0
-20945.645732948666,18169.0
-35558.36556888643,6332.0
-40353.583881515806,3409.0
-18488.036719335032,21544.0
-10083.444770427071,30775.0
-28860.389147237474,13726.0
-30056.662488075082,10443.0
11184.046566706143,58084.0
244.28715750424453,42881.0
-12164.392370998889,27382.0
-3579.6417752907,36013.0
-582.642367142369,39690.0
9527.94148037349,53288.0
-42830.65,0.0
13804.521110708942,63984.0
Objective Value, Total Weight
-4077.55495760146,35170.0
-30519.079336405135,10779.0
4656.106884350229,46848.0
-22488.55403721729,18082.0
333.69603825418017,39049.0
-36901.24615701987,5056.0
-39830.46773691163,2047.0
-16041.175308334015,24423.0
9455.628491909883,53416.0
-19263.381885189687,20593.0
-7197.684405450629,30633.0
-11699.968866921925,27665.0
2748.553233831415,43703.0
11633.553868424271,56159.0
-32659.2311762568,8076.0
-25945.1769640371,13894.0
13002.72443558355,60665.0
8642.025013616556,50465.0
13754.270518994614,64198.0
-42475.21632201018,95.0
Objective Value, Total Weight
-12376.343299604669,26444.0
-16311.11831661201,23720.0
-4323.520492239528,36804.0
-31715.49406379131,9309.0
7836.641830890614,50273.0
-11159.686847195691,29281.0
-28895.122380677836,11659.0
-18336.44748719367,21527.0
-57.30029514547641,40358.0
10340.63932484427,54961.0
13799.260167303277,64880.0
-25410.312578967118,15591.0
-8712.818916387689,30730.0
-21773.186597275875,18146.0
3059.533339604597,44385.0
-5340.669056677383,33466.0
-38256.278618491255,3627.0
-35315.71787478882,6988.0
12592.280990035164,59668.0
-42830.65,0.0
Objective Value, Total Weight
2572.9052997047256,42536.0
-40341.79824372641,2432.0
4061.1424187641896,45958.0
-20027.880087099693,18621.0
-33286.53540027922,9176.0
-7387.858226552766,31998.0
-13793.895198687336,26834.0
-27644.95425472722,11936.0
-25106.19558349999,14078.0
-16817.03018536199,22731.0
-1627.9073488311697,38456.0
12032.09246025428,58881.0
-3231.990555152297,35381.0
9044.644216091328,55218.0
-22707.756095300792,16578.0
-37232.242075611764,3358.0
7926.319429376716,50873.0
-10378.84413776316,29025.0
13819.546450921189,63710.0
-42575.978135128564,94.0
