Objective Value, Total Weight
-13200.575371666484,22331.0
11368.984537899618,43460.0
-11755.667572359467,23572.0
1892.631568318815,31814.0
-6610.567461419865,25338.0
3522.280538633844,33318.0
10605.596937408736,41746.0
-2086.8765789235767,28698.0
9995.786680453464,39664.0
5506.379260160749,33939.0
746.3243605122989,30235.0
-198.77347151180584,29339.0
6504.156134057877,35198.0
-4783.737920815009,26571.0
7307.736918243114,36330.0
8533.645584618236,37297.0
-9055.69751559382,24448.0
9479.899990470461,38238.0
-3498.000322301843,27522.0
-8839.699310741853,24779.0
Objective Value, Total Weight
9530.502893017867,43483.0
-10943.530723915937,21284.0
5413.308901476346,36087.0
-3488.890357568278,28066.0
-4628.520240399877,26622.0
6609.641213324023,37479.0
-1576.9054712178404,28665.0
8507.068776940032,41963.0
-437.0014029130107,29772.0
-7925.93902270386,24320.0
-8871.619790571647,22533.0
7141.590213179668,39252.0
3766.4805506183184,34595.0
1610.9441273946868,31675.0
2572.3425051129598,33002.0
7975.638966754908,40384.0
731.1717245635009,30745.0
-5889.737907488146,25420.0
-10142.479116025985,22237.0
-7142.115116677749,25232.0
Objective Value, Total Weight
-8758.544450274334,22171.0
10052.445449264247,43519.0
99.88871926966385,27805.0
-3043.3530205502248,27696.0
9794.798358840657,39742.0
2490.9331807672133,31362.0
5464.671550696839,34670.0
-6938.230155517638,22948.0
3707.670480077926,32323.0
6292.339368859131,35933.0
4662.142482360694,33333.0
7816.144645804605,37974.0
1123.3984088281068,29118.0
9369.645011575005,38845.0
1739.0114794352194,30026.0
7255.517919914062,37060.0
-6281.451338058359,23806.0
-5213.134046793653,24582.0
-4845.73755030203,25759.0
-3909.112252621999,26745.0
Objective Value, Total Weight
-6168.218851118429,23372.0
11214.661251590514,43030.0
3539.187310913054,33776.0
2658.4284341755556,32164.0
5470.193207013697,34083.0
-251.8258894009923,28804.0
-2608.3776611896174,27352.0
9134.542969975962,39405.0
9950.639878952534,40752.0
-5154.558992781,24474.0
-1300.6374690509256,27937.0
-3378.158744654429,26044.0
7082.088611920946,36157.0
8674.300622749688,37969.0
10499.142843259178,42074.0
909.9407512802936,29776.0
8030.359507080808,36922.0
-4300.218232534993,25443.0
1651.035694855891,30925.0
6278.109796160905,34897.0
Objective Value, Total Weight
9849.980398773943,42748.0
-8018.778446927696,22804.0
8424.39267460561,38853.0
9187.756262805931,41412.0
7476.547192857848,36969.0
3418.363803597822,31741.0
-4591.526482415378,24987.0
6368.394174553614,36139.0
-3691.140249286742,26282.0
2175.353449333379,30719.0
-5730.003668554105,24038.0
-2748.4586420427077,27285.0
-1536.9036085035477,28066.0
-6783.40288916701,23203.0
630.9482659743371,30560.0
5388.469279874189,34865.0
4163.579107364763,33148.0
-1079.721811278483,29477.0
-789.5855149602794,30258.0
4449.964877270118,34663.0
Objective Value, Total Weight
10530.895095246895,43707.0
-9036.178831235382,22371.0
10144.295683015327,40852.0
-7951.545604898027,23919.0
-3111.705016874992,27470.0
9077.044164831372,38488.0
-1615.2145366520635,28557.0
-3984.5307606736096,26113.0
7506.405998515358,36459.0
2143.293459686509,30580.0
-6685.402643051952,24894.0
400.6653648386564,29993.0
-5462.368330249788,25517.0
3685.769815987027,33049.0
2889.5593156503965,31684.0
4926.888411461623,33617.0
8559.52771081301,37682.0
-543.393380877249,29239.0
6324.884659602976,35685.0
5387.325166059694,35097.0
Objective Value, Total Weight
-11386.85279824768,22231.0
10289.689282321138,43318.0
-6527.91661382273,23915.0
-10500.892510491147,23278.0
-3136.3750308985036,26386.0
10040.072614999233,40626.0
641.8577404372336,29679.0
-1658.8794634398873,27511.0
3638.9249228890403,32787.0
-370.11464563998015,28245.0
4555.876902068696,33921.0
-5030.083339702665,25337.0
2592.1622559715615,31368.0
5716.687641030723,34667.0
8039.4526933407615,37652.0
1745.8442859070274,30836.0
6443.411958471683,35709.0
9139.17669735015,39310.0
-5818.075532089861,25182.0
7044.579982235904,36170.0
Objective Value, Total Weight
9898.849818244977,42834.0
-12061.228960175824,18180.0
-6991.43285331114,23956.0
-8351.69987977029,21857.0
-1005.7173913167717,28010.0
-9624.025653711775,20707.0
196.15687032013375,29972.0
-4513.758139983096,24154.0
3818.688146687731,32866.0
-11173.636799568652,18981.0
-2408.661147941617,26752.0
8498.16412781606,39708.0
7646.485508691738,38029.0
-3591.894009704454,25695.0
9256.85989545707,41305.0
2543.063691411764,31797.0
1294.3912165257716,31134.0
6966.857891927975,36379.0
4853.552940102949,34550.0
5488.845990007758,36155.0
Objective Value, Total Weight
-13492.364757790427,18015.0
-13492.364757790427,18015.0
10538.549510347373,42241.0
879.0828708672198,30069.0
2174.0174017778772,32322.0
-5946.344063487086,23457.0
-11444.261576657678,19228.0
8984.33426954395,38264.0
-4829.443448242491,25133.0
-218.21917421238322,28439.0
9718.244366434381,40230.0
4908.56665494731,34266.0
7756.135421125102,36542.0
6422.736011180488,35573.0
-1778.9602807936753,27148.0
-2870.009094838002,26001.0
3829.1413439896787,32847.0
-10163.635581964038,20334.0
-7763.907806923009,22364.0
-8585.552937281318,21003.0
Objective Value, Total Weight
9964.337318293263,42705.0
-12208.681800720646,19690.0
-8344.00755521148,21705.0
-11219.629245624506,21259.0
-1854.0861131101192,28623.0
1033.3033354260333,30711.0
8491.723980068913,41389.0
5088.247989372678,36143.0
-636.8121416700378,29853.0
3948.8012705312794,34534.0
-5266.424279751562,24779.0
1614.8808004168022,32829.0
7824.1549777354885,39726.0
6205.8846846071465,37303.0
2586.2966301638444,33810.0
6355.914738417145,39143.0
-6753.034783992269,23318.0
-3351.0453899987187,27330.0
-4412.435755922852,26203.0
-6710.6476902831855,23797.0
