Objective Value, Total Weight
-2262.4063571030056,23411.0
9487.91521730461,35870.0
-8934.258909358723,16835.0
-868.4021584885922,24320.0
-7524.867498290907,18691.0
8507.590454650664,33742.0
1144.5804987521842,25727.0
2398.4335242173256,26904.0
-2634.638922981969,21794.0
3458.5756123368556,28145.0
11707.411829973717,35971.0
-5498.436839715294,19734.0
5954.406736181423,30538.0
13605.829568229572,38728.0
4537.8833666715,29222.0
14412.30408770914,40404.0
15342.421903197304,42594.0
7658.562422863237,31447.0
12634.71372257029,37044.0
-3804.2932234170585,20996.0
Objective Value, Total Weight
9756.19992957962,34728.0
705.4312814372825,25450.0
-855.2033540236152,24228.0
8686.548972561199,32497.0
2593.339578857769,27990.0
-1787.2053193581814,22687.0
-3006.5888110290834,21773.0
11250.240694116612,36720.0
8958.937809672956,33705.0
6086.599344922266,30134.0
12591.818620021098,38231.0
2296.996073078786,26310.0
4634.803615308119,29794.0
-4294.910776800745,20098.0
4177.797515668455,28078.0
-10163.96992651673,17672.0
14013.839723396864,40149.0
14881.202387683821,41982.0
-7547.144409164452,18927.0
7186.327585420739,31498.0
Objective Value, Total Weight
10218.675809162793,35645.0
3757.241598025801,28211.0
13002.536775136155,40059.0
877.21133156836,25394.0
-1749.745043082381,22963.0
-3195.1304185079207,21690.0
6138.3589336661535,29998.0
14624.837018387421,40444.0
-9252.487167532985,15922.0
-4384.19732630621,20007.0
12879.120404822657,37669.0
2485.255195252619,26700.0
-5755.770377153451,18725.0
-175.90689317229408,23865.0
11553.52136270747,35770.0
15581.832225665763,43310.0
10034.602923481601,34340.0
7283.272568468485,31373.0
8454.383760249395,33089.0
-7514.116238075214,17322.0
Objective Value, Total Weight
5043.139454432603,29765.0
9234.171934972364,34303.0
3904.3071336297653,28394.0
8029.303478874972,33584.0
1945.4833648643325,26508.0
13078.005945774225,39128.0
7306.022548450135,32162.0
-5754.948086185177,21020.0
3285.3858792253886,27411.0
6632.616062898604,30375.0
11871.656372828787,37848.0
-349.25693735539244,23953.0
10153.285880050957,35172.0
10925.739541997704,36561.0
14494.778357984396,42248.0
-7565.747888078811,19004.0
642.6648237438931,25550.0
13816.91574163072,40731.0
-2126.343587594609,23001.0
-3639.624579294141,21974.0
Objective Value, Total Weight
3580.9364944905537,28159.0
14274.822099228186,42776.0
8942.477828174131,34355.0
11328.173786678599,36703.0
10875.355724016015,35060.0
5716.023346175345,30895.0
7731.458781314519,33438.0
466.0299170697326,25637.0
-5886.696201487597,20394.0
2504.727261405191,27285.0
4403.925285700898,29420.0
-640.7384541452266,24537.0
7357.652750305955,30959.0
12290.775800746684,38390.0
-1705.0015615300726,23547.0
13464.744575173609,39469.0
-3087.1571544962208,22863.0
-3913.6465931276834,21607.0
1643.671321955262,26415.0
-8348.438995744917,19974.0
Objective Value, Total Weight
945.0552935024025,27527.0
14508.319102861606,42585.0
-3611.659275698301,23230.0
8992.443937591524,34578.0
3830.1889163320448,29511.0
-4300.149926077545,21826.0
-6246.425141947373,20945.0
5038.5610365409375,30241.0
11423.85276173312,37369.0
-2330.998171899155,23461.0
2986.772775687903,28356.0
12777.558036733397,38541.0
13442.63233104517,40573.0
7921.855970148448,33865.0
10276.795178263223,35849.0
7125.920222968249,32635.0
6068.950065180747,31509.0
-1560.4254029228105,24542.0
-8622.426409048276,20071.0
