Objective Value, Total Weight
-75723.87919575738,57655.0
-101180.34323773571,36742.0
17042.415064216184,156869.0
-107989.17716986698,30495.0
24257.832416290417,166033.0
4412.548523667065,139690.0
-81475.60537263745,53553.0
12336.489816915506,149074.0
-39656.98739013757,91703.0
-44670.867701912444,87039.0
-26461.823281312245,105281.0
-13064.39236470082,120335.0
-61646.979734592634,70341.0
-93138.71374215136,42738.0
-17703.532824889495,114912.0
-6715.24143062075,127649.0
-113791.65141997111,25189.0
-31062.954888285458,100800.0
-54225.96609314036,77973.0
-68518.37335141815,63972.0
Objective Value, Total Weight
-11180.3619688873,122775.0
31678.6414330423,181490.0
-48623.058929598075,83558.0
21414.09788493815,162180.0
-83801.4034268209,50549.0
-23800.652122499945,108247.0
4358.687573651259,139271.0
-53437.76476656657,79343.0
-6226.163742454344,127255.0
14022.822463688703,152445.0
8814.291404490272,145145.0
-317.68655384753947,133301.0
-35546.51066739953,96502.0
-68220.20381134257,65072.0
-93385.87108329928,42264.0
-61011.64831544153,71629.0
-74703.26299571962,59134.0
-15192.280048885703,117610.0
-42263.56552987755,89445.0
-29237.09924522703,102227.0
Objective Value, Total Weight
-21362.30087037082,109925.0
-93744.46732824823,43673.0
25562.16151247514,168961.0
-33872.6928066285,97511.0
1338.7129558725865,137626.0
6953.125171800464,143759.0
-67295.2299421049,65399.0
11939.627318064042,150032.0
-46719.22464756534,84537.0
-16530.54076742832,116546.0
21765.486244538595,162963.0
-52261.815918506385,79459.0
-2477.5607141318033,132899.0
-59964.43584267146,72557.0
-8893.578923350695,124821.0
-39422.78935448028,91770.0
-74095.39378673956,59163.0
-27130.344475790334,104013.0
-100820.62530210224,36574.0
-82919.68719607982,51872.0
Objective Value, Total Weight
-54513.274781646614,76552.0
22583.65248301401,164860.0
31078.298580457165,180126.0
-27315.282870266237,102894.0
38532.16920421351,192755.0
-2656.9312470720324,129179.0
14523.32345013268,151794.0
-48681.338645234006,82931.0
-70000.0099350115,62372.0
-42092.986427207914,88486.0
-8208.185482291272,122541.0
6537.462351551891,141229.0
2397.2235411055444,135717.0
-14393.491437014134,116335.0
19556.027546335652,158455.0
-22131.824553908576,108013.0
-32875.79008144091,97210.0
-78440.41456880694,54243.0
-92631.12160751398,42461.0
-61366.444575200905,70036.0
Objective Value, Total Weight
2544.5906313902233,136560.0
36407.99330924064,190632.0
28267.218755515525,174852.0
19251.79426797034,159844.0
-53740.787071486295,78114.0
-64115.71619857557,68721.0
-47018.56598567925,83729.0
-70775.2249828325,61985.0
-39791.2710169293,91250.0
-97483.48581914313,38701.0
6656.715783501684,143302.0
-78735.10215455265,54925.0
-31333.373127163853,100400.0
-25539.497641829104,106444.0
-88724.72433213665,45673.0
15179.013103466248,153985.0
-12267.447037148522,120005.0
-5444.222453546332,127281.0
-18451.178022902575,113388.0
-113657.25601613094,24934.0
Objective Value, Total Weight
-1371.952935570851,133255.0
-90543.18201549503,45982.0
-70104.58244088155,63687.0
36205.63787341674,191112.0
19868.762802827026,161375.0
28729.84132327017,175627.0
5849.927873559791,141663.0
-56209.29597233451,75972.0
-41230.137058155175,89838.0
-14131.780681872391,118286.0
-78866.56462398352,55362.0
-65555.32844775743,67606.0
14591.973453199957,152925.0
-5477.18919078834,127493.0
-104215.1233635374,32795.0
-28647.60864146729,102334.0
-21062.199746375467,110057.0
-48291.65038220072,83497.0
-34883.09415980941,96196.0
-117691.67477058218,21719.0
Objective Value, Total Weight
5941.449153702415,142800.0
-60078.71221262685,72810.0
1816.90735241308,136432.0
-54314.00943554312,78038.0
-13818.25333800519,119697.0
-2729.6906841256423,131463.0
-71606.17217131992,62528.0
-99118.06790460457,36979.0
-20137.997850219457,112272.0
-36686.27544956762,95182.0
12206.891117066552,150281.0
-65405.03398026203,67696.0
19096.460422563716,159510.0
-49182.71529343695,83162.0
-24029.563545218844,107733.0
-31494.108528277517,100160.0
-7369.465769230825,125843.0
-87919.66765790869,47956.0
-42738.705832291045,88966.0
-81831.57874258849,53169.0
Objective Value, Total Weight
27143.53598858326,174726.0
4469.509263368527,140138.0
14585.673707143142,153993.0
8784.18566822313,145466.0
-96104.4176292872,40574.0
-3191.9649271896633,131795.0
21784.76200513472,164187.0
-74472.05472433614,59581.0
-37311.32656920614,94396.0
-86800.26049613167,48902.0
-10686.799052078859,122622.0
-31016.131806944148,101286.0
-17946.149506522925,114892.0
-51471.12608695778,81275.0
-81996.75661678484,53100.0
-66965.6862913275,66200.0
-22432.18340744608,109790.0
-43942.230444226414,88418.0
-60268.797254829755,72263.0
-108815.94816021365,28955.0
Objective Value, Total Weight
17687.48540282555,158898.0
10125.126554377523,146781.0
-96647.87518871535,39878.0
-27137.288741525525,103878.0
-54218.87651627953,77260.0
-1036.604452936066,131868.0
-34652.18097679422,96583.0
-67518.31510727014,65407.0
6725.414184201974,142082.0
-8495.331197832158,124168.0
-75846.9796861273,57432.0
-40145.739001792186,91183.0
-47835.34960258755,84265.0
-112573.1438807674,26085.0
-15279.235138341173,116267.0
-89922.8346311244,45292.0
-21869.78091864701,109390.0
-103482.503198933,33617.0
-61133.741392111435,71574.0
-81712.96064508584,52350.0
Objective Value, Total Weight
523.3247714132012,136329.0
17669.317503246042,162248.0
-43972.384475115454,87798.0
12450.459426235,153819.0
-24431.037420889537,108991.0
-70369.43303087036,63063.0
-10668.620579812268,123364.0
-64508.19971281357,68194.0
-96093.62582891609,39731.0
-102230.90657552172,34485.0
-3187.7394259999855,131585.0
-80393.4514473076,53734.0
-115355.61425848326,23643.0
-51424.449050395226,80852.0
-58313.27503260854,74279.0
-37456.214162045304,94614.0
-16602.64287226557,116534.0
-29216.15779251911,103284.0
-87831.42060445357,47415.0
-128860.59378189043,12907.0
