Objective Value, Total Weight
12960.808002574893,160506.0
8295.343025277281,150466.0
41334.76832912286,214218.0
32935.026343960606,186922.0
-5484.687863960222,133615.0
38865.80665403971,202567.0
18027.458720001538,163833.0
-40762.05658530275,96308.0
-49919.128947631136,88428.0
-23865.97759534084,115665.0
-55608.7370897464,81707.0
1932.7342086016433,143541.0
-30692.548107285984,107454.0
-66047.91935822676,72553.0
26521.635237002192,175420.0
-74786.85079111939,64342.0
-13468.857947727432,124132.0
-92874.02526265956,48243.0
-84180.20222894699,56433.0
-103512.22070150424,37958.0
Objective Value, Total Weight
-74660.31895682614,66531.0
12152.28218825889,154360.0
-85078.04871642747,54885.0
39494.48700580833,207163.0
-10055.693643060426,126151.0
35166.96885229269,194170.0
-62149.60838775284,76873.0
-27080.850399445422,110161.0
4379.87391992996,146092.0
-18953.761755586776,117017.0
-96356.76897329825,44306.0
24197.330030037032,171179.0
-35809.250069320464,101218.0
-3116.983732980443,134229.0
-49249.3928982841,87400.0
17079.2441283082,161752.0
28599.660124021437,182385.0
-40806.70104649654,95105.0
-106426.52791337858,36100.0
41469.68369881285,217842.0
Objective Value, Total Weight
21562.956803401,166985.0
-67146.20446467106,69443.0
38179.36345741805,202420.0
-93953.00724447361,47586.0
31813.97450404879,194120.0
-83578.7058343713,54895.0
-76150.97999795372,62190.0
11758.732543100254,154113.0
-60833.64348155563,76310.0
28751.276322795136,177449.0
-36605.05619447876,102501.0
5874.710856342688,146909.0
-26629.906782830192,109856.0
-11022.494545306516,125980.0
-51907.1695476757,84202.0
-18378.808704531722,117595.0
-43738.19005993419,92416.0
-1325.2488197713683,137580.0
39968.22134704713,212570.0
-103347.2405557264,37848.0
Objective Value, Total Weight
-65750.0095793686,72976.0
-42817.09257817763,99120.0
12419.725420561532,155123.0
-12717.944892370695,126906.0
21124.45670295763,166301.0
-50153.83618675644,87921.0
-75379.63359529959,62923.0
-56002.41203626746,81048.0
-35598.236172182165,102435.0
6068.5186597816355,145591.0
-86725.12089416574,57427.0
34906.88302628102,190346.0
27446.403462408023,176028.0
-27686.618389336014,109580.0
-106053.31916888632,35518.0
-18821.25608946444,118598.0
39760.801667276886,203338.0
-1465.3015888970112,137893.0
-93655.14579925491,46138.0
41796.11841723553,217476.0
Objective Value, Total Weight
-6253.167767788662,132063.0
-22896.183661340852,114601.0
31530.90105982774,187403.0
5737.232842827158,147543.0
-35780.5770710113,100665.0
-52018.1917447318,87480.0
-14847.617932337365,123102.0
-88005.34740545115,51159.0
-41410.397633641755,94329.0
19224.785171890282,166926.0
-98088.62262548541,44789.0
-108188.5477510702,33993.0
-61939.84794750216,77834.0
-70199.24723531902,68002.0
25931.16148612491,178047.0
35153.754499531526,199380.0
-78441.35838252638,59518.0
12956.814552451338,157412.0
-115436.6276460936,26704.0
38015.353216616844,211119.0
Objective Value, Total Weight
-2671.82373796968,137897.0
-25502.523870503355,114590.0
35646.15068165606,202083.0
31194.44497132479,186935.0
-9521.131148119428,129060.0
17548.948006295395,167590.0
-66809.01117995405,74654.0
27900.711480169353,180042.0
-76406.9984336769,69963.0
