Objective Value, Total Weight
-176997.60287956742,43186.0
61921.99033916375,339054.0
-22268.500711572648,213142.0
40219.26274799893,301300.0
58407.33066408342,329787.0
-43604.23387793137,188297.0
-141460.9011423293,80524.0
10242.067922209215,255579.0
-6455.111136274005,234108.0
-168851.04626015513,52632.0
28901.018211252987,289506.0
-90547.38833360941,138669.0
23148.4486094765,275295.0
-8025.292408393929,229501.0
-112286.75309355528,110315.0
-127170.2827541923,94253.0
-155330.02848925057,64686.0
-77037.11719721428,147274.0
-99327.96234430862,128670.0
-152062.19507635033,68238.0
Objective Value, Total Weight
57463.01899822871,333334.0
-175062.61288654976,44931.0
12717.585294236196,267820.0
42616.53168272955,308559.0
-132911.52446977157,87460.0
-151366.51679445565,68986.0
-75019.21432579632,150945.0
-4957.928741249954,239449.0
-163098.4927691169,57763.0
-91155.45735650687,133028.0
-62729.7350807116,164822.0
-22542.520384753414,220112.0
-119128.00901233597,100899.0
800.6432569968747,247140.0
-45414.06651536218,188051.0
-55576.02984606853,172700.0
-35522.241367014125,197193.0
-52728.548481678765,184571.0
-96329.8252121085,126543.0
-102495.92263355854,120134.0
Objective Value, Total Weight
-165340.20694570706,49380.0
58071.78894228791,336102.0
-108257.47343584674,112968.0
-140921.29073156594,75706.0
-42630.10836076987,194308.0
38235.99230356631,295894.0
-19454.28373336012,220554.0
15722.019356990408,267996.0
1011.623620922328,247200.0
41278.798897431174,298961.0
51550.16160206869,319935.0
-74131.1630060258,149885.0
-51380.85289662669,181461.0
-58843.743852788844,165729.0
-83896.16601497467,137973.0
12683.94098751375,263168.0
-149079.9887593362,65869.0
-16811.14108776214,222351.0
-2876.030015453289,239374.0
-74815.99208305101,147729.0
Objective Value, Total Weight
57367.896336925856,340454.0
-173358.37316957713,44461.0
2281.87064878369,243831.0
33272.21681494656,288548.0
-42988.19095479109,193308.0
-147041.26243815725,76249.0
-94541.96883587915,129531.0
-23981.191984645557,214825.0
-163188.63971071164,54161.0
-109465.3773835664,111203.0
45562.23845468176,302985.0
-52698.17823962163,177240.0
-120951.56101011933,99835.0
-10763.335456009954,228122.0
-63610.45700217379,160444.0
-138547.36931789442,80633.0
-22107.682017705287,218240.0
50875.631218257884,316075.0
37045.07531024853,291531.0
-112455.40313895736,106966.0
Objective Value, Total Weight
60322.19745306915,329408.0
-174193.3607882274,43250.0
-65759.1293538906,165700.0
-92116.15543375796,130481.0
7285.949439935212,252088.0
-56118.37963143102,182614.0
40880.24765315134,296969.0
-9738.749180104991,231966.0
-147400.48692335247,69163.0
-25023.342235219665,213827.0
50446.922594216536,311969.0
-38648.365293377254,200828.0
-10875.447498329042,231748.0
-118472.38087669134,104357.0
-106518.02456033428,115771.0
