Objective Value, Total Weight
49448.096403366944,325930.0
-200054.06230116013,22154.0
-200054.06230116013,22154.0
49448.096403366944,325930.0
-1806.1994992946275,247028.0
-79669.8936967697,141863.0
16652.45093261724,274817.0
-83383.35873670634,136129.0
-164120.880598373,56713.0
-113239.64198209904,106124.0
-17267.29553990782,229723.0
46272.34574701311,323189.0
26820.03360656224,294118.0
-128034.4022460299,91950.0
-45740.3639850718,180437.0
-195572.40380402104,26848.0
-45740.3639850718,180437.0
-136965.72345901062,82844.0
-40812.349866077595,204711.0
-136965.72345901062,82844.0
Objective Value, Total Weight
-205844.5698796787,14073.0
48093.030882836436,323969.0
-205844.5698796787,14073.0
-161603.6884764859,55018.0
29934.490109821025,292780.0
-54599.407365480845,175683.0
-103939.91159349942,109361.0
-80611.57901028683,143928.0
-132222.65763729898,85148.0
-80611.57901028683,143928.0
-107386.76309121819,105777.0
14895.905720514595,272979.0
-132222.65763729898,85148.0
-5902.96379130811,240167.0
44171.69125494803,314633.0
8502.74613360007,260737.0
-41438.0363515612,190319.0
-184035.6807191331,34344.0
-31184.50044859911,213780.0
-19357.811136056902,227143.0
Objective Value, Total Weight
-201392.33589970038,20152.0
48035.1754698712,321362.0
48035.1754698712,321362.0
-201392.33589970038,20152.0
4733.155486123578,250001.0
-36591.19642024668,189998.0
-62611.06769405375,158996.0
-96044.06525869679,121670.0
-121093.1000775423,97235.0
21805.77495838463,278313.0
-27471.509677985683,200404.0
-96044.06525869679,121670.0
-165834.11046112352,53722.0
-165834.11046112352,53722.0
42851.15825248475,310956.0
-16948.218671109527,220796.0
-129092.88043395182,88669.0
-151377.7604478971,67425.0
-158485.05470960436,61186.0
25377.259787257353,281401.0
Objective Value, Total Weight
39983.72694388952,313178.0
39983.72694388952,313178.0
-209487.05453035832,11454.0
-209487.05453035832,11454.0
-13413.950031092798,231343.0
-77721.94547889463,140604.0
-132017.8740530902,87101.0
-176428.06177379075,43872.0
10897.992372871493,268187.0
-97378.77080608255,120084.0
-37561.6570286238,199646.0
-53304.93826170126,183360.0
34744.53972185531,301974.0
18549.06403916108,280824.0
-111969.69052663952,108145.0
-53304.93826170126,183360.0
-183724.71866079286,35923.0
-42360.46626924031,194276.0
-196247.07859832997,24704.0
-125354.59448218156,94745.0
Objective Value, Total Weight
46087.280152312305,322737.0
-192947.73069703006,28537.0
46087.280152312305,322737.0
-192947.73069703006,28537.0
10042.536849485361,262093.0
-129633.61987147664,91961.0
-161978.17644355327,58319.0
-111916.24833687858,108268.0
31064.402110011375,296693.0
-79478.12931711535,139004.0
-17374.12867608742,236396.0
-61565.89787389495,159577.0
-22350.251948782417,209798.0
-97760.84256262568,122885.0
-47037.53348590009,185160.0
-30143.779185378866,200653.0
-17766.712819258857,235573.0
-98384.3707293265,122062.0
-174842.2977716365,45859.0
31948.360317505663,298857.0
Objective Value, Total Weight
-193407.97758664074,29035.0
48526.74376026867,326761.0
48526.74376026867,326761.0
-193407.97758664074,29035.0
-169670.34480663293,51251.0
-25897.853164804692,214139.0
-117670.3770980504,103661.0
-117670.3770980504,103661.0
33746.63466317486,296910.0
-59676.56270403604,163285.0
-53060.14559036028,186355.0
-44529.86113312101,194357.0
-75160.88315219738,145133.0
20222.966577239393,273408.0
-185469.39873030895,36122.0
5776.192205105035,255253.0
-68265.8607877823,152843.0
20222.966577239393,273408.0
-106833.68313769056,113620.0
4494.073701822024,253455.0
Objective Value, Total Weight
-195004.09797885665,26786.0
45401.731858201325,333444.0
-195004.09797885665,26786.0
45401.731858201325,333444.0
15857.24666926678,276413.0
-132506.9524353667,90326.0
-111692.43250993468,112386.0
-70330.17204347465,152702.0
-13234.211925403215,241423.0
-159042.0625345853,66086.0
-159042.0625345853,66086.0
-88546.09479909338,136140.0
-34518.492289250426,191606.0
31184.988731336256,310504.0
21427.26849812665,285801.0
-43581.364076849655,181003.0
-77138.52508707572,145402.0
31184.988731336256,310504.0
-43581.364076849655,181003.0
-29715.39243136003,213319.0
Objective Value, Total Weight
-178929.44354629956,41944.0
49191.19212286762,329126.0
49191.19212286762,329126.0
-178929.44354629956,41944.0
7997.791441073932,261819.0
-140472.87001390598,77714.0
-45847.33962798049,184486.0
-117023.9137968129,105252.0
-169128.68762379515,50985.0
42988.61838206829,317505.0
-61662.863269384135,169133.0
25691.023830931343,290021.0
25691.023830931343,290021.0
-8125.52440854843,241524.0
-151069.19410667205,68575.0
-10659.651265044755,237654.0
-84089.10603694143,136897.0
-92904.0621297851,128288.0
-39418.66017619055,208547.0
-71922.01496601498,158282.0
Objective Value, Total Weight
46930.27637692785,326628.0
-200623.62288026264,22181.0
46930.27637692785,326628.0
-200623.62288026264,22181.0
-75158.50695946196,149778.0
-41229.962487849756,191777.0
-2539.9041327737505,251052.0
-121551.54227681141,99801.0
-56147.09559556196,169372.0
24961.90902007243,284889.0
-102918.36575817666,116491.0
-12873.593033267825,222734.0
-2539.9041327737505,251052.0
-174858.11520744683,46632.0
24961.90902007243,284889.0
-63798.86750066074,161738.0
33407.41387825343,307091.0
-96371.44880595789,123396.0
-130954.71015354668,91345.0
-29476.97675136535,204488.0
Objective Value, Total Weight
-194367.14270556296,27963.0
48426.629114968004,332320.0
48426.629114968004,332320.0
-194367.14270556296,27963.0
-31417.274521097308,202035.0
-184372.88875176274,38002.0
-6183.927081888833,241237.0
-55831.53551364227,168090.0
44831.26477460284,316569.0
-143906.25097883114,75274.0
-143906.25097883114,75274.0
-113308.949323634,111132.0
-84815.41030238912,138251.0
-126603.75142059306,89944.0
12922.916886546882,281194.0
-21791.721567278146,217053.0
17653.735035244434,288475.0
-122887.68258506566,94044.0
-89981.15946554366,132541.0
17653.735035244434,288475.0
