Objective Value, Total Weight
-190377.71636346457,26994.0
24017.461157753947,297340.0
-190377.71636346457,26994.0
24017.461157753947,297340.0
-101246.9220514512,122496.0
14271.811662744032,262551.0
-169232.4671134062,49443.0
8237.735424288723,247484.0
-42584.145479409664,176121.0
-19504.01163702883,202917.0
-132750.75186978068,84995.0
-180039.14708568217,38321.0
-13004.75021518243,228155.0
-85329.93901451479,126167.0
-132750.75186978068,84995.0
-142652.2038466229,84843.0
-151297.6377857489,71717.0
-151297.6377857489,71717.0
-19504.01163702883,202917.0
-62027.14342344072,150334.0
Objective Value, Total Weight
26396.430231114908,283549.0
-189373.62304165715,27620.0
-189373.62304165715,27620.0
26396.430231114908,283549.0
1758.676766081364,229989.0
-142222.37438514273,71492.0
-166754.29188642048,49812.0
-30412.128460499574,185008.0
-119632.90724587848,90416.0
16465.023999074823,256250.0
-61994.446816864394,149563.0
-94001.87426663257,117876.0
-155412.32731434065,57977.0
-12353.435988817888,214484.0
-42972.85715583633,181169.0
21394.963142759923,267686.0
-12353.435988817888,214484.0
-76515.91673518988,133192.0
-51321.11349777624,167443.0
-52872.506718174496,161747.0
Objective Value, Total Weight
17736.29762201145,284531.0
-191765.63982718813,24818.0
17736.29762201145,284531.0
-191765.63982718813,24818.0
-119191.10419964962,97257.0
-146474.88047169632,68661.0
-178180.61579525142,40882.0
-155536.7156857728,57345.0
-8342.179834996874,220988.0
-80582.91017313866,129758.0
-28477.919930968987,190540.0
-45345.75560579385,179446.0
-104370.61425409315,116387.0
-16185.14459515235,208315.0
6966.269654901349,248902.0
6966.269654901349,248902.0
-61900.232124306785,151217.0
-61900.232124306785,151217.0
-53733.39139990907,159436.0
11439.699669735157,266463.0
Objective Value, Total Weight
17126.735366627283,279070.0
-199180.23711538385,17871.0
17126.735366627283,279070.0
-199180.23711538385,17871.0
-16971.461955235573,226949.0
6003.553486723453,249311.0
-54451.13558619801,164109.0
-157374.19513876791,61178.0
-24510.57517239754,209746.0
-133056.64863802836,84313.0
-63382.70158000564,152363.0
11618.183786731272,266514.0
-174400.2893486966,41006.0
-103126.73140429781,110296.0
-81036.33980810363,132812.0
-133056.64863802836,84313.0
-113444.1098606844,95909.0
-31612.59995049704,187901.0
-91241.67052044041,119385.0
-188367.64519588946,31298.0
Objective Value, Total Weight
19391.440499136806,280101.0
-184297.63242848896,32597.0
19391.440499136806,280101.0
-184297.63242848896,32597.0
-2645.4870083481655,234987.0
-27907.769461612916,194138.0
-2645.4870083481655,234987.0
-154536.0383795765,62794.0
-132885.25295955775,86217.0
-167574.91135526824,47447.0
-78542.81276803033,137328.0
-13922.23401188536,212096.0
-183997.39402683816,32745.0
-102347.30687732095,112182.0
-55351.222866797965,164664.0
-86876.30355062074,125586.0
-63715.94899880624,158115.0
-13922.23401188536,212096.0
-166804.94247260614,53356.0
-113856.72089372421,101261.0
Objective Value, Total Weight
-178675.73673328804,38105.0
20746.09356952965,283246.0
20746.09356952965,283246.0
-178675.73673328804,38105.0
15031.578405353881,262973.0
-2048.4778995455126,228704.0
-29924.864692847215,189374.0
-99819.32977717975,116328.0
-54857.455828051345,168517.0
-66652.7903281065,147989.0
