Objective Value, Total Weight
54612.065886096505,365161.0
80032.3311645909,416133.0
46009.49703579268,356149.0
74774.98176313355,400968.0
69378.578401206,386887.0
62295.82483602711,375118.0
58342.956143036485,371034.0
63714.71425469371,378516.0
82845.89754029398,422086.0
77191.4897046201,405786.0
40784.19172149646,349468.0
77736.46852550202,407352.0
74828.65849669708,402062.0
69813.35064795433,390145.0
60473.488933805085,374825.0
55871.270797009056,365692.0
65912.21095939394,382094.0
71018.34238407749,392468.0
50868.84808717598,359228.0
45100.06526609004,350078.0
Objective Value, Total Weight
60979.19258068467,373257.0
45786.63861270581,353274.0
62675.27135065314,376821.0
71629.99389675917,394595.0
52601.51385992777,356767.0
76173.770429308,404389.0
73942.12996415904,397837.0
52090.65593568853,355844.0
70590.53594262653,386563.0
67968.00934980443,384984.0
56372.20554859331,365693.0
79683.51345648046,415536.0
55641.180219325004,360427.0
39721.46284464962,342845.0
77732.83218877402,410372.0
60358.99233690812,369922.0
64778.59505564638,378548.0
44101.39921712369,347094.0
74486.58366568398,399690.0
30255.14345596917,335602.0
Objective Value, Total Weight
52973.93893912871,362228.0
64220.06363830541,380020.0
43728.71466413204,352441.0
21759.692931297875,328348.0
59006.03212189628,369743.0
70315.42706741171,389554.0
61194.92133189057,375965.0
41117.407638254925,347235.0
40024.26992933563,344419.0
54237.17077863187,364682.0
28858.449299709755,331161.0
75655.9703979466,400109.0
80563.94784530438,416317.0
73290.8646490139,395117.0
30459.373413934372,335154.0
68794.34318196797,386965.0
66575.09971655114,382744.0
35892.27345789649,338220.0
50797.78839076124,357804.0
47822.489838565176,355963.0
Objective Value, Total Weight
14709.613309951732,317457.0
56412.289378143265,366582.0
76008.4597312847,406101.0
74953.94006347744,400706.0
58946.878737993306,369682.0
72630.16288000019,395940.0
61123.27501861856,372814.0
65684.99695247778,382282.0
51891.63180143159,360525.0
47116.25798120379,352102.0
82613.56645222352,431303.0
48459.47211950121,354382.0
69604.57542208221,390697.0
18814.064099590585,320929.0
36481.129734868824,341044.0
77768.05373932538,413824.0
67180.74847394472,386055.0
33988.59514768742,334708.0
64621.06143385416,380099.0
41175.27578523185,347468.0
Objective Value, Total Weight
63368.993758085824,377137.0
72563.90339203586,390944.0
80642.17725310504,420978.0
83190.45025841519,427848.0
50357.518394354265,356841.0
66672.07500750938,383463.0
74520.78520007775,397526.0
78788.07077519468,409693.0
38725.169166122505,341769.0
42234.67501644645,347378.0
57947.61872668698,368382.0
83984.49092123803,436192.0
53817.62122356199,362432.0
77289.24784705392,402688.0
69614.36771879776,386611.0
33903.747293621185,337511.0
46811.88536169322,350080.0
62450.46939557331,373639.0
77786.70403437444,405084.0
56252.70383840159,365574.0
Objective Value, Total Weight
71358.11788278667,398011.0
53415.737120253674,366259.0
64895.327895332826,383096.0
33820.71433471283,338544.0
79976.84784962784,423837.0
78193.72644427861,413082.0
68749.97785961046,388350.0
45544.27738131845,353808.0
27646.917993789888,334626.0
50277.125722324825,357022.0
44361.41718679172,350552.0
60204.757297868724,375164.0
50976.67266160733,361541.0
39603.409016274265,345843.0
64234.0589712612,381846.0
54514.84435021522,367866.0
74744.07513639389,407196.0
70389.22484410758,390315.0
57398.231597334496,370049.0
35429.084803312086,341692.0
Objective Value, Total Weight
31438.79472346336,336468.0
62019.66035784624,376136.0
70068.81653330964,392616.0
71646.19760039746,395620.0
72481.26473180705,398233.0
76762.00750371488,412796.0
67287.18814858177,386223.0
60918.6213286423,374166.0
35987.23594686511,339566.0
41626.13127586432,345536.0
73915.22522877256,403909.0
53967.23494521115,362911.0
56460.151540539286,367108.0
60036.7678646234,369971.0
52533.50044650555,359649.0
47135.17326469201,352739.0
63352.7417818752,379547.0
75425.26974641153,409576.0
44729.44938581367,350437.0
80860.4888089886,432624.0
Objective Value, Total Weight
81473.92652287986,429829.0
49972.51687036571,357539.0
55112.67204211524,365151.0
80145.83002675627,415873.0
76906.22071677074,406920.0
56495.52288945537,369567.0
62477.26816019794,378934.0
47573.78401702276,353280.0
70380.29454092798,390037.0
17695.02496503404,327926.0
64720.571814639145,379319.0
44275.16791209992,350111.0
74269.23433197034,401445.0
53283.605950858444,362243.0
66873.12773403042,385343.0
59394.988662422285,372976.0
36735.04812642373,344672.0
82583.92033918493,434989.0
32723.523798702692,339602.0
72046.53583438497,398090.0
Objective Value, Total Weight
57390.10327610554,364013.0
82312.96462857601,435952.0
78300.32322342129,414054.0
58089.99767815368,369077.0
40536.82880979683,343159.0
68933.75024368212,391993.0
42677.0293479315,347728.0
66882.88357554795,382135.0
36552.899095367524,340372.0
30859.784384212922,331946.0
53118.03657135181,362109.0
74181.09600175946,400969.0
80148.49844556401,427740.0
51742.19827631407,358594.0
62859.527846196666,376415.0
48518.64509821829,353632.0
60201.990074649395,372929.0
73111.18792341201,395653.0
75690.36548207689,407913.0
20671.8531752617,327619.0
Objective Value, Total Weight
62643.47103131423,377371.0
67044.48393060942,385272.0
39814.38474813942,341600.0
54813.23084889416,363670.0
64884.27376352571,381119.0
51029.79362697649,358233.0
42082.83394155913,344618.0
72053.86732269177,395242.0
70444.38440052868,386250.0
28286.28713321843,329019.0
76440.76527303731,405957.0
77237.25137422374,410147.0
53298.896501580195,360824.0
73632.6782108228,400525.0
60788.815921689675,373754.0
57914.64935836551,369561.0
33925.95751653472,333836.0
80262.74184696656,421183.0
46295.84075197333,353243.0
19501.4105765149,322259.0
